"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
0.0835345533807933,0.0320673916581294,0.0312103972751307,0.018281199937736,0.0490502305815902,0.0788636738138561,0.11923353107519,0.116698448002186,0.127001019835476,0.0852532190247135,0.0895181625941815,0.024630281592284,0.0244581937927201,0.0159117870835253,0.0501365634346065,0.054359299489286,0.0698294562608554,NA,NA,NA,0.0986214446496507,0.0420060858395551,0.0382426778648596,0.0448069440802877,0.0266795416523426,0.0346923775182553,0.0411204846762584,0.07385411167976,0.0491471921105783,0.0426781497062104,0.0310243342524051,0.0245392264870689,0.0458921530558874,0.027108770224762,0.0506218415023854,0.07064057361141,0.082262664762611,NA,NA,NA
0.162117894225219,0.0997143013684585,0.0793550186775571,0.0701522699429513,0.0998208663449251,0.126211776053033,0.170606489564063,0.162271322507298,0.172845404468856,0.128882825375215,0.142935236856541,0.0767696614833304,0.0664144487987513,0.0611379453547359,0.10304482706487,0.105044902086674,0.123596215265112,NA,NA,NA,0.167703491350092,0.105702404620314,0.0857762478340372,0.0961872097523688,0.0716352127017348,0.0910262599709515,0.109762211191184,0.124287515924107,0.125213155449428,0.116647165204562,0.111285883481841,0.0834382739942214,0.111934242782116,0.0895836390515182,0.102089187281324,0.123901063622047,0.134546171009144,NA,NA,NA
0.195295865783145,0.16304294353044,0.124642245283672,0.114075772710744,0.152731549097518,0.177431925978526,0.210281895101222,0.178690918022396,0.185137738593172,0.152498083715172,0.173225318558865,0.124747352978585,0.0971653058316228,0.0988799133140416,0.14464104932918,0.141575279810606,0.15438851995146,NA,NA,NA,0.199225859862528,0.17272860798469,0.136107961707979,0.14366601442709,0.138374335201479,0.154481796759245,0.156585649076999,0.141253102268845,0.142475051046695,0.142989796047711,0.150130442442676,0.135218107650961,0.148876070953284,0.148360800625716,0.171178640434934,0.170720844150951,0.180859740396304,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
