"V1","V2","V3","V4"
-2.82653816862505,-2.4155921562046,-2.07765326647606,-1.61857848199133
-3.01305373860498,-2.55510050268898,-2.18200154550122,-1.69662802963422
-3.52071918187238,-2.93481982888309,-2.46602081172763,-1.90906637033261
-3.78201385769924,-3.13026082168437,-2.61220512086549,-2.01840807972436
-2.90059498953863,-2.47098455391518,-2.11908520598244,-1.64956839544894
-3.29877274516097,-2.76881020085558,-2.34185032714505,-1.81619037618294
-2.52022808613924,-2.1864809183402,-1.90628457077474,-1.49039956706724
-3.92592353570138,-3.2379011716205,-2.69271704400523,-2.07862871047766
-3.94812655994591,-3.25450840285401,-2.70513878107158,-2.08791981683825
-2.70755375908657,-2.32659519882503,-2.01108607121455,-1.56878811144996
-2.1057720534965,-1.87647958273759,-1.67441238046633,-1.31696575739057
-2.99041210244734,-2.53816520220766,-2.16933442195964,-1.68715338116284
-3.5985899108402,-2.99306492144561,-2.50958648592363,-1.94165225670775
-3.16573566464623,-2.66930224489396,-2.26742120361538,-1.76051950669454
-3.44092101071967,-2.87513306433475,-2.42137680785151,-1.87567392399759
-3.05018799167448,-2.58287586881104,-2.20277673012041,-1.7121672774002
-2.93066732633034,-2.49347780732659,-2.13590952038588,-1.66215250455796
-3.83558071039852,-3.17032730539536,-2.64217371218773,-2.04082373447255
-3.03835521278222,-2.57402528642935,-2.19615674598919,-1.70721571737763
-2.65189264308949,-2.284962265676,-1.9799458202235,-1.54549608856234
-3.06242014430826,-2.59202517140314,-2.20962014848086,-1.71728595987732
-3.55497886240055,-2.96044509642554,-2.48518778370456,-1.92340272073971
-2.69030925730681,-2.31369680149819,-2.00143843652347,-1.56157195483964
-2.9882107418551,-2.53651864703657,-2.16810284547871,-1.68623219695049
-3.59791368101056,-2.99255912074819,-2.50920816137434,-1.94136928069501
-3.19883743269644,-2.69406142680511,-2.28594036815001,-1.77437131554233
-3.61724910301505,-3.00702146698938,-2.52002558541358,-1.94946040649806
-3.34279887247079,-2.80174049307603,-2.36648125000804,-1.83461360659405
-3.56718510269975,-2.96957501732766,-2.49201670511163,-1.92851055990765
-3.32787149223378,-2.79057523682191,-2.35812995559196,-1.82836707567377
-3.17152951797534,-2.67363588255115,-2.27066264144215,-1.76294401008316
-3.31512311096749,-2.7810398098814,-2.35099772719067,-1.82303237149267
-2.57946130276275,-2.23078568125616,-1.93942327451112,-1.51518637582211
-2.8391433292603,-2.42502045818274,-2.08470536844946,-1.62385325388117
-3.19506786172325,-2.69124189482994,-2.2838314383499,-1.77279389597732
-3.26007673178565,-2.73986668240236,-2.32020139777533,-1.79999759217112
-3.82433967214862,-3.16191932819979,-2.63588478415905,-2.03611979500768
-4.09013153986852,-3.36072409274886,-2.78458509898231,-2.14734340515953
-3.42838013698762,-2.86575284713349,-2.41436067192488,-1.87042605368876
-3.47783281746568,-2.90274204692768,-2.44202754231872,-1.89112008658615
-2.98148986106175,-2.53149161917772,-2.16434277148385,-1.68341976844525
-2.37832618271023,-2.08034232673364,-1.82689592019288,-1.43101911226933
-3.04501920378075,-2.57900976233821,-2.19988499233459,-1.71000433970545
-3.7899247501218,-3.13617794442756,-2.61663096054169,-2.02171848204144
-2.66089553241727,-2.29169617107508,-1.98498259011734,-1.54926344932256
-2.42061091830079,-2.11197010742992,-1.85055260144681,-1.44871363764004
-2.7558324682909,-2.36270630146498,-2.03809614988825,-1.58899088280351
-3.14547378091786,-2.65414693160881,-2.25608545991799,-1.75204069251532
-3.30366925730401,-2.77247265280364,-2.34458973713322,-1.81823937701345
-3.47759891036538,-2.90256709106315,-2.44189668030344,-1.89102220551719
-3.24352896198963,-2.72748942080165,-2.31094355779926,-1.79307299093157
-4.07884742087515,-3.35228389238131,-2.77827206893661,-2.1426214380708
-2.97870017661054,-2.52940501447741,-2.16278205045912,-1.68225239346682
-4.22425926060991,-3.46104781660935,-2.85962439372021,-2.20347066537359
-4.1590689211169,-3.41228729505931,-2.82315290913641,-2.17619103124619
-3.41096295185952,-2.85272528756892,-2.40461642755014,-1.86313763578023
-2.50235893417337,-2.17311530042367,-1.89628746835868,-1.48292201852881
-3.22879516806794,-2.71646896161061,-2.30270056747194,-1.78690746839221
-2.65833277681768,-2.28977930270756,-1.98354882704647,-1.54819103528608
-3.19562996855004,-2.69166233476405,-2.28414591547376,-1.77302911593007
-2.36045075404357,-2.06697201402326,-1.81689530620444,-1.42353893717453
-3.43196875504972,-2.86843703147296,-2.41636836553941,-1.87192775146359
-2.78584184121,-2.38515245968881,-2.0548852384296,-1.60154864396862
-3.53554478454614,-2.94590895841191,-2.47431516551634,-1.91527031128158
-3.15563946460634,-2.66175057414877,-2.26177276847953,-1.75629463771384
-2.74855507613553,-2.35726301892067,-2.03402472921658,-1.58594557583097
-3.28815076839397,-2.76086526405851,-2.33590774017711,-1.81174548999018
-3.24511396607993,-2.72867495882312,-2.31183030655213,-1.79373625380165
-3.21785255324011,-2.70828419665501,-2.29657859585615,-1.78232840758011
-3.51137762593635,-2.92783261048428,-2.46079457090791,-1.90515729070367
-2.98291990671702,-2.53256125269296,-2.16514282695949,-1.68401818720737
-2.40845015389008,-2.10287420120018,-1.84374912204814,-1.44362482837146
-3.46364471774632,-2.89212975149402,-2.43408984688389,-1.8851829159514
-3.12960371180681,-2.64227657086352,-2.24720676737813,-1.74539968278454
-3.55144791807061,-2.95780405039891,-2.48321235632226,-1.92192515718974
-3.78171117102289,-3.13003442065133,-2.61203577932599,-2.01828141706467
-3.39114897924523,-2.83790499906966,-2.39353127287283,-1.85484625506751
-1.79992965960567,-1.64771816265282,-1.50330533852406,-1.18898255204334
-3.78908582892854,-3.13555045521303,-2.61616161643941,-2.02136742598939
-2.98690032446001,-2.5355384920607,-2.16736971740798,-1.68568383798549
-3.00494342761256,-2.54903422052203,-2.17746413881443,-1.69323417836341
-3.8021664936077,-3.14533442070451,-2.62347974461457,-2.02684117791898
-2.73974364235508,-2.35067231683076,-2.02909507132887,-1.58225833180773
-3.61124802854798,-3.00253283380921,-2.51666821533982,-1.94694918908293
-3.52632969311076,-2.93901633186609,-2.46915967671482,-1.91141415215183
-2.99568691261639,-2.5421106103298,-2.17228547512579,-1.68936068507662
-3.17911174130845,-2.6793071701546,-2.27490460341927,-1.76611687710622
-2.63257785665458,-2.27051535425448,-1.9691399409908,-1.53741359794654
-3.15784486788988,-2.66340015313807,-2.26300660669056,-1.75721751363605
-3.07091987763484,-2.59838273041055,-2.21437542196766,-1.72084276932382
-2.82228176600825,-2.41240848799339,-2.07527197311836,-1.61679734222448
-3.48436670652321,-2.90762921028153,-2.4456830016381,-1.89385426628677
-3.38949424491606,-2.83666730481091,-2.3926055127365,-1.85415381279111
-3.44357473863805,-2.87711797741172,-2.42286146643156,-1.87678440642873
-3.76407646221236,-3.11684415955326,-2.60216983882737,-2.0109019739135
-2.50672544168801,-2.17638132396982,-1.89873036116679,-1.4847492329342
-2.90167686425688,-2.47179376546284,-2.11969047322626,-1.65002111814858
-3.46816971987439,-2.89551432450738,-2.43662141132487,-1.88707645421857
-2.64547863163727,-2.28016476736458,-1.97635742780801,-1.54281207300012
-3.73630560740986,-3.09607234927292,-2.58663311497096,-1.99928094594664
-2.77137756248552,-2.37433359020698,-2.04679303147657,-1.59549590310871
-2.42165979740352,-2.11275463919475,-1.85113940891434,-1.44915255295156
-3.27360250718831,-2.74998357806714,-2.32776854825987,-1.80565760571213
-3.49601366256784,-2.91634080245336,-2.45219902504178,-1.89872806663919
-3.33939822595447,-2.79919690611157,-2.36457871923494,-1.83319056763639
-3.42705166264807,-2.86475918607625,-2.41361744168906,-1.86987013859133
-2.79753286650626,-2.39389701440863,-2.06142591688253,-1.60644088559731
-2.98871193584199,-2.53689352589729,-2.16838324421431,-1.68644192723715
-3.42767383219971,-2.86522455122186,-2.41396552159457,-1.87013049246992
-1.93872100622165,-1.75153014615005,-1.58095375235096,-1.24706135919756
-3.92834166932533,-3.23970986685968,-2.69406989664986,-2.07964060581438
-2.62877457486759,-2.26767060754849,-1.9670121512885,-1.5358220717106
-2.62598988330233,-2.26558773738499,-1.9654542235912,-1.5346567860617
-2.32848846646438,-2.04306513112598,-1.799013637114,-1.4101639568045
-2.56060418209098,-2.21668109082086,-1.92887344164902,-1.50729540061593
-3.92309596780176,-3.23578623117724,-2.69113512864994,-2.0774454827422
-3.20773614760229,-2.70071741269671,-2.29091885646635,-1.77809508333866
-3.22900355451163,-2.71662482874916,-2.30281715166259,-1.78699467005407
-3.95721974939734,-3.26130985017969,-2.7102260704073,-2.09172496470548
-2.47354529627286,-2.15156351801681,-1.88016734751464,-1.47086462619249
-3.19418727361633,-2.69058323994797,-2.28333878321393,-1.77242540393448
-2.3499898915847,-2.0591475861506,-1.81104285648768,-1.4191614710844
-3.23804391263804,-2.72338675974494,-2.30787488390642,-1.79077771005643
-3.21835264611927,-2.70865825191842,-2.29685837856437,-1.7825376770958
-3.53711671631283,-2.94708471870678,-2.47519460080755,-1.91592810389015
-2.50966598582465,-2.17858076742815,-1.90037548237618,-1.48597973685253
-2.38511476021012,-2.08541998980537,-1.83069386788818,-1.43385986922631
-3.44840462548575,-2.88073059553203,-2.42556360213261,-1.87880552715163
-2.47856359061242,-2.15531705958741,-1.88297488995215,-1.47296458815911
-2.86466178860469,-2.44410754066248,-2.09898196378274,-1.63453174151942
-2.99254287888696,-2.53975896243825,-2.17052650932525,-1.68804502863902
-3.95740307313818,-3.26144697112868,-2.71032863298084,-2.09180167859616
-2.86341475087074,-2.44317479187221,-2.09828429419177,-1.63400990448974
-3.22534702337098,-2.7138898473567,-2.30077146329583,-1.78546455328419
-2.88782828083257,-2.46143541857049,-2.11194272408436,-1.64422602194359
-3.04457209714985,-2.57867533928288,-2.19963485339187,-1.70981724288402
-2.59779429996247,-2.24449824222741,-1.94967988047367,-1.5228580256395
-3.56206508859582,-2.96574539226369,-2.489152254383,-1.92636803215632
-2.74251784746332,-2.35274734342238,-2.03064713225728,-1.5834192292802
-2.49742430557373,-2.16942433844916,-1.89352673368084,-1.48085706743637
-3.14409358911665,-2.65311458735981,-2.25531329575391,-1.75146313566172
-3.22437671086698,-2.71316408117524,-2.30022861081483,-1.78505851505362
-2.73118188310719,-2.34426836419668,-2.0243050967276,-1.57867556691364
-2.1353445936529,-1.89859900246757,-1.69095707789859,-1.32934072095049
-2.84351160845598,-2.42828780689597,-2.08714925244487,-1.62568120966651
-3.7212133995909,-3.0847838066711,-2.57818960586999,-1.99296544106236
-2.61069776317547,-2.25414966605739,-1.95689887125222,-1.52825762561343
-3.42543553734571,-2.86355037027247,-2.41271328181646,-1.86919385269843
-3.40659545078948,-2.84945852087156,-2.40217297888605,-1.86131000561036
-3.35923997401563,-2.81403796985584,-2.37567941320518,-1.84149357129868
-3.49638988941827,-2.91662220944695,-2.45240950947678,-1.89888550301563
-3.7246234084101,-3.08733439637207,-2.58009737449103,-1.99439239778144
-3.73037024341357,-3.09163286565772,-2.58331250737521,-1.99679722582045
-2.58549197950653,-2.23529645609817,-1.94279720591877,-1.5177099806444
-2.8570237870963,-2.43839453256887,-2.09470879606447,-1.63133553348869
-3.20157668243276,-2.69611030777178,-2.2874728728939,-1.77551758554448
-2.81541402983836,-2.4072716164858,-2.07142973919545,-1.61392346042765
-3.40010061336112,-2.84460056702667,-2.39853936744937,-1.85859216750519
-2.36752707935139,-2.07226490427895,-1.82085423771763,-1.42650010545292
-3.36150269882335,-2.81573042371645,-2.37694532060164,-1.84244043406033
-2.18847022837554,-1.9383354676693,-1.72067882475342,-1.35157174305117
-3.27300833649413,-2.74953915527131,-2.32743613263692,-1.80540896827179
-3.42536063804765,-2.86349434772579,-2.41267137854344,-1.86916251024089
-3.10981452947388,-2.62747482479031,-2.23613548190862,-1.73711867584515
-2.71921432659755,-2.33531697198692,-2.0176097097095,-1.57366760767427
-2.70847039071564,-2.32728081323737,-2.01159889131318,-1.56917168631189
-3.126386891651,-2.63987048079328,-2.24540708037491,-1.74405356804443
-3.07663195608073,-2.60265520277873,-2.21757110989628,-1.7232330530886
-3.61058797120143,-3.00203912966959,-2.51629893867204,-1.94667298062847
-2.85517720196884,-2.43701333936445,-2.09367570279433,-1.63056280907808
-2.95143275132485,-2.50900975517063,-2.14752697603121,-1.67084203126937
-2.69704136567311,-2.31873222726258,-2.00520479191306,-1.56438908164965
-2.08430314521819,-1.86042144938683,-1.6624013530136,-1.30798185015061
-3.37092793261869,-2.82278023077629,-2.38221837596136,-1.84638452963495
-2.90081413365235,-2.47114846748524,-2.11920780867522,-1.64966009877937
-3.5507226071705,-2.95726153845542,-2.48280657280407,-1.92162164264852
-3.03680475005838,-2.57286558436849,-2.19528932180074,-1.70656690873262
-3.43647073882798,-2.87180438741473,-2.41888705210006,-1.8738116574422
-3.78068064070576,-3.12926361325675,-2.61145923729742,-2.01785018000981
-3.00065025158743,-2.5458230468463,-2.17506227215084,-1.69143765034836
-2.26040689450383,-1.99214204984491,-1.76092461930077,-1.38167445378387
-3.94057973555786,-3.2488635926556,-2.70091662344107,-2.08476176290371
-3.3355641944013,-2.79632915945423,-2.36243372622258,-1.83158617381336
-3.49059518559048,-2.91228793564092,-2.44916759582874,-1.89646064372623
-4.56694955733049,-3.71737042097353,-3.05134641834937,-2.3468732919936
-3.44533987310739,-2.8784382478383,-2.42384899119501,-1.87752304689117
-2.57572200292486,-2.22798879123005,-1.93733128024552,-1.5136216235557
-3.07565048204585,-2.60192108808934,-2.21702201296856,-1.72282234418932
-3.7505102685869,-3.10669703220632,-2.5945800759036,-2.00522504691048
-4.33828763206103,-3.54633779832596,-2.92341887651993,-2.25118712578048
-2.94389009102921,-2.50336805959502,-2.14330714805005,-1.66768571984635
-2.62327459486649,-2.26355677879021,-1.96393512427221,-1.53352054293648
-2.95304990864357,-2.51021934289333,-2.14843171327721,-1.67151874902117
-2.97352682670838,-2.52553549575191,-2.15988776040525,-1.68008754674809
-3.83435357638496,-3.16940944402237,-2.64148717796187,-2.04031022637955
-3.32510732692789,-2.78850771971717,-2.35658351154634,-1.82721037947003
-3.1338356847951,-2.64544196640678,-2.24957439329942,-1.74717059969731
-3.10491945818908,-2.62381345056327,-2.23339687802515,-1.73507027795805
-3.2767863604849,-2.75236500986344,-2.32954979157486,-1.80698992509752
-2.85238405388788,-2.4349241439675,-2.09211304400213,-1.62939398470465
-2.43852307450217,-2.12536789129265,-1.86057376307661,-1.45620918178672
-2.77607267355494,-2.3778453998748,-2.04941976531964,-1.59746062538439
-3.49850651165522,-2.91820538273614,-2.45359367811104,-1.89977122750578
-2.46126088190553,-2.14237512513304,-1.87329469072679,-1.46572407420248
-2.92922927355001,-2.49240218470934,-2.13510498523211,-1.66155073512389
-3.09207673848562,-2.61420746115238,-2.22621187090107,-1.729696096792
-3.94192227552926,-3.24986777440579,-2.70166772285627,-2.08532356392371
-3.0796441802231,-2.60490826084454,-2.21925633330861,-1.72449355231522
-2.90467247954585,-2.47403440057825,-2.12136640462469,-1.65127466721283
-3.05535865124141,-2.58674337524224,-2.20566951503533,-1.71433099831775
-3.58465816746258,-2.98264437327119,-2.50179221199019,-1.9358223612807
-3.40988476327396,-2.85191883314377,-2.40401322255561,-1.86268645558447
-2.72237998741466,-2.33768479632551,-2.01938077503277,-1.57499231421106
-2.95214000255346,-2.509538758993,-2.14792265585864,-1.671137988537
-2.39478951791833,-2.0926564336618,-1.83610652226843,-1.43790838090156
-3.20728649846344,-2.70038108791768,-2.29066729508834,-1.77790692257605
-3.05742808555665,-2.58829125330683,-2.20682728384452,-1.7151969764889
-3.27032208769894,-2.74752991750257,-2.32593327987862,-1.80428487711231
-2.71931268741942,-2.33539054308674,-2.01766473880164,-1.57370876787153
-2.55805537559916,-2.21477465598959,-1.92744748256678,-1.50622882374121
-2.51287400729637,-2.1809802763327,-1.90217024685448,-1.48732216968386
-3.28441192645809,-2.75806871653008,-2.33381600209005,-1.81018092933804
-3.34944970293369,-2.8067151252782,-2.37020213354054,-1.83739672174704
-4.03865802958892,-3.32222336968522,-2.75578765213302,-2.12580373319892
-3.05670368026101,-2.58774941872975,-2.20642200697715,-1.71489384090809
-3.70347704709799,-3.07151751898682,-2.56826679964519,-1.98554346396385
-2.72096745151177,-2.33662825960751,-2.01859051558932,-1.57440122260266
-3.14705136951099,-2.65532692304912,-2.25696805998576,-1.75270085228682
-3.03132310924699,-2.568765472803,-2.19222255485487,-1.70427305419964
-3.1967361009708,-2.6924896903839,-2.28476475396801,-1.77349198953941
-2.96138905824924,-2.51645678984051,-2.15309714635596,-1.67500836039527
-3.60042715229712,-2.99443912584996,-2.51061435176991,-1.94242107115385
-2.97671766684369,-2.52792215350504,-2.16167291258745,-1.68142278985508
-3.53336094894642,-2.94427551143725,-2.47309339359387,-1.91435646060036
-3.82287132004064,-3.16082104254641,-2.63506329769823,-2.03550534647762
-3.60390734216819,-2.99704220898354,-2.51256138398693,-1.94387739592704
-3.66092832940168,-3.03969228717652,-2.54446243056858,-1.96773847229833
-2.97045991267649,-2.52324153120276,-2.15817194010574,-1.67880416191928
-3.1909230033737,-2.68814165856108,-2.28151254971435,-1.77105943316941
-3.26623082559475,-2.7444697697023,-2.32364437627845,-1.80257284225884
-3.87727206761966,-3.20151125593223,-2.6654984210939,-2.05826995396017
-3.2282777819678,-2.71608197150929,-2.30241110987252,-1.78669096233282
-3.44205446564238,-2.87598085640969,-2.42201093223346,-1.87614823101658
-3.22510691054917,-2.71371024978882,-2.30063712941834,-1.78536407536094
