"V1","V2","V3","V4"
-4.43612997777021,-3.89829912088228,-3.54922995623166,-3.11803555822693
-4.39712560962335,-3.87247663574497,-3.53213441615892,-3.10671761230404
-4.29186911816543,-3.80279253841403,-3.48600069695957,-3.07617520551852
-4.42430365824761,-3.89046961422417,-3.54404650296944,-3.11460390041057
-4.39294227703211,-3.86970709867017,-3.53030086947302,-3.1055037294931
-4.39752010589304,-3.87273780839164,-3.53230732312056,-3.10683208377632
-4.45974769682417,-3.91393501573775,-3.55958155739062,-3.12488874108246
-4.39501746344521,-3.8710809568521,-3.53121041971493,-3.10610588891061
-4.38251874849259,-3.86280629695031,-3.5257322568198,-3.10247912127764
-4.23648749345029,-3.76612764037743,-3.46172703660834,-3.06010505072745
-4.3754083615983,-3.85809893034955,-3.52261578782262,-3.10041589148611
-4.4731973591932,-3.92283924167773,-3.56547651872236,-3.1287914463077
-4.45369871914684,-3.90993034539978,-3.55693030202629,-3.12313350172099
-4.48322315062799,-3.92947672518573,-3.56987080396213,-3.13170064265376
-4.37378421896935,-3.85702368157898,-3.52190392920996,-3.09994461200335
-4.4509153764682,-3.90808765884014,-3.55571036824554,-3.12232585572085
-4.43844971481878,-3.89983488157538,-3.55024669255008,-3.1187086792059
-4.48014479007838,-3.92743872474331,-3.56852156441194,-3.13080739095178
-4.45476159088318,-3.91063400991015,-3.55739615667858,-3.12344191653211
-4.37978944450854,-3.86099938621411,-3.5245360080957,-3.10168715575259
-4.45794675049952,-3.91274271569775,-3.55879220605577,-3.12436615825185
-4.46374164602165,-3.9165791732691,-3.5613320976967,-3.12604767027895
-4.46267053935183,-3.91587005689634,-3.56086263368879,-3.12573686592696
-4.30813938401252,-3.81356411908507,-3.49313192340928,-3.08089636875631
-4.42237958215456,-3.88919579724734,-3.54320318409224,-3.11404558886221
-4.33941697432418,-3.83427116163765,-3.50684083151256,-3.0899722259632
-4.32820844408512,-3.82685065672345,-3.50192815411354,-3.08671983283012
-4.48019316920687,-3.92747075370278,-3.56854276889157,-3.13082142918355
-4.58051986689153,-3.99389112616165,-3.61251576889444,-3.15993335159034
-4.5239018093018,-3.95640765905076,-3.58770018237547,-3.14350441953722
-4.45674989582157,-3.9119503490065,-3.55826762693604,-3.12401886544425
-4.47706111981717,-3.9253972090549,-3.56716999762529,-3.1299125985242
-4.49864607982845,-3.93968733438091,-3.57663064437777,-3.13617593316497
-4.27711915987546,-3.79302746345411,-3.47953581840884,-3.07189519181179
-4.24848010248569,-3.77406723748635,-3.46698337424646,-3.06358496097817
-4.42084347670686,-3.88817883268729,-3.54252991200798,-3.11359985523762
-4.33447341433187,-3.83099832296619,-3.50467407860857,-3.08853774702358
-4.40029591665501,-3.87457550851474,-3.53352395567661,-3.10763754423085
-4.44316969147414,-3.90295969894385,-3.55231544930446,-3.12007828069109
-4.42198881904881,-3.8889370961077,-3.54303191336922,-3.11393220064675
-4.40328513926057,-3.8765544959967,-3.53483412623616,-3.10850493066495
-4.34741207320207,-3.83956424371421,-3.51034506808263,-3.09229217372924
-4.43768061305999,-3.89932570479137,-3.54990959671795,-3.11848550799384
-4.28533911622646,-3.79846941036384,-3.48313860957997,-3.07428038674993
-4.35256035282377,-3.84297261514362,-3.51260154920923,-3.09378605641783
-4.42543259960229,-3.89121701952098,-3.54454131580927,-3.11493148672486
-4.54010388612083,-3.96713409579952,-3.5948015217044,-3.1482057962801
-4.4723678725284,-3.92229008761907,-3.56511295630124,-3.1285507531325
-4.43672015121313,-3.89868983981153,-3.54948862812465,-3.11820680958747
-4.3682067799236,-3.85333118907862,-3.51945934832735,-3.09832619959194
-4.39951515421475,-3.87405861188324,-3.53318174899005,-3.10741098942437
-4.41535137895719,-3.88454283961135,-3.54012273605248,-3.11200620641604
-4.43568017970501,-3.89800133618777,-3.54903281059866,-3.117905039764
-4.34864483410488,-3.84038038179317,-3.51088538483214,-3.09264988549068
-4.31148430980715,-3.81577859660953,-3.49459799799732,-3.08186697002633
-4.46973884369551,-3.92054956312942,-3.56396065798439,-3.12778788457254
-4.49927138793432,-3.94010131389237,-3.57690471572643,-3.13635737959427
-4.35209219685387,-3.84266267676623,-3.51239635734165,-3.09365021101891
-4.44239506906962,-3.90244686726684,-3.55197593378385,-3.1198535075464
-4.47846617775962,-3.92632741481286,-3.56778583183824,-3.13032030593152
-4.34187313613236,-3.8358972410949,-3.50791736254259,-3.09068493348401
-4.4492678880412,-3.90699695419753,-3.55498827721417,-3.12184780195889
-4.36910999167685,-3.85392915215769,-3.51985522431395,-3.09858828566758
-4.41476740396435,-3.88415622430927,-3.53986678092832,-3.11183675366745
-4.56108683984707,-3.98102566837141,-3.6039983102518,-3.15429444600984
-4.35564879305527,-3.84501728874723,-3.51395520666475,-3.09468223295362
-4.38913496928697,-3.86718650540504,-3.52863213375908,-3.10439895827853
-4.47686659985974,-3.92526842889646,-3.56708473989941,-3.12985615442669
-4.46724565683314,-3.91889897157374,-3.56286789894382,-3.12706443344579
-4.41421251383116,-3.88378886437248,-3.53962357364261,-3.1116757405087
-4.42402284151991,-3.89028370207838,-3.54392342153396,-3.1145224154721
-4.42189661934256,-3.88887605613558,-3.54299150241404,-3.11390544694353
-4.34796554895092,-3.83993066727079,-3.51058765544639,-3.09245277647433
-4.3821053216788,-3.86253259151008,-3.52555105263683,-3.10235915670588
-4.47775643212681,-3.92585753420909,-3.56747475168277,-3.13011435816021
-4.47881609476384,-3.92655907416462,-3.56793919979296,-3.130421841783
-4.41801881888786,-3.88630879381691,-3.54129186988012,-3.11278022077192
-4.33739839149261,-3.83293477733909,-3.50595609051234,-3.08938649127721
-4.45724873499089,-3.91228060091539,-3.55848626719132,-3.12416361422523
-4.52958690392424,-3.96017142394086,-3.59019194849175,-3.14515407050095
-4.39343817472399,-3.87003540320083,-3.53051822048436,-3.10564762474193
-4.42878309746325,-3.893435185981,-3.54600983262334,-3.11590370484828
-4.4175921918881,-3.88602634931431,-3.54110488008085,-3.11265642588581
-4.29545442597864,-3.80516615865499,-3.48757213052729,-3.07721555873726
