"V1","V2","V3","V4"
-5.22429027409822,-4.19238952670639,-3.52488510251544,-3.42835441390988
-4.43817795014166,-3.80834169064083,-3.3124130121346,-3.01344117002224
-4.97883754315141,-4.54500524903658,-3.82143806032246,-3.31084395338732
-5.38502294666777,-3.88908597556835,-3.15795409689318,-3.35463221609364
-4.40092054259788,-3.84650159140272,-3.19703387799237,-2.81393362893622
-4.80501974069993,-3.93188552171163,-3.68478049559248,-3.24786789388858
-4.95388260249428,-4.21093643252038,-3.83298580905921,-3.58191885317241
-5.02830884645212,-3.86525324111425,-3.42614752226149,-3.20571607816976
-5.32071573707934,-4.41442256526807,-4.37114382387686,-3.92292233143167
-5.18464511296221,-4.52227519107447,-4.00785019149114,-3.89725104824825
-5.15011379587068,-5.28600309189498,-4.62117425435985,-4.39799929258207
-4.49788915004146,-3.32281678723541,-3.17069251094573,-2.7685607589718
-5.92503545523043,-4.7170125895752,-4.75756970657661,-4.20249547849947
-4.55755486884181,-3.60248820202954,-2.93351344102776,-2.67126168545343
-5.35823035048668,-5.74413109114506,-4.87654697536501,-4.65318851796177
-5.53160004794332,-4.77385026913184,-4.731046989953,-4.33660916560373
-5.03782465848774,-4.61232499038472,-3.90874054346479,-3.45158884477922
-4.85870700303696,-4.58475251316248,-4.04769110217961,-3.64279536015979
-5.23046511741554,-4.54819122214732,-4.35662376065312,-3.94232617289531
-4.63372878054493,-3.52386433038163,-2.83357042042002,-2.6774982134599
-5.20426100991709,-4.15845202246121,-4.00469219918608,-3.48794448688732
-4.83787156925177,-4.16073675496545,-3.76743089665343,-3.49111145324738
-5.11248985893412,-4.37394474502098,-4.21115239529189,-3.794205003167
-4.78314214045751,-3.71380600540187,-3.46657057033413,-2.97257607719014
-5.50562394144381,-4.81267148088412,-4.53232674528698,-4.35877385679455
-5.00538929700187,-4.8870235911962,-4.40379906552896,-4.0711880514158
-5.16534022114558,-4.30791874618798,-4.15324272483127,-3.70347443802484
-4.57236761605586,-3.69824254450244,-3.08368245108801,-2.81511765775062
-5.14353741722179,-4.39977637489769,-3.86907786006087,-3.75708349510149
-5.00135323707092,-4.06933644186676,-3.43306362529431,-3.29014929882161
-4.87799363885653,-4.53926619067702,-3.97477528502233,-3.53818153342625
-4.89883099031829,-3.88424455604625,-3.42626178898308,-3.158934747005
-4.6653154788653,-4.17343643050694,-3.59129026643593,-3.18918684805881
-4.83746148075583,-3.70447338022798,-3.29960628309998,-3.10532835284703
-4.64945936653705,-4.57519138120044,-3.76428071451428,-3.52421563697593
-4.8015236176558,-3.8913677857503,-3.59679161544049,-3.13341353598196
-5.45908317609173,-4.77651475583692,-4.28022979368787,-4.28565257012984
-4.62829343791186,-4.35541520419699,-3.92394745894233,-3.59265087013148
-5.06410731279549,-3.76204015995244,-3.2245658913971,-2.93371286538299
-5.16383112824292,-4.37591640725177,-4.21571982668689,-3.77053289734449
-4.74405609290109,-4.50810984364837,-4.06614613843719,-3.7338062029328
-4.75372233864392,-4.27828111216864,-3.68075320912864,-3.26323021107521
-4.63964729479209,-3.75992278540606,-3.3204605725191,-3.05061232220756
-4.16977417443775,-3.42232853106332,-2.78402672299787,-2.34018531345606
-4.86013426353013,-4.57812517409935,-4.02981802163346,-3.67318479392358
