date,par_mean,par_median,par_min,par_max,par_sd,par_sum
2009-05-29,NA,NA,NA,NA,NA,NA
2009-06-04,NA,NA,NA,NA,NA,NA
2009-06-11,NA,NA,NA,NA,NA,NA
2009-06-17,NA,NA,NA,NA,NA,NA
2009-06-25,NA,NA,NA,NA,NA,NA
2009-07-02,NA,NA,NA,NA,NA,NA
2009-07-09,NA,NA,NA,NA,NA,NA
2009-07-16,NA,NA,NA,NA,NA,NA
2009-07-23,NA,NA,NA,NA,NA,NA
2009-07-30,350.38479861111114,102,0.5770000000000002,2068,486.865506118068,50455.411
2009-08-06,436.77281944444445,185.64999999999998,0.082,1755,558.3277671089718,62895.286
2009-08-13,174.54643055555556,107.95,0.5770000000000002,1244,235.25249221353735,25134.686
2009-08-20,391.28260416666666,95.19999999999999,0.5770000000000002,1618,504.50958677083764,56344.695
2009-08-27,425.97500694444443,108.25,1.812,1478,526.3739808688033,61340.401
2009-09-01,402.4871111111111,93.9,1.2349999999999997,1465,503.0460687490934,57958.144
2009-09-08,383.771,44.305,0.5770000000000002,1572,502.1757598501514,55263.024
2009-09-15,259.45177777777775,28.005000000000003,0.494,1534,368.08633996133585,37361.056
2009-09-21,384.33109722222224,15.605,0.24700000000000005,1375,501.8481732974252,55343.678
2009-09-28,248.67344444444444,1.6059999999999999,0.24700000000000005,1432,407.8376400509724,35808.976
2009-10-05,168.19372222222222,1.7295,0.082,1152,254.46622562825254,24219.896
2010-05-25,509.95014583333335,232.8,0.8240000000000002,1615,585.1755754222086,73432.821
2010-06-04,437.354875,204.2,0.165,1821,547.4210841181741,62979.102
2010-06-10,88.57673611111112,52.05,0.082,440.6,101.06612213350576,12755.05
2010-06-15,520.236875,281.5,0.082,1481,550.7000836337652,74914.11
2010-06-24,273.2499861111111,101.15,0.082,1942,397.9720772345786,39347.998
2010-07-01,294.09095833333333,164.9,0.082,2053,406.9801616065394,42349.098
2010-07-08,364.80875,117.1,0.082,1527,441.3494731120212,52532.46
2010-07-15,378.71098611111114,127.85,0.165,1622,481.5507459304737,54534.382
2010-07-22,334.60730555555557,111.4,0.329,1792,429.4365154481901,48183.452
2010-07-29,402.77433333333335,166.5,1.2349999999999997,1640,500.721109642855,57999.504
2010-08-05,165.08461111111112,55.49,0.741,1288,238.8907021331134,23772.184
2010-08-12,277.40289583333333,67.51,1.647,1530,377.33404805329957,39946.017
2010-08-19,394.4986736111111,81.8,0.906,1434,509.1283027757878,56807.809
2010-08-26,284.6999375,66.525,2.0589999999999997,1529,402.954809158133,40996.791
2010-09-02,399.5167777777778,63.235,0.5760000000000002,1375,502.99673803338925,57530.416
2010-09-09,107.47440277777778,20.340000000000003,0.988,672.9,147.41685421201575,15476.314
2010-09-16,278.69572916666664,6.4635,0.082,1453,421.9087861196305,40132.185
2010-09-23,252.27240277777778,7.203000000000001,1.564,1128,362.75811963689245,36327.226
2010-09-30,37.96196527777778,0.535,0.329,297.6,57.9591635052608,5466.523
2010-10-07,135.45493055555556,0.12350000000000003,0.24700000000000005,1264,231.22148334735635,19505.51
2011-05-26,406.5457152777778,207.25,0.082,1680,490.7599877826521,58542.583
2011-06-02,235.4297777777778,116.05,0.082,1615,308.1167377101398,33901.888
2011-06-10,377.3178263888889,285.4,0.4120000000000001,1803,417.93240986749873,54333.767
2011-06-16,498.89972916666665,234,0.165,1474,547.6834145433758,71841.561
2011-06-23,56.497479166666665,35,0.082,284,63.49698021903582,8135.637
2011-06-30,357.4877916666667,171.5,0.082,1580,427.5907264990323,51478.242
2011-07-07,461.59880555555554,201.25,0.082,1584,507.47918384217763,66470.228
