date,gdd,gdd_sum
2009-05-29,10.2,88.865
2009-06-04,12.329999999999998,157.165
2009-06-11,12.415,247.265
2009-06-17,14.489999999999998,326.92
2009-06-25,15.060000000000002,438.765
2009-07-02,15.384999999999998,553.13
2009-07-09,15.704999999999998,664.37
2009-07-16,16.76,784.28
2009-07-23,17.590000000000003,910.58
2009-07-30,20.29,1042.96
2009-08-06,19.95,1180.305
2009-08-13,19.005000000000003,1313.115
2009-08-20,21.849999999999998,1459.3400000000001
2009-08-27,20.03,1606.04
2009-09-01,17.425,1696.33
2009-09-08,16.93,1817.64
2009-09-15,15.704999999999998,1929.2
2009-09-21,13.765,2015.51
2009-09-28,NA,NA
2009-10-05,NA,NA
2010-05-25,NA,NA
2010-06-04,17.18,122.91
2010-06-10,14.09,216.86
2010-06-15,14.575,287.475
2010-06-24,18.090000000000003,432.505
2010-07-01,17.755000000000003,561.46
2010-07-08,21.244999999999997,694.6500000000001
2010-07-15,22.115000000000002,848.48
2010-07-22,21.585,1003.44
2010-07-29,20.29,1147.46
2010-08-05,20.72,1287.535
2010-08-12,19.775,1429.4
2010-08-19,20.285,1570.13
2010-08-26,17.425,1699.635
2010-09-02,20.03,1827.3
2010-09-09,17.095,1956.0700000000002
2010-09-16,14.655000000000001,2064.31
2010-09-23,14.010000000000002,2149.89
2010-09-30,NA,NA
2010-10-07,NA,NA
2011-05-26,NA,NA
2011-06-02,11.795,11.795
2011-06-10,15.735,125.405
2011-06-16,15.064999999999998,210.13
2011-06-23,15.225000000000001,320.68
2011-06-30,17.345,431.115
2011-07-07,19.695,560.16
2011-07-14,19.36,698.3149999999999
2011-07-21,21.68,842.465
2011-07-28,20.810000000000002,991.56
2011-08-04,20.380000000000003,1134.485
2011-08-11,19.78,1278.545
2011-08-18,19.1,1411.92
2011-08-25,18.509999999999998,1546.73
2011-09-01,17.43,1670.99
2011-09-08,17.009999999999998,1797.66
2011-09-15,16.525,1917.76
2011-09-22,14.82,2022.24
2011-09-29,NA,NA
2011-10-06,NA,NA
2012-05-24,14.814999999999998,14.814999999999998
2012-05-31,16.520000000000003,124.845
2012-06-07,13.370000000000001,217.105
2012-06-14,16.115000000000002,323.33500000000004
2012-06-21,19.53,443.995
2012-06-28,16.435000000000002,570.86
2012-07-05,19.435000000000002,700.19
2012-07-12,20.64,837.96
2012-07-19,21.155,989.1650000000001
2012-07-26,19.775,1135.53
2012-08-02,21.07,1274.73
2012-08-09,21.5,1424.71
2012-08-16,21.325,1572.705
2012-08-23,20.375,1716.73
2012-08-30,19.515,1859.725
2012-09-06,18.755000000000003,1990.94
2012-09-13,17.509999999999998,2116.34
2012-09-20,15.14,2232.915
2012-09-27,14.25,2335.655
2012-10-05,NA,NA
2013-05-23,10.99,10.99
2013-05-30,10.370000000000001,75.805
2013-06-06,13.450000000000003,173.5
2013-06-13,12.259999999999998,262.49
2013-06-20,14.420000000000002,356.82
2013-06-27,18.009999999999998,478.81
2013-07-03,19.11,588.885
2013-07-11,21.17,761.64
2013-07-18,22.925,911.925
2013-07-25,19.525,1063.105
2013-08-01,20.04,1202.445
2013-08-08,18.59,1336.25
2013-08-15,17.509999999999998,1465.33
2013-08-22,19.445,1592.34
2013-08-29,18.424999999999997,1722.435
2013-09-05,18.259999999999998,1855.6399999999999
2013-09-11,16.939999999999998,1956.745
2013-09-18,14.740000000000002,2068.695
2013-09-25,13.130000000000003,2168.805
2013-10-02,NA,NA
2014-05-29,11.155,11.155
2014-06-05,13.295000000000002,96.39
2014-06-12,14.415,198.45
2014-06-19,16.035,301.81
2014-06-26,16.36,411.445
2014-07-02,20.479999999999997,525.41
2014-07-09,19.270000000000003,657.235
2014-07-17,20.21,817.595
2014-07-23,21.695,939.675
2014-07-30,19.269999999999996,1079.63
2014-08-06,20.04,1217
2014-08-12,20.21,1333.645
2014-08-20,17.174999999999997,1476.065
2014-08-27,19.020000000000003,1598.16
2014-09-04,19.020000000000003,1745.43
2014-09-10,17.759999999999998,1859.3799999999999
2014-09-17,14.82,1969.44
2014-09-25,13.450000000000003,2079.845
2014-10-03,NA,NA
2014-10-10,NA,NA
2015-05-21,NA,NA
2015-05-28,NA,NA
2015-06-05,12.93,12.93
2015-06-11,15.100000000000001,94.125
2015-06-19,16.479999999999997,215.02
2015-06-25,17.384999999999998,315.32
2015-07-02,16.4,431.53000000000003
2015-07-09,18.465000000000003,555.26
2015-07-16,19.145,690.825
2015-07-23,20,830.595
2015-07-30,21.125,970.195
2015-08-06,20.17,1117.03
2015-08-13,19.485,1254.535
2015-08-20,21.909999999999997,1400.7
2015-08-25,20.86,1504.76
2015-09-03,20.09,1684.41
2015-09-10,20.689999999999998,1826.23
2015-09-17,18.635,1957.2350000000001
2015-09-24,16.805,2081.45
2015-10-02,NA,NA
2016-05-26,NA,NA
2016-06-03,16.240000000000002,49.285000000000004
2016-06-09,14.535,144.775
2016-06-16,12.45,230.20000000000002
2016-06-23,16.805,342.425
2016-06-30,19.485,472.445
2016-07-07,19.58,605.32
2016-07-14,20.175,737.855
2016-07-21,19.915,879.755
2016-07-27,20.865000000000002,1002.615
2016-08-04,20.865000000000002,1165.9
2016-08-10,20.78,1292.4750000000001
2016-08-15,21.384999999999998,1399.84
2016-08-22,19.57,1540.7
2016-08-31,19.655,1718.81
2016-09-07,18.3,1849.78
2016-09-14,18.22,1980.5
2016-09-21,18.05,2104.27
2016-09-28,15.505000000000003,2219.265
2016-10-05,NA,NA
