date,schmidt.stability_mean,schmidt.stability_median,schmidt.stability_min,schmidt.stability_max,schmidt.stability_sd,schmidt.stability_mean_lag,schmidt.stability_median_lag,schmidt.stability_min_lag,schmidt.stability_max_lag,schmidt.stability_sd_lag,schmidt.stability_mean_diff,schmidt.stability_median_diff,schmidt.stability_min_diff,schmidt.stability_max_diff,schmidt.stability_sd_diff
2009-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-30,422.60188594610713,426.81951219702023,363.15163561479415,473.3503594749148,25.32948329852151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-08-06,414.51494004939894,415.35456541510644,358.30418590055325,457.1229025082728,19.952909616377,422.60188594610713,426.81951219702023,363.15163561479415,473.3503594749148,25.32948329852151,-8.086945896708187,-11.464946781913795,-4.847449714240895,-16.227456966642023,-5.37657368214451
2009-08-13,411.3671476463144,413.52743454652796,375.00019795248994,438.8421809893731,14.653509686421692,414.51494004939894,415.35456541510644,358.30418590055325,457.1229025082728,19.952909616377,-3.1477924030845656,-1.8271308685784788,16.69601205193669,-18.280721518899668,-5.299399929955307
2009-08-20,517.203272868314,524.4193776305729,434.74964770248863,562.1162494351464,25.829221998802034,411.3671476463144,413.52743454652796,375.00019795248994,438.8421809893731,14.653509686421692,105.83612522199962,110.8919430840449,59.74944974999869,123.27406844577331,11.175712312380341
2009-08-27,399.5293128068864,401.9558954883071,355.46335255361043,436.53305967206006,18.588692304560382,517.203272868314,524.4193776305729,434.74964770248863,562.1162494351464,25.829221998802034,-117.67396006142758,-122.46348214226578,-79.2862951488782,-125.58318976308635,-7.240529694241651
2009-09-01,266.87622763216484,262.4695153376574,225.55439423436815,318.112815825332,19.65574439211575,469.64456416424304,467.2966024542533,432.2139958943599,500.84930090970323,15.346863457289022,-202.7683365320782,-204.82708711659586,-206.65960165999178,-182.73648508437122,4.308880934826728
2009-09-08,245.31010686458373,253.49237769737778,180.82029970408334,291.89574217792534,28.320805271777004,266.87622763216484,262.4695153376574,225.55439423436815,318.112815825332,19.65574439211575,-21.56612076758111,-8.977137640279636,-44.73409453028481,-26.217073647406664,8.665060879661254
2009-09-15,132.54268596308137,141.70227992655455,5.698185460032039,211.40119659894455,47.74928846753672,245.31010686458373,253.49237769737778,180.82029970408334,291.89574217792534,28.320805271777004,-112.76742090150236,-111.79009777082322,-175.1221142440513,-80.49454557898079,19.428483195759718
