date,gdd,gdd_sum
2009-05-29,9.315,84.15
2009-06-04,11.575000000000001,147.42000000000002
2009-06-11,12.21,236.64000000000001
2009-06-17,13.975000000000001,315.34000000000003
2009-06-25,15.580000000000002,426.685
2009-07-02,14.535,538.69
2009-07-09,15.744999999999997,646.46
2009-07-16,16.555,758.765
2009-07-23,16.96,879.5
2009-07-30,18.045,1003.15
2009-08-06,18.795,1132.975
2009-08-13,18.96,1262.865
2009-08-20,20.94,1405.75
2009-08-27,19.215,1546.78
2009-09-01,16.964999999999996,1635.005
2009-09-08,16.634999999999998,1755.155
2009-09-15,15.420000000000002,1867.3
2009-09-21,13.89,1954.34
2009-09-28,NA,NA
2009-10-05,NA,NA
2010-05-25,NA,NA
2010-06-04,16.064999999999998,128.385
2010-06-10,13.244999999999997,215.755
2010-06-15,13.479999999999997,282.055
2010-06-24,17.459999999999997,422.33
2010-07-01,16.96,546.22
2010-07-08,20.68,675.485
2010-07-15,20.85,816.885
2010-07-22,20.68,964.335
2010-07-29,20.160000000000004,1104.595
2010-08-05,20.16,1242.01
2010-08-12,20.42,1380.215
2010-08-19,19.645,1516.95
2010-08-26,17.21,1643.1
2010-09-02,19.475,1767.01
2010-09-09,16.634999999999998,1892.345
2010-09-16,14.45,1998.7450000000001
2010-09-23,13.64,2149.89
2010-09-30,NA,NA
2010-10-07,NA,NA
2011-05-26,NA,NA
2011-06-02,11.185,11.185
2011-06-10,15.995000000000001,120.52000000000001
2011-06-16,14.46,200.62
2011-06-23,14.780000000000001,306.985
2011-06-30,16.07,411.51500000000004
2011-07-07,18.880000000000003,535.82
2011-07-14,19.645,669.99
2011-07-21,21.38,813.22
2011-07-28,20.340000000000003,960.105
2011-08-04,20.165,1100.32
2011-08-11,19.14,1238.815
2011-08-18,18.72,1368.015
2011-08-25,17.795,1497.625
2011-09-01,17.55,1619.895
2011-09-08,16.15,1741.02
2011-09-15,15.995000000000001,1855.88
2011-09-22,14.700000000000003,1958.845
2011-09-29,NA,NA
2011-10-06,NA,NA
2012-05-24,10.95,10.95
2012-05-31,14.045000000000002,102.04
2012-06-07,12.605,191.60500000000002
2012-06-14,14.369999999999997,289.785
2012-06-21,17.630000000000003,399.86
2012-06-28,16.465,527.365
2012-07-05,18.96,655.515
2012-07-12,20.335,792.44
2012-07-19,20.595,939.63
2012-07-26,19.045,1080.855
2012-08-02,19.995,1216.17
2012-08-09,21.03,1359.29
2012-08-16,20.42,1502.835
2012-08-23,19.990000000000002,1644.135
2012-08-30,18.88,1782.275
2012-09-06,18.04,1909.17
2012-09-13,17.055,2029.7
2012-09-20,14.774999999999999,2139.745
2012-09-27,13.725000000000001,2237.91
2012-10-05,NA,NA
2013-05-23,9.175,9.175
2013-05-30,9.1,69.56
2013-06-06,13.510000000000002,156.955
2013-06-13,11.29,239.76
2013-06-20,14.075,328.77
2013-06-27,17.490000000000002,445.735
2013-07-03,17.335,546.26
2013-07-11,18.990000000000002,707.975
2013-07-18,22.71,853.6
2013-07-25,19.75,1003.0450000000001
2013-08-01,19.580000000000002,1138.7450000000001
2013-08-08,18.32,1268.89
2013-08-15,17.07,1393.44
2013-08-22,19.07,1518.08
2013-08-29,18.735,1648.82
2013-09-05,17.65,1777.87
2013-09-11,16.5,1875.96
2013-09-18,NA,NA
2013-09-25,NA,NA
2013-10-02,NA,NA
2014-05-29,NA,NA
2014-06-05,NA,NA
2014-06-12,13.829999999999998,97.91499999999999
2014-06-19,15.119999999999997,195.005
2014-06-26,15.685000000000002,302.87
2014-07-02,18.755000000000003,410.5
2014-07-09,18.235,539.155
2014-07-17,18.985,690.665
2014-07-23,20.700000000000003,808.77
2014-07-30,18.735,945.16
2014-08-06,19.490000000000002,1079.005
2014-08-12,19.494999999999997,1193.535
2014-08-20,17.405,1331.115
2014-08-27,18.479999999999997,1452.055
2014-09-04,18.740000000000002,1596.35
2014-09-10,17.235,1705.02
2014-09-17,NA,NA
2014-09-25,NA,NA
2014-10-03,NA,NA
2014-10-10,NA,NA
2015-05-21,NA,NA
2015-05-28,NA,NA
2015-06-05,11.445,11.445
2015-06-11,13.75,85.36
2015-06-19,15.365000000000002,202.85999999999999
2015-06-25,16.66,299.5
2015-07-02,15.924999999999997,413.7
2015-07-09,17.564999999999998,533.3
2015-07-16,17.9,661.965
2015-07-23,19.155,796.105
2015-07-30,21.22,933.81
2015-08-06,19.575000000000003,1075.2549999999999
2015-08-13,19.155,1211.12
2015-08-20,20.61,1353.55
2015-08-25,19.665,1452.815
2015-09-03,19.92,1627.25
2015-09-10,20.18,1768.615
2015-09-17,18.15,1897.11
2015-09-24,16.335,2017.98
2015-10-02,NA,NA
2016-05-26,NA,NA
2016-06-03,12.240000000000002,38.95
2016-06-09,13.75,124.285
2016-06-16,12.795000000000002,212.015
2016-06-23,15.365000000000002,318.695
2016-06-30,17.240000000000002,437.41
2016-07-07,19.405,563.895
2016-07-14,18.655,688.355
2016-07-21,19.075000000000003,822.14
2016-07-27,20.009999999999998,940.92
2016-08-04,20.185000000000002,1103.945
2016-08-10,20.005000000000003,1225.13
2016-08-15,20.270000000000003,1327.8600000000001
2016-08-22,19.155,1465.69
2016-08-31,18.985,1638.01
2016-09-07,18.564999999999998,1767.975
2016-09-14,17.82,1896.03
2016-09-21,17.57,2017.265
2016-09-28,15.2,2130.19
2016-10-05,NA,NA
