date,year,dayofyr,SOTF.tempC_mean,SOTF.tempC_median,SOTF.tempC_min,SOTF.tempC_max,SOTF.tempC_sd
2009-05-29,2009,149,13.304166666666667,13.32,13.01,13.62,0.191195703668909
2009-06-04,2009,155,15.517916666666666,15.5,15.02,16.130000000000003,0.32810363111922963
2009-06-11,2009,162,16.130000000000003,16.130000000000003,15.97,16.45,0.14920076931844967
2009-06-17,2009,168,17.610833333333332,17.005,16.45,19.5,1.082267814909233
2009-06-25,2009,176,19.116666666666667,18.775,18.53,20.630000000000003,0.7094312888667856
2009-07-02,2009,183,18.577916666666667,18.53,18.21,18.86,0.18153881287402443
2009-07-09,2009,190,19.4675,19.18,19.02,20.47,0.49878330225529344
2009-07-16,2009,197,20.367083333333333,20.39,19.979999999999997,21.130000000000003,0.39897127679840083
2009-07-23,2009,204,20.910416666666666,20.79,20.79,21.130000000000003,0.1459743624502398
2009-07-30,2009,211,22.11875,22.21,21.459999999999997,22.630000000000003,0.3207642029794524
2009-08-06,2009,218,22.76625,22.79,22.29,23.3,0.352454899982593
2009-08-13,2009,225,22.931666666666665,22.959999999999997,22.79,23.130000000000003,0.10829374973600356
2009-08-20,2009,232,24.963333333333335,25.03,24.51,25.37,0.2486776622661248
2009-08-27,2009,239,23.115833333333335,23.130000000000003,22.79,23.64,0.24516040297814437
2009-09-01,2009,244,20.734583333333333,20.630000000000003,20.47,21.459999999999997,0.31000672035726295
2009-09-08,2009,251,20.617916666666666,20.630000000000003,20.310000000000002,20.959999999999997,0.18462604193969648
2009-09-15,2009,258,19.4,19.34,19.18,19.66,0.12314713716243823
2009-09-21,NA,NA,NA,NA,NA,NA,NA
2009-09-28,NA,NA,NA,NA,NA,NA,NA
2009-10-05,NA,NA,NA,NA,NA,NA,NA
2010-05-25,NA,NA,NA,NA,NA,NA,NA
2010-06-04,2010,155,19.92083333333333,19.979999999999997,19.66,20.47,0.2119252671122053
2010-06-10,2010,161,17.29,17.24,16.93,17.56,0.1678508654832568
2010-06-15,2010,166,17.4,17.4,17.08,17.88,0.30938930028434236
2010-06-24,2010,175,21.466666666666665,21.545,20.959999999999997,21.959999999999997,0.4323913954284704
2010-07-01,2010,182,21.042916666666667,21.045,20.630000000000003,21.29,0.2132864814947393
2010-07-08,2010,189,25.005833333333335,25.115000000000002,23.47,25.89,0.5460682921669643
2010-07-15,2010,196,24.76666666666667,24.685000000000002,24.330000000000002,25.37,0.4095349076448912
2010-07-22,2010,203,24.587083333333332,24.595,24.330000000000002,25.03,0.200097349496094
2010-07-29,2010,210,24.1575,24.16,23.810000000000002,24.51,0.2060656290560393
2010-08-05,2010,217,24.042083333333334,23.979999999999997,23.64,24.68,0.2844518629203198
2010-08-12,2010,224,24.41166666666667,24.330000000000002,24.16,24.68,0.17051499147828741
2010-08-19,2010,231,23.53625,23.47,22.959999999999997,24.330000000000002,0.5659452462377716
2010-08-26,2010,238,21.006666666666668,20.79,20.79,21.630000000000003,0.27707582805570347
2010-09-02,2010,245,23.471666666666668,23.47,22.79,24.16,0.48330084848355864
2010-09-09,2010,252,20.625,20.630000000000003,20.310000000000002,20.959999999999997,0.2056379257864137
2010-09-16,2010,259,18.367916666666666,18.37,17.88,19.02,0.3403065008088354
2010-09-23,NA,NA,NA,NA,NA,NA,NA
2010-09-30,NA,NA,NA,NA,NA,NA,NA
2010-10-07,NA,NA,NA,NA,NA,NA,NA
2011-05-26,NA,NA,NA,NA,NA,NA,NA
2011-06-02,NA,NA,NA,NA,NA,NA,NA
2011-06-10,2011,161,20.032500000000002,20.150000000000002,19.35,20.64,0.48269397993021335
2011-06-16,2011,167,18.342083333333335,18.37,17.09,19.830000000000002,0.8361244923255551
2011-06-23,2011,174,18.805,18.86,18.05,19.51,0.5233670255931883
2011-06-30,2011,181,20.09,20.150000000000002,19.67,20.47,0.19345823052153097
2011-07-07,2011,188,22.96541666666667,22.97,22.630000000000003,23.130000000000003,0.1899880812432528
2011-07-14,2011,195,23.65375,23.650000000000002,23.3,23.99,0.20763288044883021
2011-07-21,2011,202,25.380416666666665,25.38,24.86,25.9,0.3023168387875423
2011-07-28,2011,209,24.34541666666667,24.34,23.650000000000002,25.03,0.3994994603758302
2011-08-04,2011,216,24.2075,24.25,23.650000000000002,24.68,0.3062430123426422
2011-08-11,2011,223,23.06625,22.97,22.630000000000003,23.650000000000002,0.3375591735565393
2011-08-18,2011,230,22.905,22.97,21.97,23.47,0.48319588250477197
2011-08-25,2011,237,21.777083333333334,21.8,21.459999999999997,22.130000000000003,0.21746522294014284
2011-09-01,2011,244,21.60375,21.630000000000003,20.97,22.130000000000003,0.3317648787659858
2011-09-08,2011,251,20.19,20.150000000000002,19.99,20.310000000000002,0.12703987734086863
2011-09-15,2011,258,20.070416666666667,20.230000000000004,19.35,20.64,0.4481505877217629
2011-09-22,NA,NA,NA,NA,NA,NA,NA
2011-09-29,NA,NA,NA,NA,NA,NA,NA
2011-10-06,NA,NA,NA,NA,NA,NA,NA
