date,date_1weeklag,date_1daylag,date_2daylag,date_3daylag
2010-08-19,2010-08-12,2010-08-18,2010-08-17,2010-08-16
2010-08-26,2010-08-19,2010-08-25,2010-08-24,2010-08-23
2010-09-02,2010-08-26,2010-09-01,2010-08-31,2010-08-30
2010-09-09,2010-09-02,2010-09-08,2010-09-07,2010-09-06
2010-09-16,2010-09-09,2010-09-15,2010-09-14,2010-09-13
2010-09-23,2010-09-16,2010-09-22,2010-09-21,2010-09-20
2010-09-30,2010-09-23,2010-09-29,2010-09-28,2010-09-27
2010-10-07,2010-09-30,2010-10-06,2010-10-05,2010-10-04
2011-05-26,2011-05-19,2011-05-25,2011-05-24,2011-05-23
2011-06-02,2011-05-26,2011-06-01,2011-05-31,2011-05-30
2011-06-10,2011-06-03,2011-06-09,2011-06-08,2011-06-07
2011-06-16,2011-06-09,2011-06-15,2011-06-14,2011-06-13
2011-06-23,2011-06-16,2011-06-22,2011-06-21,2011-06-20
2011-06-30,2011-06-23,2011-06-29,2011-06-28,2011-06-27
2011-07-07,2011-06-30,2011-07-06,2011-07-05,2011-07-04
2011-07-14,2011-07-07,2011-07-13,2011-07-12,2011-07-11
2011-07-21,2011-07-14,2011-07-20,2011-07-19,2011-07-18
2011-07-28,2011-07-21,2011-07-27,2011-07-26,2011-07-25
2011-08-04,2011-07-28,2011-08-03,2011-08-02,2011-08-01
2011-08-11,2011-08-04,2011-08-10,2011-08-09,2011-08-08
2011-08-18,2011-08-11,2011-08-17,2011-08-16,2011-08-15
2011-08-25,2011-08-18,2011-08-24,2011-08-23,2011-08-22
2011-09-01,2011-08-25,2011-08-31,2011-08-30,2011-08-29
2011-09-08,2011-09-01,2011-09-07,2011-09-06,2011-09-05
2011-09-15,2011-09-08,2011-09-14,2011-09-13,2011-09-12
2011-09-22,2011-09-15,2011-09-21,2011-09-20,2011-09-19
2011-09-29,2011-09-22,2011-09-28,2011-09-27,2011-09-26
2011-10-06,2011-09-29,2011-10-05,2011-10-04,2011-10-03
2012-05-24,2012-05-17,2012-05-23,2012-05-22,2012-05-21
2012-05-31,2012-05-24,2012-05-30,2012-05-29,2012-05-28
2012-06-07,2012-05-31,2012-06-06,2012-06-05,2012-06-04
2012-06-14,2012-06-07,2012-06-13,2012-06-12,2012-06-11
2012-06-21,2012-06-14,2012-06-20,2012-06-19,2012-06-18
2012-06-28,2012-06-21,2012-06-27,2012-06-26,2012-06-25
2012-07-05,2012-06-28,2012-07-04,2012-07-03,2012-07-02
2012-07-12,2012-07-05,2012-07-11,2012-07-10,2012-07-09
2012-07-19,2012-07-12,2012-07-18,2012-07-17,2012-07-16
2012-07-26,2012-07-19,2012-07-25,2012-07-24,2012-07-23
2012-08-02,2012-07-26,2012-08-01,2012-07-31,2012-07-30
2012-08-09,2012-08-02,2012-08-08,2012-08-07,2012-08-06
2012-08-16,2012-08-09,2012-08-15,2012-08-14,2012-08-13
2012-08-23,2012-08-16,2012-08-22,2012-08-21,2012-08-20
2012-08-30,2012-08-23,2012-08-29,2012-08-28,2012-08-27
2012-09-06,2012-08-30,2012-09-05,2012-09-04,2012-09-03
2012-09-13,2012-09-06,2012-09-12,2012-09-11,2012-09-10
2012-09-20,2012-09-13,2012-09-19,2012-09-18,2012-09-17
2012-09-27,2012-09-20,2012-09-26,2012-09-25,2012-09-24
2012-10-05,2012-09-28,2012-10-04,2012-10-03,2012-10-02
2013-05-23,2013-05-16,2013-05-22,2013-05-21,2013-05-20
2013-05-30,2013-05-23,2013-05-29,2013-05-28,2013-05-27
2013-06-06,2013-05-30,2013-06-05,2013-06-04,2013-06-03
2013-06-13,2013-06-06,2013-06-12,2013-06-11,2013-06-10
2013-06-20,2013-06-13,2013-06-19,2013-06-18,2013-06-17
2013-06-27,2013-06-20,2013-06-26,2013-06-25,2013-06-24
2013-07-03,2013-06-26,2013-07-02,2013-07-01,2013-06-30
2013-07-11,2013-07-04,2013-07-10,2013-07-09,2013-07-08
2013-07-18,2013-07-11,2013-07-17,2013-07-16,2013-07-15
2013-07-25,2013-07-18,2013-07-24,2013-07-23,2013-07-22
2013-08-01,2013-07-25,2013-07-31,2013-07-30,2013-07-29
2013-08-08,2013-08-01,2013-08-07,2013-08-06,2013-08-05
2013-08-15,2013-08-08,2013-08-14,2013-08-13,2013-08-12
2013-08-22,2013-08-15,2013-08-21,2013-08-20,2013-08-19
2013-08-29,2013-08-22,2013-08-28,2013-08-27,2013-08-26
2013-09-05,2013-08-29,2013-09-04,2013-09-03,2013-09-02
2013-09-11,2013-09-04,2013-09-10,2013-09-09,2013-09-08
2013-09-18,2013-09-11,2013-09-17,2013-09-16,2013-09-15
2013-09-25,2013-09-18,2013-09-24,2013-09-23,2013-09-22
2013-10-02,2013-09-25,2013-10-01,2013-09-30,2013-09-29
2014-05-29,2014-05-22,2014-05-28,2014-05-27,2014-05-26
2014-06-05,2014-05-29,2014-06-04,2014-06-03,2014-06-02
2014-06-12,2014-06-05,2014-06-11,2014-06-10,2014-06-09
2014-06-19,2014-06-12,2014-06-18,2014-06-17,2014-06-16
2014-06-26,2014-06-19,2014-06-25,2014-06-24,2014-06-23
2014-07-02,2014-06-25,2014-07-01,2014-06-30,2014-06-29
2014-07-09,2014-07-02,2014-07-08,2014-07-07,2014-07-06
2014-07-17,2014-07-10,2014-07-16,2014-07-15,2014-07-14
2014-07-23,2014-07-16,2014-07-22,2014-07-21,2014-07-20
2014-07-30,2014-07-23,2014-07-29,2014-07-28,2014-07-27
2014-08-06,2014-07-30,2014-08-05,2014-08-04,2014-08-03
2014-08-12,2014-08-05,2014-08-11,2014-08-10,2014-08-09
2014-08-20,2014-08-13,2014-08-19,2014-08-18,2014-08-17
2014-08-27,2014-08-20,2014-08-26,2014-08-25,2014-08-24
2014-09-04,2014-08-28,2014-09-03,2014-09-02,2014-09-01
2014-09-10,2014-09-03,2014-09-09,2014-09-08,2014-09-07
2014-09-17,2014-09-10,2014-09-16,2014-09-15,2014-09-14
2014-09-25,2014-09-18,2014-09-24,2014-09-23,2014-09-22
2014-10-03,2014-09-26,2014-10-02,2014-10-01,2014-09-30
2014-10-10,2014-10-03,2014-10-09,2014-10-08,2014-10-07
2015-05-21,2015-05-14,2015-05-20,2015-05-19,2015-05-18
2015-05-28,2015-05-21,2015-05-27,2015-05-26,2015-05-25
2015-06-05,2015-05-29,2015-06-04,2015-06-03,2015-06-02
2015-06-11,2015-06-04,2015-06-10,2015-06-09,2015-06-08
2015-06-19,2015-06-12,2015-06-18,2015-06-17,2015-06-16
2015-06-25,2015-06-18,2015-06-24,2015-06-23,2015-06-22
2015-07-02,2015-06-25,2015-07-01,2015-06-30,2015-06-29
2015-07-09,2015-07-02,2015-07-08,2015-07-07,2015-07-06
2015-07-16,2015-07-09,2015-07-15,2015-07-14,2015-07-13
2015-07-23,2015-07-16,2015-07-22,2015-07-21,2015-07-20
2015-07-30,2015-07-23,2015-07-29,2015-07-28,2015-07-27
2015-08-06,2015-07-30,2015-08-05,2015-08-04,2015-08-03
2015-08-13,2015-08-06,2015-08-12,2015-08-11,2015-08-10
2015-08-20,2015-08-13,2015-08-19,2015-08-18,2015-08-17
2015-08-25,2015-08-18,2015-08-24,2015-08-23,2015-08-22
2015-09-03,2015-08-27,2015-09-02,2015-09-01,2015-08-31
2015-09-10,2015-09-03,2015-09-09,2015-09-08,2015-09-07
2015-09-17,2015-09-10,2015-09-16,2015-09-15,2015-09-14
2015-09-24,2015-09-17,2015-09-23,2015-09-22,2015-09-21
2015-10-02,2015-09-25,2015-10-01,2015-09-30,2015-09-29
2016-05-26,2016-05-19,2016-05-25,2016-05-24,2016-05-23
2016-06-03,2016-05-27,2016-06-02,2016-06-01,2016-05-31
2016-06-09,2016-06-02,2016-06-08,2016-06-07,2016-06-06
2016-06-16,2016-06-09,2016-06-15,2016-06-14,2016-06-13
2016-06-23,2016-06-16,2016-06-22,2016-06-21,2016-06-20
2016-06-30,2016-06-23,2016-06-29,2016-06-28,2016-06-27
2016-07-07,2016-06-30,2016-07-06,2016-07-05,2016-07-04
2016-07-14,2016-07-07,2016-07-13,2016-07-12,2016-07-11
2016-07-21,2016-07-14,2016-07-20,2016-07-19,2016-07-18
2016-07-27,2016-07-20,2016-07-26,2016-07-25,2016-07-24
2016-08-04,2016-07-28,2016-08-03,2016-08-02,2016-08-01
2016-08-10,2016-08-03,2016-08-09,2016-08-08,2016-08-07
2016-08-15,2016-08-08,2016-08-14,2016-08-13,2016-08-12
2016-08-22,2016-08-15,2016-08-21,2016-08-20,2016-08-19
2016-08-31,2016-08-24,2016-08-30,2016-08-29,2016-08-28
2016-09-07,2016-08-31,2016-09-06,2016-09-05,2016-09-04
2016-09-14,2016-09-07,2016-09-13,2016-09-12,2016-09-11
2016-09-21,2016-09-14,2016-09-20,2016-09-19,2016-09-18
2016-09-28,2016-09-21,2016-09-27,2016-09-26,2016-09-25
2016-10-05,2016-09-28,2016-10-04,2016-10-03,2016-10-02
