date,date_1weeklag,date_1daylag,date_2daylag,date_3daylag,HCS.tempC_mean_lag,HCS.tempC_median_lag,HCS.tempC_min_lag,HCS.tempC_max_lag,HCS.tempC_sd_lag
2009-05-29,2009-05-22,2009-05-28,2009-05-27,2009-05-26,16.24125,16.02,15.54,17.12,0.6071337686568576
2009-06-04,2009-05-28,2009-06-03,2009-06-02,2009-06-01,14.29,14.28,13.97,14.59,0.19866948738392437
2009-06-11,2009-06-04,2009-06-10,2009-06-09,2009-06-08,16.280416666666667,16.18,15.54,17.12,0.5280437989629164
2009-06-17,2009-06-10,2009-06-16,2009-06-15,2009-06-14,16.281666666666666,16.255000000000003,16.02,16.49,0.1495984964661325
2009-06-25,2009-06-18,2009-06-24,2009-06-23,2009-06-22,18.87708333333333,18.9,18.41,19.38,0.263562205621147
2009-07-02,2009-06-25,2009-07-01,2009-06-30,2009-06-29,18.742083333333333,18.25,17.77,20.35,0.8526683394506037
2009-07-09,2009-07-02,2009-07-08,2009-07-07,2009-07-06,19.42833333333333,19.38,19.06,19.71,0.1759858360572061
2009-07-16,2009-07-09,2009-07-15,2009-07-14,2009-07-13,19.536666666666665,19.54,19.06,20.35,0.46275795783134066
2009-07-23,2009-07-16,2009-07-22,2009-07-21,2009-07-20,20.6975,20.68,20.35,21.17,0.24493566147229257
2009-07-30,2009-07-23,2009-07-29,2009-07-28,2009-07-27,21.69375,21.67,21.17,22.01,0.2108329753104594
2009-08-06,2009-07-30,2009-08-05,2009-08-04,2009-08-03,24.234583333333333,24.21,24.03,24.55,0.18277996195631882
2009-08-13,2009-08-06,2009-08-12,2009-08-11,2009-08-10,23.94625,24.03,23.52,24.38,0.2558500325003595
2009-08-20,2009-08-13,2009-08-19,2009-08-18,2009-08-17,22.986666666666668,23.01,22.84,23.17,0.12267548802559958
2009-08-27,2009-08-20,2009-08-26,2009-08-25,2009-08-24,25.725833333333334,25.759999999999998,25.419999999999998,26.279999999999998,0.2320778854771313
2009-09-01,2009-08-25,2009-08-31,2009-08-30,2009-08-29,24.960416666666667,24.72,24.38,25.759999999999998,0.4335242751005402
2009-09-08,2009-09-01,2009-09-07,2009-09-06,2009-09-05,21.380833333333335,21.255000000000003,21.01,21.84,0.30701815081121187
2009-09-15,2009-09-08,2009-09-14,2009-09-13,2009-09-12,20.797083333333333,20.51,20.19,21.67,0.5322755021085673
2009-09-21,2009-09-14,2009-09-20,2009-09-19,2009-09-18,19.68625,19.71,19.38,19.87,0.1482891564243445
2009-09-28,2009-09-21,2009-09-27,2009-09-26,2009-09-25,17.70583333333333,17.610000000000003,17.279999999999998,18.25,0.39570428865248825
2009-10-05,2009-09-28,2009-10-04,2009-10-03,2009-10-02,NA,NA,NA,NA,NA
2010-05-25,2010-05-18,2010-05-24,2010-05-23,2010-05-22,NA,NA,NA,NA,NA
2010-06-04,2010-05-28,2010-06-03,2010-06-02,2010-06-01,17.767083333333332,17.77,15.229999999999999,19.71,1.452782874248642
2010-06-10,2010-06-03,2010-06-09,2010-06-08,2010-06-07,21.23,21.255000000000003,20.84,21.67,0.29281244924829064
