date,date_1weeklag,date_1daylag,date_2daylag,date_3daylag,SOTF.tempC_mean_lag,SOTF.tempC_median_lag,SOTF.tempC_min_lag,SOTF.tempC_max_lag,SOTF.tempC_sd_lag
2009-09-28,2009-09-21,2009-09-27,2009-09-26,2009-09-25,17.748749999999998,17.56,17.41,18.37,0.28454865099418253
2009-10-05,2009-09-28,2009-10-04,2009-10-03,2009-10-02,NA,NA,NA,NA,NA
2010-05-25,2010-05-18,2010-05-24,2010-05-23,2010-05-22,NA,NA,NA,NA,NA
2010-06-04,2010-05-28,2010-06-03,2010-06-02,2010-06-01,19.807499999999997,19.979999999999997,19.34,20.310000000000002,0.3210614190191786
2010-06-10,2010-06-03,2010-06-09,2010-06-08,2010-06-07,19.97083333333333,19.82,18.86,20.959999999999997,0.6187569352561115
2010-06-15,2010-06-08,2010-06-14,2010-06-13,2010-06-12,17.780416666666667,17.799999999999997,17.41,18.04,0.180686593104016
2010-06-24,2010-06-17,2010-06-23,2010-06-22,2010-06-21,17.67375,17.72,17.41,17.88,0.09867877177995267
2010-07-01,2010-06-24,2010-06-30,2010-06-29,2010-06-28,21.466666666666665,21.545,20.959999999999997,21.959999999999997,0.4323913954284704
2010-07-08,2010-07-01,2010-07-07,2010-07-06,2010-07-05,21.042916666666667,21.045,20.630000000000003,21.29,0.2132864814947393
2010-07-15,2010-07-08,2010-07-14,2010-07-13,2010-07-12,25.005833333333335,25.115000000000002,23.47,25.89,0.5460682921669643
2010-07-22,2010-07-15,2010-07-21,2010-07-20,2010-07-19,24.76666666666667,24.685000000000002,24.330000000000002,25.37,0.4095349076448912
2010-07-29,2010-07-22,2010-07-28,2010-07-27,2010-07-26,24.587083333333332,24.595,24.330000000000002,25.03,0.200097349496094
2010-08-05,2010-07-29,2010-08-04,2010-08-03,2010-08-02,24.1575,24.16,23.810000000000002,24.51,0.2060656290560393
2010-08-12,2010-08-05,2010-08-11,2010-08-10,2010-08-09,24.042083333333334,23.979999999999997,23.64,24.68,0.2844518629203198
2010-08-19,2010-08-12,2010-08-18,2010-08-17,2010-08-16,24.41166666666667,24.330000000000002,24.16,24.68,0.17051499147828741
2010-08-26,2010-08-19,2010-08-25,2010-08-24,2010-08-23,23.53625,23.47,22.959999999999997,24.330000000000002,0.5659452462377716
2010-09-02,2010-08-26,2010-09-01,2010-08-31,2010-08-30,21.006666666666668,20.79,20.79,21.630000000000003,0.27707582805570347
2010-09-09,2010-09-02,2010-09-08,2010-09-07,2010-09-06,23.471666666666668,23.47,22.79,24.16,0.48330084848355864
2010-09-16,2010-09-09,2010-09-15,2010-09-14,2010-09-13,20.625,20.630000000000003,20.310000000000002,20.959999999999997,0.2056379257864137
2010-09-23,2010-09-16,2010-09-22,2010-09-21,2010-09-20,18.367916666666666,18.37,17.88,19.02,0.3403065008088354
2010-09-30,2010-09-23,2010-09-29,2010-09-28,2010-09-27,17.595416666666665,17.56,17.24,18.04,0.29694062013146333
2010-10-07,2010-09-30,2010-10-06,2010-10-05,2010-10-04,NA,NA,NA,NA,NA
2011-05-26,2011-05-19,2011-05-25,2011-05-24,2011-05-23,NA,NA,NA,NA,NA
2011-06-02,2011-05-26,2011-06-01,2011-05-31,2011-05-30,NA,NA,NA,NA,NA
2011-06-10,2011-06-03,2011-06-09,2011-06-08,2011-06-07,15.175416666666667,15.19,14.870000000000001,15.5,0.20310586587694435
2011-06-16,2011-06-09,2011-06-15,2011-06-14,2011-06-13,19.80375,19.67,19.02,21.130000000000003,0.623516064435148
2011-06-23,2011-06-16,2011-06-22,2011-06-21,2011-06-20,18.342083333333335,18.37,17.09,19.830000000000002,0.8361244923255551
2011-06-30,2011-06-23,2011-06-29,2011-06-28,2011-06-27,18.805,18.86,18.05,19.51,0.5233670255931883
2011-07-07,2011-06-30,2011-07-06,2011-07-05,2011-07-04,20.09,20.150000000000002,19.67,20.47,0.19345823052153097
2011-07-14,2011-07-07,2011-07-13,2011-07-12,2011-07-11,22.96541666666667,22.97,22.630000000000003,23.130000000000003,0.1899880812432528
2011-07-21,2011-07-14,2011-07-20,2011-07-19,2011-07-18,23.65375,23.650000000000002,23.3,23.99,0.20763288044883021
2011-07-28,2011-07-21,2011-07-27,2011-07-26,2011-07-25,25.380416666666665,25.38,24.86,25.9,0.3023168387875423
2011-08-04,2011-07-28,2011-08-03,2011-08-02,2011-08-01,24.34541666666667,24.34,23.650000000000002,25.03,0.3994994603758302
2011-08-11,2011-08-04,2011-08-10,2011-08-09,2011-08-08,24.2075,24.25,23.650000000000002,24.68,0.3062430123426422
2011-08-18,2011-08-11,2011-08-17,2011-08-16,2011-08-15,23.06625,22.97,22.630000000000003,23.650000000000002,0.3375591735565393
2011-08-25,2011-08-18,2011-08-24,2011-08-23,2011-08-22,22.905,22.97,21.97,23.47,0.48319588250477197
2011-09-01,2011-08-25,2011-08-31,2011-08-30,2011-08-29,21.777083333333334,21.8,21.459999999999997,22.130000000000003,0.21746522294014284
2011-09-08,2011-09-01,2011-09-07,2011-09-06,2011-09-05,21.60375,21.630000000000003,20.97,22.130000000000003,0.3317648787659858
2011-09-15,2011-09-08,2011-09-14,2011-09-13,2011-09-12,20.19,20.150000000000002,19.99,20.310000000000002,0.12703987734086863
2011-09-22,2011-09-15,2011-09-21,2011-09-20,2011-09-19,20.070416666666667,20.230000000000004,19.35,20.64,0.4481505877217629
2011-09-29,2011-09-22,2011-09-28,2011-09-27,2011-09-26,18.75875,18.7,17.89,19.51,0.5128718163440064
2011-10-06,2011-09-29,2011-10-05,2011-10-04,2011-10-03,NA,NA,NA,NA,NA
2012-05-24,2012-05-17,2012-05-23,2012-05-22,2012-05-21,NA,NA,NA,NA,NA
2012-05-31,2012-05-24,2012-05-30,2012-05-29,2012-05-28,15.222916666666666,15.34,14.239999999999998,15.66,0.4652019586360753
2012-06-07,2012-05-31,2012-06-06,2012-06-05,2012-06-04,18.186666666666667,18.21,17.72,18.37,0.1626590637329903
2012-06-14,2012-06-07,2012-06-13,2012-06-12,2012-06-11,16.621666666666666,16.53,16.130000000000003,17.08,0.3171841690586859
2012-06-21,2012-06-14,2012-06-20,2012-06-19,2012-06-18,18.18625,18.21,17.72,19.02,0.3467339852419138
2012-06-28,2012-06-21,2012-06-27,2012-06-26,2012-06-25,21.362916666666667,21.295,20.630000000000003,22.630000000000003,0.5657505915896672
2012-07-05,2012-06-28,2012-07-04,2012-07-03,2012-07-02,20.52916666666667,20.55,20.14,20.79,0.21159675896808272
2012-07-12,2012-07-05,2012-07-11,2012-07-10,2012-07-09,22.917499999999997,22.959999999999997,22.79,23.130000000000003,0.10334618900863606
2012-07-19,2012-07-12,2012-07-18,2012-07-17,2012-07-16,24.122083333333332,23.979999999999997,23.64,25.03,0.4171432781344481
2012-07-26,2012-07-19,2012-07-25,2012-07-24,2012-07-23,24.602083333333333,24.68,24.330000000000002,24.86,0.21409017130469793
2012-08-02,2012-07-26,2012-08-01,2012-07-31,2012-07-30,23.045,23.045,22.959999999999997,23.130000000000003,0.08682816613739504
2012-08-09,2012-08-02,2012-08-08,2012-08-07,2012-08-06,23.815416666666668,23.725,23.130000000000003,24.86,0.493346858901935
2012-08-16,2012-08-09,2012-08-15,2012-08-14,2012-08-13,24.885416666666668,24.86,24.51,25.55,0.26350446191530674
2012-08-23,2012-08-16,2012-08-22,2012-08-21,2012-08-20,24.427500000000002,24.51,24.16,24.68,0.18510279165442325
2012-08-30,2012-08-23,2012-08-29,2012-08-28,2012-08-27,23.877916666666668,23.725,23.47,24.51,0.3631981034075496
2012-09-06,2012-08-30,2012-09-05,2012-09-04,2012-09-03,22.70375,22.630000000000003,22.29,23.47,0.36381806848550335
2012-09-13,2012-09-06,2012-09-12,2012-09-11,2012-09-10,21.848333333333333,21.795,21.29,22.79,0.5108872645715982
2012-09-20,2012-09-13,2012-09-19,2012-09-18,2012-09-17,20.821666666666665,20.630000000000003,19.979999999999997,22.130000000000003,0.7963048720655693
2012-09-27,2012-09-20,2012-09-26,2012-09-25,2012-09-24,18.693333333333335,18.53,18.37,19.18,0.30283682888237995
2012-10-05,2012-09-28,2012-10-04,2012-10-03,2012-10-02,NA,NA,NA,NA,NA
2013-05-23,2013-05-16,2013-05-22,2013-05-21,2013-05-20,NA,NA,NA,NA,NA
2013-05-30,2013-05-23,2013-05-29,2013-05-28,2013-05-27,13.165,13.254999999999999,12.56,13.79,0.4024922359499619
2013-06-06,2013-05-30,2013-06-05,2013-06-04,2013-06-03,13.122083333333332,13.18,12.56,13.639999999999999,0.3990312090514993
2013-06-13,2013-06-06,2013-06-12,2013-06-11,2013-06-10,17.443333333333335,17.43,17.110000000000003,17.91,0.309089359059896
2013-06-20,2013-06-13,2013-06-19,2013-06-18,2013-06-17,15.296666666666667,15.370000000000001,15.05,15.53,0.19441476654121526
2013-06-27,2013-06-20,2013-06-26,2013-06-25,2013-06-24,17.638333333333332,17.59,16.95,19.2,0.7469920357334977
2013-07-03,2013-06-26,2013-07-02,2013-07-01,2013-06-30,22.02375,21.979999999999997,21.82,22.32,0.13295348974277768
2013-07-11,2013-07-04,2013-07-10,2013-07-09,2013-07-08,22.75625,22.9,21.82,24.01,0.6612163528054879
2013-07-18,2013-07-11,2013-07-17,2013-07-16,2013-07-15,23.055416666666666,23.150000000000002,22.32,23.66,0.3662142300878549
2013-07-25,2013-07-18,2013-07-24,2013-07-23,2013-07-22,26.450833333333332,26.354999999999997,26.09,27.330000000000002,0.3737927426967438
2013-08-01,2013-07-25,2013-07-31,2013-07-30,2013-07-29,23.634166666666665,23.66,23.32,24.18,0.29014114506214267
2013-08-08,2013-08-01,2013-08-07,2013-08-06,2013-08-05,23.5625,23.575,23.150000000000002,24.01,0.2902809733314619
2013-08-15,2013-08-08,2013-08-14,2013-08-13,2013-08-12,22.281666666666666,22.235,21.82,22.82,0.3516503533547114
2013-08-22,2013-08-15,2013-08-21,2013-08-20,2013-08-19,21.0775,21.07,20.66,21.479999999999997,0.2949023419784039
2013-08-29,2013-08-22,2013-08-28,2013-08-27,2013-08-26,22.991666666666667,22.979999999999997,22.479999999999997,23.66,0.36895465335442545
2013-09-05,2013-08-29,2013-09-04,2013-09-03,2013-09-02,22.65041666666667,22.650000000000002,22.150000000000002,23.32,0.27409105384361127
2013-09-11,2013-09-04,2013-09-10,2013-09-09,2013-09-08,22.06791666666667,22.150000000000002,21.650000000000002,22.479999999999997,0.25552978498502393
2013-09-18,2013-09-11,2013-09-17,2013-09-16,2013-09-15,20.3475,20.25,19.52,21.479999999999997,0.6895319773774724
2013-09-25,2013-09-18,2013-09-24,2013-09-23,2013-09-22,NA,NA,NA,NA,NA
2013-10-02,2013-09-25,2013-10-01,2013-09-30,2013-09-29,NA,NA,NA,NA,NA
2014-05-29,2014-05-22,2014-05-28,2014-05-27,2014-05-26,NA,NA,NA,NA,NA
2014-06-05,2014-05-29,2014-06-04,2014-06-03,2014-06-02,NA,NA,NA,NA,NA
2014-06-12,2014-06-05,2014-06-11,2014-06-10,2014-06-09,NA,NA,NA,NA,NA
2014-06-19,2014-06-12,2014-06-18,2014-06-17,2014-06-16,17.85,17.91,17.27,18.39,0.31584255846723797
2014-06-26,2014-06-19,2014-06-25,2014-06-24,2014-06-23,19.046666666666667,19.04,18.72,19.52,0.28103329010088407
2014-07-02,2014-06-25,2014-07-01,2014-06-30,2014-06-29,19.582083333333333,19.52,18.88,20.17,0.2972918221818965
2014-07-09,2014-07-02,2014-07-08,2014-07-07,2014-07-06,22.62,22.479999999999997,21.150000000000002,24.36,0.9694507633751676
2014-07-17,2014-07-10,2014-07-16,2014-07-15,2014-07-14,22.1925,22.150000000000002,21.479999999999997,22.82,0.39127717296943976
2014-07-23,2014-07-16,2014-07-22,2014-07-21,2014-07-20,23.164583333333333,23.150000000000002,22.82,23.49,0.19282745534864104
2014-07-30,2014-07-23,2014-07-29,2014-07-28,2014-07-27,24.543333333333333,24.445,24.01,25.39,0.3990495955519125
2014-08-06,2014-07-30,2014-08-05,2014-08-04,2014-08-03,22.697916666666664,22.650000000000002,22.32,23.150000000000002,0.23810810783023081
2014-08-12,2014-08-05,2014-08-11,2014-08-10,2014-08-09,23.307916666666667,23.32,22.82,23.830000000000002,0.3949350983187727
2014-08-20,2014-08-13,2014-08-19,2014-08-18,2014-08-17,22.399583333333332,22.479999999999997,21.650000000000002,23.150000000000002,0.4834790509976859
2014-08-27,2014-08-20,2014-08-26,2014-08-25,2014-08-24,21.335,21.32,20.66,22.150000000000002,0.6529997669618072
2014-09-04,2014-08-28,2014-09-03,2014-09-02,2014-09-01,21.99041666666667,22.064999999999998,21.479999999999997,22.32,0.2680278889879987
2014-09-10,2014-09-03,2014-09-09,2014-09-08,2014-09-07,22.26125,22.150000000000002,21.82,22.979999999999997,0.3430339379838321
2014-09-17,2014-09-10,2014-09-16,2014-09-15,2014-09-14,21.255416666666665,21.32,20.99,21.479999999999997,0.1733801845823125
2014-09-25,2014-09-18,2014-09-24,2014-09-23,2014-09-22,NA,NA,NA,NA,NA
2014-10-03,2014-09-26,2014-10-02,2014-10-01,2014-09-30,NA,NA,NA,NA,NA
2014-10-10,2014-10-03,2014-10-09,2014-10-08,2014-10-07,NA,NA,NA,NA,NA
2015-05-21,2015-05-14,2015-05-20,2015-05-19,2015-05-18,NA,NA,NA,NA,NA
2015-05-28,2015-05-21,2015-05-27,2015-05-26,2015-05-25,NA,NA,NA,NA,NA
2015-06-05,2015-05-29,2015-06-04,2015-06-03,2015-06-02,NA,NA,NA,NA,NA
2015-06-11,2015-06-04,2015-06-10,2015-06-09,2015-06-08,NA,NA,NA,NA,NA
2015-06-19,2015-06-12,2015-06-18,2015-06-17,2015-06-16,17.63,17.67,17.110000000000003,18.39,0.3442951211312508
2015-06-25,2015-06-18,2015-06-24,2015-06-23,2015-06-22,19.417083333333334,19.2,18.39,20.49,0.7641447573234595
2015-07-02,2015-06-25,2015-07-01,2015-06-30,2015-06-29,20.6025,20.575,20.330000000000002,20.99,0.22055759377974907
2015-07-09,2015-07-02,2015-07-08,2015-07-07,2015-07-06,19.86625,19.85,19.36,20.49,0.3515532305541275
2015-07-16,2015-07-09,2015-07-15,2015-07-14,2015-07-13,21.42791666666667,21.4,21.150000000000002,21.979999999999997,0.2854588855900588
2015-07-23,2015-07-16,2015-07-22,2015-07-21,2015-07-20,21.913333333333334,21.979999999999997,21.479999999999997,22.32,0.20196139679924327
2015-07-30,2015-07-23,2015-07-29,2015-07-28,2015-07-27,23.207083333333333,23.150000000000002,22.82,23.49,0.19109476744518017
2015-08-06,2015-07-30,2015-08-05,2015-08-04,2015-08-03,25.24375,25.305,24.7,25.74,0.3608421610862446
2015-08-13,2015-08-06,2015-08-12,2015-08-11,2015-08-10,23.560833333333335,23.49,23.32,23.830000000000002,0.18016699178133744
2015-08-20,2015-08-13,2015-08-19,2015-08-18,2015-08-17,23.090416666666666,22.979999999999997,22.650000000000002,23.66,0.360211039189005
2015-08-25,2015-08-18,2015-08-24,2015-08-23,2015-08-22,24.99875,24.79,24.36,25.919999999999998,0.5117515744118849
2015-09-03,2015-08-27,2015-09-02,2015-09-01,2015-08-31,23.136666666666667,23.150000000000002,22.82,23.66,0.22246966899599743
2015-09-10,2015-09-03,2015-09-09,2015-09-08,2015-09-07,23.868750000000002,23.830000000000002,23.66,24.18,0.15433764510206896
2015-09-17,2015-09-10,2015-09-16,2015-09-15,2015-09-14,24.11625,24.01,23.66,24.7,0.29835509191157616
2015-09-24,2015-09-17,2015-09-23,2015-09-22,2015-09-21,21.997083333333332,21.9,21.479999999999997,22.82,0.43760692275211965
2015-10-02,2015-09-25,2015-10-01,2015-09-30,2015-09-29,NA,NA,NA,NA,NA
2016-05-26,2016-05-19,2016-05-25,2016-05-24,2016-05-23,NA,NA,NA,NA,NA
2016-06-03,2016-05-27,2016-06-02,2016-06-01,2016-05-31,NA,NA,NA,NA,NA
2016-06-09,2016-06-02,2016-06-08,2016-06-07,2016-06-06,16.765,16.869999999999997,15.84,17.43,0.4233920990821836
2016-06-16,2016-06-09,2016-06-15,2016-06-14,2016-06-13,17.903333333333332,17.91,17.27,18.23,0.2561702332547582
2016-06-23,2016-06-16,2016-06-22,2016-06-21,2016-06-20,16.837500000000002,17.110000000000003,16.32,17.27,0.37766156922510136
2016-06-30,2016-06-23,2016-06-29,2016-06-28,2016-06-27,19.407916666666665,19.52,18.88,19.85,0.3093609003521082
2016-07-07,2016-06-30,2016-07-06,2016-07-05,2016-07-04,21.278333333333332,21.4,20.66,21.82,0.4059306715991385
2016-07-14,2016-07-07,2016-07-13,2016-07-12,2016-07-11,23.38375,23.32,23.150000000000002,23.66,0.1308438332350894
2016-07-21,2016-07-14,2016-07-20,2016-07-19,2016-07-18,22.441666666666666,22.32,21.479999999999997,23.830000000000002,0.5105552532945549
2016-07-27,2016-07-20,2016-07-26,2016-07-25,2016-07-24,22.671666666666667,22.650000000000002,22.32,22.82,0.1600181149165606
2016-08-04,2016-07-28,2016-08-03,2016-08-02,2016-08-01,24.667916666666667,24.7,24.36,25.39,0.31716103668074686
2016-08-10,2016-08-03,2016-08-09,2016-08-08,2016-08-07,23.944583333333334,24.01,23.32,24.88,0.47586972245943904
2016-08-15,2016-08-08,2016-08-14,2016-08-13,2016-08-12,23.820833333333333,23.830000000000002,23.32,24.36,0.32644217367494555
2016-08-22,2016-08-15,2016-08-21,2016-08-20,2016-08-19,24.255833333333335,24.27,24.01,24.53,0.1701129207235633
2016-08-31,2016-08-24,2016-08-30,2016-08-29,2016-08-28,22.812083333333334,22.82,22.32,23.66,0.4739563286308937
2016-09-07,2016-08-31,2016-09-06,2016-09-05,2016-09-04,22.949583333333333,22.9,22.650000000000002,23.32,0.2653542204654757
2016-09-14,2016-09-07,2016-09-13,2016-09-12,2016-09-11,22.407083333333333,22.32,22.150000000000002,22.979999999999997,0.23991808686674043
2016-09-21,2016-09-14,2016-09-20,2016-09-19,2016-09-18,21.740833333333335,21.82,21.32,22.32,0.2606166044072287
2016-09-28,2016-09-21,2016-09-27,2016-09-26,2016-09-25,21.283333333333335,21.150000000000002,20.99,22.150000000000002,0.2760382246162213
2016-10-05,2016-09-28,2016-10-04,2016-10-03,2016-10-02,19.16,19.2,18.88,19.52,0.1901944085494585
