date,date_1weeklag,date_1daylag,date_2daylag,date_3daylag,SOTF.tempC_mean_lag,SOTF.tempC_median_lag,SOTF.tempC_min_lag,SOTF.tempC_max_lag,SOTF.tempC_sd_lag
2009-05-29,2009-05-22,2009-05-28,2009-05-27,2009-05-26,14.285,14.239999999999998,13.93,14.870000000000001,0.2858397240169518
2009-06-04,2009-05-28,2009-06-03,2009-06-02,2009-06-01,13.802916666666667,13.78,13.32,14.239999999999998,0.2739006352146965
2009-06-11,2009-06-04,2009-06-10,2009-06-09,2009-06-08,15.517916666666666,15.5,15.02,16.130000000000003,0.32810363111922963
2009-06-17,2009-06-10,2009-06-16,2009-06-15,2009-06-14,16.263333333333335,16.29,15.97,16.610000000000003,0.16115524965930622
2009-06-25,2009-06-18,2009-06-24,2009-06-23,2009-06-22,17.25,17.24,16.610000000000003,18.04,0.35825664834997284
2009-07-02,2009-06-25,2009-07-01,2009-06-30,2009-06-29,19.116666666666667,18.775,18.53,20.630000000000003,0.7094312888667856
2009-07-09,2009-07-02,2009-07-08,2009-07-07,2009-07-06,18.577916666666667,18.53,18.21,18.86,0.18153881287402443
2009-07-16,2009-07-09,2009-07-15,2009-07-14,2009-07-13,19.4675,19.18,19.02,20.47,0.49878330225529344
2009-07-23,2009-07-16,2009-07-22,2009-07-21,2009-07-20,20.367083333333333,20.39,19.979999999999997,21.130000000000003,0.39897127679840083
2009-07-30,2009-07-23,2009-07-29,2009-07-28,2009-07-27,20.910416666666666,20.79,20.79,21.130000000000003,0.1459743624502398
2009-08-06,2009-07-30,2009-08-05,2009-08-04,2009-08-03,22.11875,22.21,21.459999999999997,22.630000000000003,0.3207642029794524
2009-08-13,2009-08-06,2009-08-12,2009-08-11,2009-08-10,22.76625,22.79,22.29,23.3,0.352454899982593
2009-08-20,2009-08-13,2009-08-19,2009-08-18,2009-08-17,22.931666666666665,22.959999999999997,22.79,23.130000000000003,0.10829374973600356
2009-08-27,2009-08-20,2009-08-26,2009-08-25,2009-08-24,24.963333333333335,25.03,24.51,25.37,0.2486776622661248
2009-09-01,2009-08-25,2009-08-31,2009-08-30,2009-08-29,24.35375,24.245,23.64,25.37,0.5985839267732666
2009-09-08,2009-09-01,2009-09-07,2009-09-06,2009-09-05,20.734583333333333,20.630000000000003,20.47,21.459999999999997,0.31000672035726295
2009-09-15,2009-09-08,2009-09-14,2009-09-13,2009-09-12,20.617916666666666,20.630000000000003,20.310000000000002,20.959999999999997,0.18462604193969648
2009-09-21,2009-09-14,2009-09-20,2009-09-19,2009-09-18,19.52,19.5,19.18,19.979999999999997,0.2843145838832318
