date,date_1weeklag,schmidt.stability_mean_lag,schmidt.stability_median_lag,schmidt.stability_min_lag,schmidt.stability_max_lag,schmidt.stability_sd_lag
2010-08-12,2010-08-05,114.51271889915853,128.4283271065786,38.2604514221078,183.29728012376125,42.03722519830642
2010-08-19,2010-08-12,121.60329566780769,117.78602189474213,68.42086842882581,206.30863299503858,30.297423578329635
2010-08-26,2010-08-19,12.840235260796955,9.497887256007594,0,55.09517051408134,13.118130105857311
2010-09-02,2010-08-26,0.11652038090247556,0,0,5.1361241044530885,0.6202613461581713
2010-09-09,2010-09-02,90.82782239855689,94.55899179890244,59.579057728517114,118.8136254729407,15.012044275690528
2010-09-16,2010-09-09,0,0,0,0,0
2010-09-23,2010-09-16,0,0,0,0,0
2010-09-30,2010-09-23,5.5154353723424805,0,0,23.24143631714346,7.784333734267684
2010-10-07,2010-09-30,3.134528413763869,2.451949101555705,0,11.804940228561572,3.0806008968077396
2011-05-26,2011-05-19,38.5372676396552,39.308077685454336,21.675313310394724,49.49570434349704,6.992898302126381
2011-06-02,2011-05-26,116.27017626901352,124.58211122462833,71.91591421669897,147.01952149071542,21.632149816080112
2011-06-10,2011-06-03,180.79212762121074,180.3038893057568,137.2674118529534,214.55471589867872,15.76450039582121
2011-06-16,2011-06-09,299.36767752470445,297.07411885599186,248.85270196990035,356.1117038777887,28.792469273825343
2011-06-23,2011-06-16,260.0226867518048,259.5497106854183,235.45445755169143,287.9583328779104,9.4235767917209
2011-06-30,2011-06-23,344.7405904288301,342.7144113485126,322.3692165062802,367.6118744489952,10.063577575055227
2011-07-07,2011-06-30,359.6830539739969,364.24964378697075,320.02872634828236,380.97058338129,13.214791962436099
2011-07-14,2011-07-07,479.5702244640637,484.62073289207717,405.5890289180233,509.4551170236743,22.61006611412014
2011-07-21,2011-07-14,512.8499509298912,512.1622092925179,443.5249648487721,566.9147641002704,27.020283695293365
2011-07-28,2011-07-21,580.0598656331741,574.0328894842585,543.402700550058,633.5990783995006,25.537804399341063
2011-08-04,2011-07-28,553.3003228573051,554.6941870846592,527.7254472207998,581.7111810613407,14.432126724446507
2011-08-11,2011-08-04,551.7817364387627,552.8410149799095,518.6289110790175,582.879757643605,20.784645223538586
2011-08-18,2011-08-11,539.2803807259629,540.7396918565165,506.7996976535465,563.4065768086679,12.23769731763891
2011-08-25,2011-08-18,434.7971119076985,438.5744846723884,387.8839456461138,459.6656175459348,13.664291453779478
2011-09-01,2011-08-25,401.92895492634125,402.96917847453034,359.3227171680461,442.6697516594445,18.985439628317923
2011-09-08,2011-09-01,316.94499828158183,322.60196399777175,243.64166345834803,358.6627810131816,24.82432008196315
2011-09-15,2011-09-08,253.70984258858493,253.42645665486833,214.45482959463496,284.67328153273945,14.888333516058394
2011-09-22,2011-09-15,219.75051156800754,223.75069737875683,122.61606846896623,282.1283723825703,31.273124732492967
2011-09-29,2011-09-22,56.382866352768396,54.1441060577628,27.695047546208087,92.03022758064179,13.237977171079368
2011-10-06,2011-09-29,125.73739780907583,129.39141791208243,54.56426607547261,217.2805007328178,38.49679488314198
2012-05-24,2012-05-17,89.53377383212963,90.3623908126203,54.83176524969713,121.68032334052654,16.270112657398062
2012-05-31,2012-05-24,223.59643502104066,222.75077387097497,207.2526006999282,243.5464297885311,7.16936697965386
2012-06-07,2012-05-31,309.32989243497855,307.7380097503466,280.69155473002434,346.4027328795375,21.906913652341196
2012-06-14,2012-06-07,207.75404431406994,207.5220167891164,179.67254226808436,233.4505108423512,13.320005810875271
2012-06-21,2012-06-14,300.57404961564686,300.16272281829845,255.91869836317352,334.9035747421498,21.61883610686399
2012-06-28,2012-06-21,436.71434791512036,433.52213318982666,399.68230817438473,479.9186153596594,24.53844971919995
2012-07-05,2012-06-28,346.8916297354447,343.6509018766058,315.1811159197232,388.75736956348214,16.46009892316014
2012-07-12,2012-07-05,465.78303490865034,464.79158736990894,417.1507760631883,498.6120957885241,20.37951032037365
2012-07-19,2012-07-12,505.3992482118279,505.19243425593413,475.83276976377255,530.5179061041978,12.068429339932868
2012-07-26,2012-07-19,566.7535292730372,570.3040416385477,537.5763740491427,605.0622919198535,16.846358923620496
2012-08-02,2012-07-26,495.0976594821285,496.5199415064126,458.28474576789176,514.5147777196635,11.334344561814667
2012-08-09,2012-08-02,513.5980740736068,513.9291119744025,487.69881489331027,540.2165765261938,11.230863360039784
2012-08-16,2012-08-09,553.9147089275688,547.9103489879047,530.6361924193528,593.950528086649,17.06997848316144
2012-08-23,2012-08-16,554.5881159853395,554.9159487531729,517.7893992347596,576.14162021045,11.78617124959186
2012-08-30,2012-08-23,489.38148591786813,490.644547972762,457.23542589730897,512.1836603945197,11.988319634702087
2012-09-06,2012-08-30,430.1248384855507,431.8104442739667,397.9660840688992,474.87544414734583,17.35016478501152
2012-09-13,2012-09-06,364.3197879303059,363.3365174410046,336.7952475718579,405.70583668507965,12.473294599606374
2012-09-20,2012-09-13,245.03479853445162,245.19691252075734,184.53817588648687,285.3319153660388,20.590026125129786
2012-09-27,2012-09-20,26.783371845755376,19.327299340143902,0,79.49380824095071,26.65033507633042
2012-10-05,2012-09-28,0.12113277134687038,0,0,3.57117845507439,0.5068346071068418
2013-05-23,2013-05-16,87.6356088866806,89.63386516808782,67.15338809097265,101.47831794454395,8.654780786234276
2013-05-30,2013-05-23,140.65963304585574,147.4186870513953,92.53145779028623,166.96437066543075,19.359689902901966
2013-06-06,2013-05-30,86.04720207475779,80.8831566724111,57.97123020682181,114.96627005542496,14.118334023107073
2013-06-13,2013-06-06,211.1747680315793,211.13852099034875,192.82373353856624,239.0275887194389,10.298290974079757
2013-06-20,2013-06-13,158.74928665569516,159.36065536452867,131.17051805219182,176.97401949379883,9.645172969163015
2013-06-27,2013-06-20,216.35432119627745,220.15081986045334,189.97151519976074,232.9494804315608,10.871728727231948
2013-07-03,2013-06-26,381.15659461175755,379.97003777110723,359.20071181188246,408.8997419850285,10.539006539926929
2013-07-11,2013-07-04,457.40631254559173,458.21243559950676,425.59953639156765,490.67580788784977,18.618423995691433
2013-07-18,2013-07-11,551.3403518974137,551.8200665358061,521.1208091630527,591.1257645362507,17.987948771189856
2013-07-25,2013-07-18,629.6855331937189,628.6924264811715,575.8566553303446,695.5859761694865,20.55601371984691
2013-08-01,2013-07-25,494.5533525085217,496.8976189051813,456.2832178221416,543.1103764156429,15.554304167008208
2013-08-08,2013-08-01,510.8806890017139,511.29958429835244,485.2918338076483,532.7821119970201,11.849163245398541
2013-08-15,2013-08-08,416.9569072029961,419.1762828923279,390.57500313837494,432.29525053799557,10.04190602865945
2013-08-22,2013-08-15,390.68535071671363,388.5021021267866,368.73346880332133,417.0207817491589,13.511359071662568
2013-08-29,2013-08-22,NA,NA,NA,NA,NA
2013-09-05,2013-08-29,NA,NA,NA,NA,NA
2013-09-11,2013-09-04,NA,NA,NA,NA,NA
2013-09-18,2013-09-11,255.5450158188244,251.72509320979424,235.31807846267378,299.3401085020651,13.074760831754888
2013-09-25,2013-09-18,110.97550300246384,107.05787183914984,74.83153326339642,146.87342600216826,17.918332097328378
2013-10-02,2013-09-25,0.21943316647335612,0,0,2.544401049084107,0.5989573796544084
2014-05-29,2014-05-22,NA,NA,NA,NA,NA
2014-06-05,2014-05-29,NA,NA,NA,NA,NA
2014-06-12,2014-06-05,NA,NA,NA,NA,NA
2014-06-19,2014-06-12,329.3836123992528,333.77723467747444,300.2016267801365,344.4426330415482,11.93992555521734
2014-06-26,2014-06-19,332.2622733426902,325.52111043750176,308.95407060100445,373.7208226335017,16.687512349870985
2014-07-02,2014-06-25,NA,NA,NA,NA,NA
2014-07-09,2014-07-02,NA,NA,NA,NA,NA
2014-07-17,2014-07-10,NA,NA,NA,NA,NA
2014-07-23,2014-07-16,NA,NA,NA,NA,NA
2014-07-30,2014-07-23,499.6949829988436,502.31378843393793,466.3915872122966,526.1839608528097,15.122047376876276
2014-08-06,2014-07-30,447.73774101087236,443.07372676107093,423.56344195650763,483.0735468333741,14.177090223514565
2014-08-12,2014-08-05,473.1372218228416,471.25334411263736,443.1264514731288,512.4385019501879,17.945887340193618
2014-08-20,2014-08-13,392.2910718967044,405.6133850019953,256.9242424379227,448.28511500342034,41.28235657839178
2014-08-27,2014-08-20,312.68106802039097,313.1834707906721,261.58488427912863,361.7100417385801,20.66850544243181
2014-09-04,2014-08-28,315.9923791857931,331.0824537085774,188.84744445383686,402.39258438943176,60.91830746549447
2014-09-10,2014-09-03,301.0450443128702,304.1189215808762,215.31308456806497,399.1207497665515,48.100342644722076
2014-09-17,2014-09-10,280.39838172243174,276.6060499467256,246.40544532630517,330.2270661435151,17.83983965064684
2014-09-25,2014-09-18,8.452476227771617,6.67653139357664,0,39.104235046613546,8.104805982652488
2014-10-03,2014-09-26,15.728015749083195,13.681282119112133,0,55.131084798467526,12.178445895507208
2014-10-10,2014-10-03,14.748281021656002,13.314527091364806,0,38.55497575333438,10.665037011090618
2015-05-21,2015-05-14,NA,NA,NA,NA,NA
2015-05-28,2015-05-21,NA,NA,NA,NA,NA
2015-06-05,2015-05-29,NA,NA,NA,NA,NA
2015-06-11,2015-06-04,NA,NA,NA,NA,NA
2015-06-19,2015-06-12,NA,NA,NA,NA,NA
2015-06-25,2015-06-18,NA,NA,NA,NA,NA
2015-07-02,2015-06-25,NA,NA,NA,NA,NA
2015-07-09,2015-07-02,NA,NA,NA,NA,NA
2015-07-16,2015-07-09,NA,NA,NA,NA,NA
2015-07-23,2015-07-16,NA,NA,NA,NA,NA
2015-07-30,2015-07-23,NA,NA,NA,NA,NA
2015-08-06,2015-07-30,NA,NA,NA,NA,NA
2015-08-13,2015-08-06,NA,NA,NA,NA,NA
2015-08-20,2015-08-13,358.57537996860174,359.03233973090687,320.42933836463203,408.59305262932037,20.8651854749853
2015-08-25,2015-08-18,435.2948590604321,448.12276471180746,287.8287813713943,491.71622297560396,43.96966172162658
2015-09-03,2015-08-27,367.39032668345186,367.21356963248957,289.980257771766,446.73844232434976,34.27228218261792
2015-09-10,2015-09-03,332.72885797932236,330.6905549232504,262.7381534028947,405.839175383137,35.48136560588733
2015-09-17,2015-09-10,294.3635133266202,296.9022546970542,232.26927142433877,365.7056118964798,32.04699433189276
2015-09-24,2015-09-17,86.84217282955683,77.10502928592513,31.797435029180757,192.69836410487693,35.48536051034684
2015-10-02,2015-09-25,13.921407543536402,10.04710696372057,0,60.899818334239235,13.543735116790108
2016-05-26,2016-05-19,41.63486038223688,40.9625852785729,32.94683122588474,52.86956306572238,3.7083594700529536
2016-06-03,2016-05-27,201.4332367658769,201.4654009398156,173.37481603666706,231.04677956508797,12.463723041421911
2016-06-09,2016-06-02,297.47209091107425,297.34433002861147,280.96153964907154,310.6411857629229,7.322323851007927
2016-06-16,2016-06-09,235.17685145544488,234.60856125628976,185.584324584916,270.56429843014473,22.905090939037457
2016-06-23,2016-06-16,122.25969810211038,114.94347729557609,68.09181575257271,177.1972358804773,29.19550076234271
2016-06-30,2016-06-23,252.46873034710035,252.04672657639856,215.27071482811118,286.73868451558263,17.50544942190408
2016-07-07,2016-06-30,387.40367480234084,386.63137050949285,341.7308450159442,427.8005093097315,18.9827735106491
2016-07-14,2016-07-07,423.3762412859958,423.4574063527373,394.6042573330908,456.1733639589598,9.960429448048858
2016-07-21,2016-07-14,385.4401991347296,382.9707364055116,332.17869146299114,435.43296830522326,25.529466219397356
2016-07-27,2016-07-20,391.42164881419853,393.1033695586053,354.66200510559827,424.8778418801101,15.796672376960528
2016-08-04,2016-07-28,460.00050302941315,457.8420443066093,420.25572313681346,528.3523566078837,19.86237089624945
2016-08-10,2016-08-03,413.004683277186,418.6892647805357,357.45857724404567,445.3759465501361,20.53973614829391
2016-08-15,2016-08-08,431.7752489765455,433.3877049158798,390.999267632913,465.4975946922172,15.028620347478686
2016-08-22,2016-08-15,458.1192876381932,453.09165650158707,414.2205984610959,508.6061471443247,21.823895640951836
2016-08-31,2016-08-24,296.2685617645197,300.57950516225594,234.67165250622426,343.52233527713236,24.06529783428405
2016-09-07,2016-08-31,254.4894287320387,247.78165120989422,207.61621435071157,308.02080989575273,25.86984160402232
2016-09-14,2016-09-07,142.2230519697955,145.74588790919165,83.88188765955977,237.28602139346083,28.567463380597818
2016-09-21,2016-09-14,60.50180396214306,59.16080690564868,0,220.22450063680134,42.817799103596826
2016-09-28,2016-09-21,49.48255779607819,41.94014562689774,8.91504486036187,91.01484841648734,24.09784843799137
2016-10-05,2016-09-28,0,0,0,0,0
