date,date_1weeklag,schmidt.stability_mean_lag,schmidt.stability_median_lag,schmidt.stability_min_lag,schmidt.stability_max_lag,schmidt.stability_sd_lag
2009-05-29,2009-05-22,NA,NA,NA,NA,NA
2009-06-04,2009-05-28,NA,NA,NA,NA,NA
2009-06-11,2009-06-04,NA,NA,NA,NA,NA
2009-06-17,2009-06-10,NA,NA,NA,NA,NA
2009-06-25,2009-06-18,NA,NA,NA,NA,NA
2009-07-02,2009-06-25,NA,NA,NA,NA,NA
2009-07-09,2009-07-02,NA,NA,NA,NA,NA
2009-07-16,2009-07-09,NA,NA,NA,NA,NA
2009-07-23,2009-07-16,NA,NA,NA,NA,NA
2009-07-30,2009-07-23,NA,NA,NA,NA,NA
2009-08-06,2009-07-30,422.60188594610713,426.81951219702023,363.15163561479415,473.3503594749148,25.32948329852151
2009-08-13,2009-08-06,414.51494004939894,415.35456541510644,358.30418590055325,457.1229025082728,19.952909616377
2009-08-20,2009-08-13,411.3671476463144,413.52743454652796,375.00019795248994,438.8421809893731,14.653509686421692
2009-08-27,2009-08-20,517.203272868314,524.4193776305729,434.74964770248863,562.1162494351464,25.829221998802034
2009-09-01,2009-08-25,469.64456416424304,467.2966024542533,432.2139958943599,500.84930090970323,15.346863457289022
2009-09-08,2009-09-01,266.87622763216484,262.4695153376574,225.55439423436815,318.112815825332,19.65574439211575
2009-09-15,2009-09-08,245.31010686458373,253.49237769737778,180.82029970408334,291.89574217792534,28.320805271777004
2009-09-21,2009-09-14,170.55882634872228,172.01872001026086,93.9429850657741,206.38979275563707,19.383705116940394
2009-09-28,2009-09-21,24.14860460329062,19.419493657807365,4.925103631956673,66.8751290667168,16.95130360745813
2009-10-05,2009-09-28,9.14218456917729,9.106716305544435,0.8171236908230758,22.420816358945874,4.798057278781275
2010-05-25,2010-05-18,NA,NA,NA,NA,NA
2010-06-04,2010-05-28,204.47790998746555,215.38289647432222,153.01155093634938,242.84221276995885,30.852971964092397
2010-06-10,2010-06-03,281.15004703678375,277.23797846254627,253.76168032140234,325.0782313956822,18.120050236651835
2010-06-15,2010-06-08,190.96116384185117,191.33586381041806,143.51560532221896,235.4579861080901,15.741524923156955
2010-06-24,2010-06-17,121.71344107496391,123.58443529622618,50.39771052027092,159.22053709424827,20.15927731704669
2010-07-01,2010-06-24,281.0301933260462,281.07538881516143,257.62393207726467,308.935643101136,10.85401552121604
2010-07-08,2010-07-01,218.43709808851457,219.97006412858806,176.69263317929094,265.13200989290493,20.33347633314377
2010-07-15,2010-07-08,416.5675183493304,407.08737937416106,355.9296684577472,486.01418020163544,31.727310179649606
2010-07-22,2010-07-15,411.4549474512943,407.76540079375604,359.9393767390849,479.0207686325428,27.010963985416712
2010-07-29,2010-07-22,356.09801034457473,361.0275094997027,231.5572475327149,426.49132859360753,40.529876913170995
2010-08-05,2010-07-29,93.0492871343593,103.81936173733015,0,196.60035249984176,56.22587351664674
