date,windsp_cumsum_1day,windsp_cumsum_2day,windsp_cumsum_3day,windsp_cumsum_5day,windsp_cumsum_7day,windsp_cumsum_10day,windsp_cumsum_14day,windsp_cumsum_1day_in,windsp_cumsum_2day_in,windsp_cumsum_3day_in,windsp_cumsum_1day_out,windsp_cumsum_2day_out
2011-06-23,110.88333333333333,179.36666666666667,221.56666666666666,385.78333333333336,517.4833333333333,739.1666666666666,1071.5333333333333,NA,NA,NA,110.88333333333333,NA
2011-06-30,90.13333333333333,194.75,235.6,333.68333333333334,523,744.5666666666667,1040.4833333333333,90.13333333333333,NA,NA,NA,NA
2011-07-07,72.96666666666667,153.81666666666666,200.73333333333332,296.95,414.6666666666667,650.2666666666667,937.6666666666666,78.48333333333333,NA,NA,NA,NA
2011-07-14,92.31666666666666,182.4,274.6,415.68333333333334,588.8,789.5333333333333,1003.4666666666667,NA,NA,NA,NA,NA
2011-07-21,106.66666666666667,185.08333333333334,256.23333333333335,434.55,546.25,820.85,1135.05,106.66666666666667,NA,NA,NA,NA
2011-07-28,46.05,139.28333333333333,221.08333333333334,384.75,541.8166666666666,798.05,1088.0666666666666,82.75,NA,NA,NA,NA
2011-08-04,48.983333333333334,104.41666666666667,187.06666666666666,312.6166666666667,461.81666666666666,682.9,1003.6333333333333,NA,NA,NA,NA,NA
2011-08-11,102.91666666666666,173.98333333333332,263.45,384.31666666666666,511.01666666666665,698.0833333333334,972.8333333333334,102.91666666666666,NA,NA,NA,NA
2011-08-18,75.66666666666667,128.08333333333334,192.5,372.8666666666667,496.55,760,1007.5666666666667,NA,NA,NA,NA,NA
2011-08-25,114.13333333333334,216.18333333333334,293.81666666666666,467.78333333333336,570.4333333333333,762.9333333333333,1066.9833333333333,114.13333333333334,NA,NA,NA,NA
2011-09-01,80.28333333333333,126.1,189.51666666666668,482.5,576.9,870.7166666666667,1147.3333333333333,NA,NA,NA,NA,NA
2011-09-08,48.38333333333333,153.33333333333334,222.41666666666666,360.31666666666666,491.3,680.8166666666667,1068.2,NA,NA,NA,105.43333333333334,NA
2011-09-15,82.45,148.31666666666666,241.41666666666666,363.3333333333333,505.25,727.6666666666666,996.55,NA,NA,NA,NA,NA
2011-09-22,41.95,93.53333333333333,169.73333333333335,301.85,464,705.4166666666666,969.25,NA,NA,NA,45.3,NA
2011-09-29,98.8,220.18333333333334,285.71666666666664,383.8333333333333,477.1166666666667,646.85,941.1166666666667,NA,NA,NA,107.3,216.78333333333333
2011-10-06,117.11666666666666,257.43333333333334,336.7,493.6333333333333,656.15,941.8666666666667,1133.2666666666667,122.01666666666667,265.78333333333336,NA,NA,NA
2012-05-24,66.73333333333333,103.9,156.23333333333332,294.39,367.54333333333335,561.26,841.11,NA,NA,NA,NA,NA
2012-05-31,93.66666666666666,165.98333333333332,261.7,378.5733333333333,545.8066666666666,702.04,913.35,93.08333333333333,165.73333333333332,NA,NA,NA
2012-06-07,58.46666666666667,105.73333333333333,156.25,365.95666666666665,598.7066666666667,860.4066666666666,1144.5133333333333,NA,NA,NA,NA,NA
2012-06-14,46.15,123.68333333333334,213.06666666666666,330.7,493.2833333333333,649.5333333333333,1091.99,NA,NA,NA,NA,NA
2012-06-21,62.61666666666667,151.6,206.88333333333333,370.04,483.87333333333333,696.9399999999999,977.1566666666666,62.61666666666667,151.6,NA,NA,NA
2012-06-28,78.75,207.95,320.85,442.47333333333336,585.6233333333333,792.5066666666667,1069.4966666666667,91.63333333333333,228.15,328.21666666666664,NA,NA
2012-07-05,94.3,149.43333333333334,214.86666666666667,368.7133333333333,539.4133333333333,860.2633333333333,1125.0366666666666,94.3,NA,NA,NA,NA
2012-07-12,51.75,86.6,142,309.5466666666667,429.48,644.3466666666667,968.8933333333333,NA,NA,NA,NA,NA
2012-07-19,80.7,152.93333333333334,244.36666666666667,371.21,489.57666666666665,631.5766666666667,919.0566666666666,67.98333333333333,NA,NA,NA,NA
2012-07-26,45.3,145.15,266.35,445.5133333333333,552.4966666666667,796.8633333333333,1042.0733333333333,NA,NA,NA,NA,NA
2012-08-02,52.18333333333333,97.15,182.9,287.17333333333335,390.2733333333333,656.6233333333333,942.77,NA,NA,NA,NA,NA
2012-08-09,52.46666666666667,96.33333333333333,149.65,350.49333333333334,470.36,653.26,860.6333333333333,NA,NA,NA,NA,NA
2012-08-16,76.45,124.15,186.46666666666667,303.56,437.96,587.61,908.32,76.45,NA,NA,NA,NA
