date,AveWindDir_deg,AveWindSp_ms_mean,AveWindDir_cove_mean,AveWindSp_ms_median,AveWindDir_cove_median,AveWindSp_ms_min,AveWindSp_ms_max,AveWindSp_ms_sd
2009-05-29,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-04,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-11,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-17,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-25,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-02,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-09,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-16,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-23,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-30,254.57340277777777,3.0888541666666667,1,3.1341666666666663,1,1.1175,5.475,1.030855632030094
2009-08-06,266.7835416666667,2.9292708333333333,1,2.530833333333333,1,1.7149999999999999,4.9375,0.9588527046470365
2009-08-13,127.75861111111112,2.063236111111111,0.25,2.1774999999999998,0,0.6833333333333333,3.2625,0.835467490292078
2009-08-20,168.40124305555557,2.5159374999999997,0.2916666666666667,2.378333333333333,0,0.8675,4.505833333333333,1.0528236221026037
2009-08-27,296.91819444444445,3.341381944444444,1,3.3724999999999996,1,1.3050000000000002,5.320833333333333,1.1049274360058974
2009-09-01,261.0148125,2.5017777777777774,0.875,2.5687499999999996,1,1.0925,3.8808333333333334,0.8428879397078782
2009-09-08,250.21868055555555,2.5664374999999997,0.7916666666666666,2.1804166666666664,1,0.9791666666666667,4.541666666666666,1.119161041470426
2009-09-15,270.75695138888887,3.567013888888889,0.9166666666666666,3.8554166666666667,1,1.3266666666666667,5.324166666666667,1.2736389182188217
2009-09-21,179.1119375,2.2423819444444444,0.375,2.3329166666666667,0,0.4716666666666667,4.025833333333333,0.9671833058170137
2009-09-28,219.76430555555555,3.6206805555555555,0.8333333333333334,3.3946666666666667,1,1.5833333333333333,5.7091666666666665,1.0588100374717295
2009-10-05,261.58958333333334,4.500090277777778,1,4.208333333333333,1,2.3825,6.623333333333333,1.1151909511099884
2010-05-25,266.7603472222222,2.0724305555555556,0.9583333333333334,1.965,1,1.2483333333333335,3.3333333333333335,0.6761154639347178
2010-06-04,204.7082638888889,1.8225694444444445,0.5416666666666666,1.9333333333333331,1,0.87,3.3416666666666663,0.5477728246559534
2010-06-10,126.97541666666666,3.2869444444444444,0,3.1083333333333334,0,1.6816666666666666,5.115,0.9596816182326257
2010-06-15,285.01175,3.5503472222222223,0.9583333333333334,3.3666666666666667,1,1.5666666666666669,6.64,1.4835772457958352
2010-06-24,263.46594444444446,4.027638888888889,0.9166666666666666,3.9008333333333334,1,1.3116666666666668,6.588333333333333,1.5781958540638164
2010-07-01,287.47222222222223,4.294444444444444,1,4.130833333333333,1,2.3666666666666667,6.675,1.3492637701417278
2010-07-08,158.63569444444445,2.7471527777777776,0.3333333333333333,2.6825,0,0.8533333333333334,4.706666666666667,1.0688838459473573
2010-07-15,146.63069444444443,2.3411805555555554,0.08333333333333333,2.038333333333333,0,0.9416666666666667,4.088333333333333,0.9911093281176419
2010-07-22,288.94305555555553,4.007777777777777,1,3.985833333333333,1,2.0516666666666667,6.051666666666667,1.250360592111715
2010-07-29,287.11379166666666,4.343541666666667,1,4.3,1,1.875,6.413333333333334,1.4613240399990781
2010-08-05,248.95416666666665,2.7490277777777776,1,2.546666666666667,1,1.2716666666666667,4.7716666666666665,0.9513765664422911
2010-08-12,118.93104166666666,3.2794444444444446,0,3.4783333333333335,0,1.5166666666666666,4.815,0.9750874687219682
2010-08-19,250.46395833333332,2.6890277777777776,0.875,2.7183333333333337,1,1.1300000000000001,5.3116666666666665,1.1683155962873133
2010-08-26,285.0826388888889,3.861666666666667,1,3.6125,1,2.1033333333333335,6.086666666666667,1.2158998973544135
2010-09-02,235.2830625,2.5600694444444443,0.7916666666666666,2.7541666666666664,1,0.8916666666666667,4.906666666666667,1.348800189609096
2010-09-09,277.25069444444443,3.7154166666666666,1,3.605833333333333,1,2.341666666666667,5.226666666666667,0.6082898038823653
2010-09-16,217.42659722222223,3.047638888888889,0.75,3.0324999999999998,1,1.465,4.4399999999999995,0.852734860995022
2010-09-23,210.29408333333333,2.3195833333333336,0.5416666666666666,2,1,0.7383333333333333,5.388333333333334,1.0458940019356762
2010-09-30,129.20960416666668,3.9788194444444445,0.20833333333333334,2.8941666666666666,0,0.9633333333333334,7.995,2.533396236784198
2010-10-07,278.7993055555556,5.431527777777777,1,5.648333333333333,1,3.506666666666667,7.448333333333333,1.3987911375676652
2011-05-26,171.17291666666668,3.904861111111111,0.6666666666666666,2.8833333333333333,1,1.45,7.716666666666667,2.224650432110305
2011-06-02,283.8590277777778,6.697222222222222,1,7.333333333333333,1,2.9166666666666665,9.433333333333334,1.8453340209710818
2011-06-10,261.5986111111111,3.1069444444444443,0.7916666666666666,3.3,1,0.7666666666666666,4.8,1.0516597954100002
2011-06-16,252.89791666666667,2.625,0.9583333333333334,2.7416666666666667,1,1.0333333333333334,4.2,0.8255432993674134
2011-06-23,102.93402777777777,4.620138888888889,0,4.783333333333333,0,2.283333333333333,6.1,0.9907297262620087
2011-06-30,278.01944444444445,3.7555555555555555,1,3.4416666666666664,1,1.7166666666666668,6.35,1.4762096216394653
