date,HCS.tempC_mean,HCS.tempC_median,HCS.tempC_min,HCS.tempC_max,HCS.tempC_sd,HCS.tempC_mean_lag,HCS.tempC_median_lag,HCS.tempC_min_lag,HCS.tempC_max_lag,HCS.tempC_sd_lag,wtr_mean_diff,wtr_median_diff,wtr_max_diff,wtr_min_diff,wtr_sd_diff,ma_3,ma_5,ma_7,ma_10,ma_14
2009-05-29,14.025416666666667,13.97,13.81,14.59,0.19925904412765433,16.24125,16.02,15.54,17.12,0.6071337686568576,-2.215833333333334,-2.049999999999999,-2.530000000000001,-1.7299999999999986,-0.4078747245292033,14.511527777777777,14.91075,14.850714285714286,NA,NA
2009-06-04,16.280416666666667,16.18,15.54,17.12,0.5280437989629164,14.29,14.28,13.97,14.59,0.19866948738392437,1.9904166666666683,1.9000000000000004,2.530000000000001,1.5699999999999985,0.32937431157899205,15.705694444444445,15.469083333333334,15.173392857142858,15.116624999999999,15.170327380952381
2009-06-11,16.44375,16.41,16.18,16.650000000000002,0.14445738050583878,16.280416666666667,16.18,15.54,17.12,0.5280437989629164,0.163333333333334,0.23000000000000043,-0.46999999999999886,0.6400000000000006,-0.38358641845707764,16.419305555555557,17.00825,16.838988095238097,16.499,16.006190476190476
2009-06-17,18.319583333333334,17.93,17.439999999999998,19.54,0.7642414776966,16.281666666666666,16.255000000000003,16.02,16.49,0.1495984964661325,2.0379166666666677,1.6749999999999972,3.0500000000000007,1.4199999999999982,0.6146429812304675,17.405555555555555,17.22266666666667,17.05,16.983083333333333,16.932827380952382
2009-06-25,18.742083333333333,18.25,17.77,20.35,0.8526683394506037,18.87708333333333,18.9,18.41,19.38,0.263562205621147,-0.134999999999998,-0.6499999999999986,0.9700000000000024,-0.6400000000000006,0.5891061338294568,17.890833333333333,17.732833333333332,17.860535714285714,17.93675,17.62907738095238
2009-07-02,19.42833333333333,19.38,19.06,19.71,0.1759858360572061,18.742083333333333,18.25,17.77,20.35,0.8526683394506037,0.6862499999999976,1.129999999999999,-0.6400000000000006,1.2899999999999991,-0.6766825033933976,19.900694444444444,19.929000000000002,20.335654761904763,19.602208333333333,19.098095238095237
2009-07-09,19.536666666666665,19.54,19.06,20.35,0.46275795783134066,19.42833333333333,19.38,19.06,19.71,0.1759858360572061,0.10833333333333428,0.16000000000000014,0.6400000000000006,0,0.2867721217741346,19.494027777777777,19.71375,19.83416666666667,19.854125,20.084910714285716
2009-07-16,20.6975,20.68,20.35,21.17,0.24493566147229257,19.536666666666665,19.54,19.06,20.35,0.46275795783134066,1.1608333333333363,1.1400000000000006,0.8200000000000003,1.2900000000000027,-0.2178222963590481,20.780694444444446,21.12816666666667,21.09982142857143,20.618083333333335,20.46699404761905
2009-07-23,21.69375,21.67,21.17,22.01,0.2108329753104594,20.6975,20.68,20.35,21.17,0.24493566147229257,0.9962499999999999,0.990000000000002,0.8399999999999999,0.8200000000000003,-0.03410268616183318,21.87263888888889,22.111,22.046488095238097,21.66675,21.573154761904764
2009-07-30,24.234583333333333,24.21,24.03,24.55,0.18277996195631882,21.69375,21.67,21.17,22.01,0.2108329753104594,2.5408333333333317,2.539999999999999,2.539999999999999,2.8599999999999994,-0.028053013354140566,23.889027777777777,23.351166666666668,22.815238095238097,22.532458333333334,22.430863095238095
