date,date_3daylag,AveWindDir_deg_3daylag,AveWindSp_ms_mean_3daylag,AveWindDir_cove_mean_3daylag,AveWindSp_ms_median_3daylag,AveWindDir_cove_median_3daylag,AveWindSp_ms_min_3daylag,AveWindSp_ms_max_3daylag,AveWindSp_ms_sd_3daylag
2009-05-29,2009-05-26,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-04,2009-06-01,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-11,2009-06-08,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-17,2009-06-14,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-25,2009-06-22,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-02,2009-06-29,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-09,2009-07-06,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-16,2009-07-13,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-23,2009-07-20,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-30,2009-07-27,NA,NA,NA,NA,NA,NA,NA,NA
2009-08-06,2009-08-03,255.15687499999999,2.6996527777777777,0.9166666666666666,2.9208333333333334,1,0.885,3.6799999999999993,0.8174901540524049
2009-08-13,2009-08-10,252.45003472222223,3.0838541666666663,0.9583333333333334,3.173333333333333,1,1.1433333333333333,5.145,1.13129291528548
2009-08-20,2009-08-17,244.11589583333333,2.5538541666666665,0.875,2.7566666666666664,1,0.7191666666666667,3.9883333333333333,0.9613982436433065
2009-08-27,2009-08-24,271.54805555555555,2.1315277777777775,0.9583333333333334,2.256666666666667,1,0.8566666666666667,3.7341666666666664,0.7514400694259046
2009-09-01,2009-08-29,107.12180555555555,5.234465277777778,0.041666666666666664,5.88725,0,1.4728333333333334,7.63,1.7472057892526534
2009-09-08,2009-09-05,304.7438888888889,3.7591041666666665,1,3.6791666666666663,1,1.8958333333333333,5.9275,1.2051440056799554
2009-09-15,2009-09-12,73.885,2.9265555555555554,0.041666666666666664,2.8625833333333333,0,1.0908333333333333,5.0633333333333335,0.9034708672062974
2009-09-21,2009-09-18,275.7972222222222,5.319638888888889,1,5.536666666666667,1,2.3966666666666665,7.742500000000001,1.5786826095841884
2009-09-28,2009-09-25,292.8168541666667,4.541791666666667,0.9583333333333334,4.2575,1,1.5583333333333333,8.2716666666666665,2.2844542923086344
2009-10-05,2009-10-02,209.5847222222222,2.934631944444444,0.6666666666666666,2.7993333333333332,1,1.51,3.9881666666666664,0.7058137233200928
2010-05-25,2010-05-22,133.10097222222223,2.5074305555555556,0.08333333333333333,2.2675,0,0.7283333333333333,4.484999999999999,0.9860161118083068
2010-06-04,2010-06-01,267.8248611111111,3.2088888888888887,0.9583333333333334,3.4483333333333333,1,0.9983333333333334,5.413333333333333,1.1983736630921569
2010-06-10,2010-06-07,300.70208333333335,4.168611111111111,1,4.330833333333333,1,1.3350000000000002,6.425,1.4567722631664426
2010-06-15,2010-06-12,168.32881944444443,2.1893055555555554,0.4166666666666667,2.180833333333333,0,0.9650000000000001,3.675,0.5738811666170494
2010-06-24,2010-06-21,282.7218402777778,3.712847222222222,0.9166666666666666,3.7841666666666667,1,1.9033333333333333,5.609999999999999,1.1036895172662233
2010-07-01,2010-06-28,204.12326388888889,3.0677777777777777,0.625,3.0908333333333333,1,0.9633333333333334,6.471666666666667,1.3917953743022522
2010-07-08,2010-07-05,274.38454861111114,2.2227083333333333,0.9583333333333334,2.5133333333333328,1,0.9783333333333334,3.2466666666666666,0.7776360518303406
2010-07-15,2010-07-12,188.8077361111111,2.980625,0.7083333333333334,2.578333333333333,1,0.7433333333333334,6.706666666666666,1.6862729972862673
2010-07-22,2010-07-19,236.98347222222222,2.315486111111111,0.9166666666666666,2.0375,1,0.7766666666666667,4.1049999999999995,0.965460576824645
2010-07-29,2010-07-26,291.1951388888889,5.450347222222222,1,5.698333333333334,1,2.2683333333333335,7.708333333333333,1.7020163503337866
2010-08-05,2010-08-02,136.2534375,1.8598611111111112,0.3333333333333333,1.8791666666666669,0,0.7816666666666666,3.3200000000000003,0.6415959713863506
2010-08-12,2010-08-09,239.77654166666667,3.585,0.875,3.9916666666666663,1,0.9733333333333334,5.963333333333333,1.3800070888286737
2010-08-19,2010-08-16,220.46527777777777,3.5535416666666664,0.875,3.6891666666666665,1,1.9516666666666667,5.319999999999999,0.9260590376339809
2010-08-26,2010-08-23,78.64708333333333,5.554722222222222,0,5.720833333333333,0,3.623333333333333,7.34,1.2338986822798885
2010-09-02,2010-08-30,293.7066388888889,3.4364583333333334,1,3.1441666666666666,1,1.5733333333333333,6.165,1.4533475694439701
2010-09-09,2010-09-06,266.125,3.2584027777777775,1,3.333333333333333,1,1.6700000000000002,5.151666666666666,1.2017032476659475
2010-09-16,2010-09-13,160.2878472222222,2.2977777777777777,0.25,2.250833333333333,0,1.2200000000000002,3.195,0.49700422987018594
2010-09-23,2010-09-20,281.36227777777776,4.431111111111111,0.875,3.7891666666666666,1,1.305,7.725,2.371475909031663
2010-09-30,2010-09-27,106.70138888888889,4.198402777777778,0,4.268333333333333,0,3.08,5.04,0.5026654747531968
2010-10-07,2010-10-04,80.80638888888889,4.8753472222222225,0,4.6425,0,2.4783333333333335,7.161666666666666,1.3705281237402474
2011-05-26,2011-05-23,139.58194444444445,2.8715277777777777,0.08333333333333333,2.7750000000000004,0,1.0333333333333332,4.083333333333333,0.8037123882705687
2011-06-02,2011-05-30,269.1986111111111,3.175,0.875,3.1083333333333334,1,1.0166666666666666,5.1,1.29586857447769
2011-06-10,2011-06-07,206.39027777777778,1.7819444444444446,0.7083333333333334,1.8083333333333333,1,0.4666666666666667,3.1166666666666667,0.6956545013044803
2011-06-16,2011-06-13,149.97152777777777,2.1576388888888887,0.25,1.85,0,0.43333333333333335,4.9,1.2335681246025396
2011-06-23,2011-06-20,269.6409722222222,3.060416666666667,0.875,3.075,1,0.85,5.6,1.3785346531208682
2011-06-30,2011-06-27,202.01388888888889,1.7673611111111112,0.5833333333333334,1.575,1,1.0333333333333332,3.283333333333333,0.6930726789632395
2011-07-07,2011-07-04,244.2527777777778,2.2,0.7916666666666666,2.125,1,0.7333333333333334,4.1,0.7820757713145796
2011-07-14,2011-07-11,251.66666666666666,3.4590277777777776,1,3.225,1,1.9833333333333334,5.25,0.7665718146533527
2011-07-21,2011-07-18,253.3215277777778,3.553472222222222,1,3.7333333333333334,1,1.8333333333333335,5.916666666666667,1.0133168758992848
2011-07-28,2011-07-25,127.5111111111111,3.5368055555555555,0,3.5166666666666666,0,1.6166666666666667,5.75,1.2212884141345135
2011-08-04,2011-08-01,236.34722222222223,2.6222222222222222,0.875,2.591666666666667,1,1.0833333333333333,5.233333333333333,1.15403792947767
2011-08-11,2011-08-08,285.0451388888889,2.997916666666667,0.9583333333333334,2.8833333333333333,1,1.4166666666666667,4.4,0.9468778150418128
2011-08-18,2011-08-15,86.30763888888889,4.84375,0.041666666666666664,4.35,0,2.783333333333333,7.433333333333334,1.4469425745376565
2011-08-25,2011-08-22,264.9736111111111,4.325,1,4.258333333333333,1,2.566666666666667,7.383333333333334,1.0106796871173829
2011-09-01,2011-08-29,273.99861111111113,4.518055555555556,1,3.833333333333333,1,1.2833333333333332,9.45,2.479928687744125
2011-09-08,2011-09-05,211.80416666666667,3.134027777777778,0.875,3.1416666666666666,1,1.3833333333333333,5.166666666666667,0.9302028136686998
2011-09-15,2011-09-12,237.15833333333333,2.4180555555555556,0.9166666666666666,2.2666666666666666,1,0.8500000000000001,4.783333333333333,1.2051511488047373
2011-09-22,2011-09-19,199.35555555555555,3.109722222222222,0.4166666666666667,3.2416666666666667,0,1.5833333333333333,4.366666666666666,0.8445465390863724
2011-09-29,2011-09-26,231.86319444444445,1.9902777777777778,0.75,1.6166666666666667,1,0.6,4.233333333333333,0.9810759728034513
2011-10-06,2011-10-03,154.83958333333334,2.8243055555555556,0.25,2.5666666666666664,0,1.3833333333333333,6.05,1.3498700882801626
2012-05-24,2012-05-21,132.22805555555556,3.6127777777777776,0,3.825,0,0.8,5.8,1.5122640884144178
2012-05-31,2012-05-28,119.4426388888889,2.92875,0.041666666666666664,2.5166666666666666,0,0.6833333333333333,5.85,1.4207220088990133
2012-06-07,2012-06-04,66.35625,4.721805555555556,0,4.503333333333334,0,1.6333333333333333,7.066666666666666,1.4511584508372588
2012-06-14,2012-06-11,161.91944444444445,3.1951388888888888,0.4166666666666667,3.0416666666666665,0,2.0666666666666664,4.516666666666667,0.8402966920057541
2012-06-21,2012-06-18,127.14388888888888,3.1440277777777776,0,3.1083333333333334,0,1.6666666666666667,5.016666666666667,0.8633498287085478
2012-06-28,2012-06-25,195.8215277777778,2.3565277777777776,0.5416666666666666,2.2583333333333333,1,1.24,4.3,0.7881357439462242
2012-07-05,2012-07-02,269.07638888888886,3.2352777777777777,0.9583333333333334,3.365,1,0.9833333333333333,5.316666666666666,1.1894093515165585
2012-07-12,2012-07-09,285.3626388888889,3.1880555555555556,0.9583333333333334,2.966666666666667,1,0.7166666666666667,5.766666666666667,1.4234217182844078
2012-07-19,2012-07-16,263.5588888888889,3.00875,0.9166666666666666,2.975,1,1.7999999999999998,4.2,0.5877056120826396
2012-07-26,2012-07-23,223.05472222222224,3.5970833333333334,0.9166666666666666,3.4833333333333334,1,1.3833333333333333,5.68,1.3061971622117574
2012-08-02,2012-07-30,219.42319444444445,2.1461111111111113,0.75,1.9533333333333331,1,1,3.8833333333333333,0.8122377193417067
2012-08-09,2012-08-06,271.39875,3.5997222222222223,0.9583333333333334,3.825,1,1.3333333333333333,4.65,1.0213715873690152
2012-08-16,2012-08-13,273.03263888888887,3.1469444444444443,1,2.7583333333333333,1,1.7333333333333334,6.233333333333333,1.1329739057787356
2012-08-23,2012-08-20,216.93930555555556,2.3872222222222224,0.75,2.3833333333333337,1,0.5666666666666667,4.316666666666666,1.0107588705343769
2012-08-30,2012-08-27,245.6238888888889,3.3144444444444443,0.9583333333333334,2.908333333333333,1,1.3166666666666667,6.366666666666667,1.6171492382013286
2012-09-06,2012-09-03,149.1051388888889,2.7169444444444446,0.16666666666666666,2.5583333333333336,0,0.6166666666666667,4.65,1.1030861042099693
2012-09-13,2012-09-10,303.1451388888889,4.514583333333333,1,4.65,1,1.9333333333333333,7.25,1.7053716816177547
2012-09-20,2012-09-17,228.35416666666666,2.3675,0.8333333333333334,2.2666666666666666,1,0.9166666666666667,3.716666666666667,0.8194125679544702
2012-09-27,2012-09-24,265.4548611111111,2.919027777777778,1,2.9833333333333334,1,1.0333333333333334,4.533333333333333,1.0162393871271032
2012-10-05,2012-10-02,250.9375,2.3409722222222222,1,2.3833333333333333,1,0.9833333333333334,3.7333333333333334,0.7815811295040198
2013-05-23,2013-05-20,245.72805555555556,3.076875,0.875,3.1358333333333333,1,0.7583333333333333,5.308333333333334,1.5841742475174831
2013-05-30,2013-05-27,263.26243055555557,3.905972222222222,0.875,3.956666666666666,1,1.3816666666666668,6.6433333333333335,1.5169806106565404
2013-06-06,2013-06-03,249.51875,3.5980555555555553,1,3.4191666666666665,1,1.3616666666666666,5.996666666666666,1.5068579674201068
2013-06-13,2013-06-10,150.43636805555556,2.5924305555555556,0.25,2.6916666666666664,0,0.995,5.56,1.4798559613913032
2013-06-20,2013-06-17,256.7950833333333,2.774652777777778,0.9583333333333334,2.1950000000000003,1,1.195,5.484999999999999,1.457298140177201
2013-06-27,2013-06-24,277.4423611111111,3.6378472222222222,1,3.6174999999999997,1,1.1766666666666665,5.465,1.165426305361546
2013-07-03,2013-06-30,213.25972222222222,2.515775,0.8333333333333334,2.2251333333333334,1,1.1900000000000002,5.303333333333334,0.9897069050962356
2013-07-11,2013-07-08,209.7408125,2.8718055555555555,0.625,2.5616666666666665,1,1.4983333333333335,5.656666666666666,1.1534176182516884
2013-07-18,2013-07-15,302.1274305555556,2.9315277777777777,1,2.8091666666666666,1,0.8683333333333334,4.506666666666667,1.0303194613475772
2013-07-25,2013-07-22,111.17597222222223,3.24625,0.08333333333333333,3.4225,0,1.325,4.855,0.9835366100379914
2013-08-01,2013-07-29,184.14124999999999,2.5880555555555556,0.4583333333333333,2.3575,0,0.6666666666666667,5.130000000000001,1.3073991095155284
2013-08-08,2013-08-05,300.28930555555553,4.514444444444444,1,4.8225,1,1.7583333333333333,6.648333333333333,1.517921496085016
2013-08-15,2013-08-12,257.6864097222222,2.4780555555555557,0.9583333333333334,2.3708333333333336,1,1.0650000000000002,5.126666666666667,0.9554493677657279
2013-08-22,2013-08-19,268.745625,3.0752083333333333,1,3.224166666666666,1,0.75,4.8566666666666665,1.156142836788764
2013-08-29,2013-08-26,242.91041666666666,3.625,1,3.6541666666666663,1,2.08,5.318333333333333,0.995762519463894
2013-09-05,2013-09-02,137.43227777777778,2.4877777777777776,0.20833333333333334,2.585,0,0.7050000000000001,4.325,1.0218943367230935
2013-09-11,2013-09-08,292.6020833333333,4.6431305555555555,1,3.9525,1,1.9618,9.23,2.2060712015418136
2013-09-18,2013-09-15,254.60861111111112,3.4668416666666664,1,3.5266666666666664,1,2.7049999999999996,4.471666666666667,0.4443679012016478
2013-09-25,2013-09-22,262.6513888888889,5.0228472222222225,0.875,5.355,1,2.588333333333333,6.746666666666666,1.19035876124597
2013-10-02,2013-09-29,166.7279861111111,1.5419222222222222,0.4166666666666667,1.1441666666666666,0,0.3416666666666667,3.5649999999999995,0.9361750797622173
2014-05-29,2014-05-26,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-05,2014-06-02,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-12,2014-06-09,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-19,2014-06-16,207.11856944444443,1.898411111111111,0.6666666666666666,1.7833333333333332,1,0.8316666666666668,3.55,0.7233294064320486
2014-06-26,2014-06-23,153.27729166666666,2.4135416666666667,0.25,2.2591666666666663,0,0.6133333333333334,4.886666666666667,1.4733514747801064
2014-07-02,2014-06-29,229.48506944444443,2.3843055555555557,0.8333333333333334,2.368333333333333,1,0.9216666666666667,4.26,0.8612799312463943
2014-07-09,2014-07-06,232.92255555555556,4.459444444444444,0.9583333333333334,4.484999999999999,1,1.51,6.905,1.63746354951994
2014-07-17,2014-07-14,228.14375,2.7315277777777776,1,2.8575,1,1.4883333333333333,4.32,0.6339624862540809
2014-07-23,2014-07-20,110.6620138888889,2.515347222222222,0,2.4383333333333335,0,1.4566666666666668,4.066666666666666,0.6987748041049074
2014-07-30,2014-07-27,205.4988888888889,2.920486111111111,0.7916666666666666,2.8341666666666665,1,1.3033333333333332,5.918333333333334,1.127431829956773
2014-08-06,2014-08-03,178.57375,1.9325694444444443,0.375,1.6191666666666666,0,0.8783333333333334,3.5116666666666663,0.8577640548028083
