date,ma_3,ma_5,ma_7,ma_10,ma_14
2009-05-29,14.511527777777777,14.91075,14.850714285714286,NA,NA
2009-06-04,15.705694444444445,15.469083333333334,15.173392857142858,15.116624999999999,15.170327380952381
2009-06-11,16.419305555555557,17.00825,16.838988095238097,16.499,16.006190476190476
2009-06-17,17.405555555555555,17.22266666666667,17.05,16.983083333333333,16.932827380952382
2009-06-25,17.890833333333333,17.732833333333332,17.860535714285714,17.93675,17.62907738095238
2009-07-02,19.900694444444444,19.929000000000002,20.335654761904763,19.602208333333333,19.098095238095237
2009-07-09,19.494027777777777,19.71375,19.83416666666667,19.854125,20.084910714285716
2009-07-16,20.780694444444446,21.12816666666667,21.09982142857143,20.618083333333335,20.46699404761905
2009-07-23,21.87263888888889,22.111,22.046488095238097,21.66675,21.573154761904764
2009-07-30,23.889027777777777,23.351166666666668,22.815238095238097,22.532458333333334,22.430863095238095
2009-08-06,23.908194444444444,23.641833333333334,23.480654761904763,23.603166666666667,23.14794642857143
2009-08-13,22.959861111111113,22.76591666666667,22.903392857142858,23.204833333333333,23.19202380952381
2009-08-20,25.887638888888887,25.392833333333332,24.804166666666667,24.250875,23.85377976190476
2009-08-27,24.625972222222224,24.75883333333333,24.92607142857143,25.214541666666666,24.865119047619046
2009-09-01,21.610555555555557,22.019333333333336,22.716309523809525,23.389083333333335,24.036875
2009-09-08,20.804444444444446,21.157416666666666,21.25714285714286,21.363166666666668,21.98672619047619
2009-09-15,19.713472222222222,19.699833333333334,19.91279761904762,20.18029166666667,20.584970238095238
2009-09-21,17.915277777777778,18.349833333333333,18.711488095238096,19.005875,19.430892857142858
2009-09-28,NA,NA,NA,NA,NA
2009-10-05,NA,NA,NA,NA,NA
2010-05-25,NA,NA,NA,NA,NA
2010-06-04,20.775833333333335,20.033916666666666,19.79702380952381,NA,NA
2010-06-10,18.518194444444443,19.33275,19.854464285714286,19.969291666666667,19.587291666666665
2010-06-15,18.13513888888889,18.069083333333335,18.100892857142856,18.700916666666668,19.324910714285714
2010-06-24,21.47041666666667,21.302833333333336,20.680238095238096,19.950708333333335,19.381458333333335
2010-07-01,22.377222222222223,22.342833333333335,22.456130952380953,22.160416666666666,21.568184523809524
2010-07-08,23.985694444444444,23.471083333333333,22.924583333333334,22.760375,22.690357142857145
2010-07-15,25.974444444444444,25.869916666666665,25.916130952380954,25.337,24.420357142857142
2010-07-22,25.797361111111112,25.96108333333333,26.161547619047617,26.105416666666667,26.038839285714285
2010-07-29,24.054305555555555,24.382833333333334,24.565059523809524,24.93475,25.36330357142857
2010-08-05,24.468055555555555,24.114833333333333,23.982142857142858,24.003791666666668,24.27360119047619
2010-08-12,24.389166666666668,24.250416666666666,24.26904761904762,24.32875,24.125595238095237
2010-08-19,24.091666666666665,24.060333333333332,24.075892857142858,24.169875,24.172470238095237
2010-08-26,21.577638888888888,21.927333333333333,22.511488095238096,22.985541666666666,23.293690476190477
2010-09-02,23.086111111111112,22.595750000000002,22.249880952380952,22.048208333333335,22.380684523809524
2010-09-09,21.587500000000002,21.738333333333333,22.377559523809524,22.590125,22.31372023809524
2010-09-16,18.846944444444443,19.13375,19.444285714285716,20.08725,20.910922619047618
2010-09-23,NA,NA,NA,NA,NA
2010-09-30,NA,NA,NA,NA,NA
2010-10-07,NA,NA,NA,NA,NA
2011-05-26,NA,NA,NA,NA,NA
2011-06-02,NA,NA,NA,NA,NA
