date,date_1daylag,precip_mm_1daylag
2009-05-29,2009-05-28,12.59
2009-06-04,2009-06-03,0
2009-06-11,2009-06-10,9.29
2009-06-17,2009-06-16,4.08
2009-06-25,2009-06-24,0.68
2009-07-02,2009-07-01,2.03
2009-07-09,2009-07-08,11.75
2009-07-16,2009-07-15,0
2009-07-23,2009-07-22,15.15
2009-07-30,2009-07-29,0
2009-08-06,2009-08-05,0
2009-08-13,2009-08-12,5.77
2009-08-20,2009-08-19,0
2009-08-27,2009-08-26,0
2009-09-01,2009-08-31,0
2009-09-08,2009-09-07,0
2009-09-15,2009-09-14,0
2009-09-21,2009-09-20,0
2009-09-28,2009-09-27,6.65
2009-10-05,2009-10-04,17.57
2010-05-25,2010-05-24,0
2010-06-04,2010-06-03,0.9
2010-06-10,2010-06-09,0
2010-06-15,2010-06-14,0.05
2010-06-24,2010-06-23,9.31
2010-07-01,2010-06-30,0
2010-07-08,2010-07-07,0
2010-07-15,2010-07-14,22.91
2010-07-22,2010-07-21,0
2010-07-29,2010-07-28,0
2010-08-05,2010-08-04,9.08
2010-08-12,2010-08-11,0
2010-08-19,2010-08-18,0
2010-08-26,2010-08-25,0.48
2010-09-02,2010-09-01,0
2010-09-09,2010-09-08,3.71
2010-09-16,2010-09-15,1.04
2010-09-23,2010-09-22,0
2010-09-30,2010-09-29,5.39
2010-10-07,2010-10-06,0.62
2011-05-26,2011-05-25,0
2011-06-02,2011-06-01,0
2011-06-10,2011-06-09,4.45
2011-06-16,2011-06-15,1.3
2011-06-23,2011-06-22,0
2011-06-30,2011-06-29,3.37
2011-07-07,2011-07-06,0
2011-07-14,2011-07-13,1.04
2011-07-21,2011-07-20,0
2011-07-28,2011-07-27,9.86
2011-08-04,2011-08-03,0.55
2011-08-11,2011-08-10,12.46
2011-08-18,2011-08-17,4.25
2011-08-25,2011-08-24,0
2011-09-01,2011-08-31,0
2011-09-08,2011-09-07,6.54
2011-09-15,2011-09-14,0
2011-09-22,2011-09-21,4.37
2011-09-29,2011-09-28,1.01
2011-10-06,2011-10-05,4.19
2012-05-24,2012-05-23,1.79
2012-05-31,2012-05-30,24.76
2012-06-07,2012-06-06,1.5
2012-06-14,2012-06-13,14.62
2012-06-21,2012-06-20,0
2012-06-28,2012-06-27,0.89
2012-07-05,2012-07-04,9.36
2012-07-12,2012-07-11,0
2012-07-19,2012-07-18,8.47
2012-07-26,2012-07-25,0.03
2012-08-02,2012-08-01,0
2012-08-09,2012-08-08,0
2012-08-16,2012-08-15,1.11
2012-08-23,2012-08-22,0
2012-08-30,2012-08-29,0.77
2012-09-06,2012-09-05,4.1
2012-09-13,2012-09-12,0
2012-09-20,2012-09-19,48.22
2012-09-27,2012-09-26,0.66
2012-10-05,2012-10-04,3.96
2013-05-23,2013-05-22,33.26
2013-05-30,2013-05-29,2.52
2013-06-06,2013-06-05,0
2013-06-13,2013-06-12,15.07
2013-06-20,2013-06-19,2.89
2013-06-27,2013-06-26,5.6
2013-07-03,2013-07-02,3.72
2013-07-11,2013-07-10,0
2013-07-18,2013-07-17,0
2013-07-25,2013-07-24,14.69
2013-08-01,2013-07-31,0
2013-08-08,2013-08-07,0
2013-08-15,2013-08-14,16.8
2013-08-22,2013-08-21,0
2013-08-29,2013-08-28,0
2013-09-05,2013-09-04,0
2013-09-11,2013-09-10,0
2013-09-18,2013-09-17,0
2013-09-25,2013-09-24,0
2013-10-02,2013-10-01,0
2014-05-29,2014-05-28,8.05
2014-06-05,2014-06-04,6.89
2014-06-12,2014-06-11,0
2014-06-19,2014-06-18,12
2014-06-26,2014-06-25,0
2014-07-02,2014-07-01,0
2014-07-09,2014-07-08,9.06
2014-07-17,2014-07-16,22.06
2014-07-23,2014-07-22,0
2014-07-30,2014-07-29,26.7
2014-08-06,2014-08-05,0.01
2014-08-12,2014-08-11,0
2014-08-20,2014-08-19,0
2014-08-27,2014-08-26,0
2014-09-04,2014-09-03,7.63
2014-09-10,2014-09-09,0
2014-09-17,2014-09-16,3.37
2014-09-25,2014-09-24,0
2014-10-03,2014-10-02,4.41
2014-10-10,2014-10-09,0.73
2015-05-21,2015-05-20,0.56
2015-05-28,2015-05-27,0
2015-06-05,2015-06-04,0
2015-06-11,2015-06-10,7.52
2015-06-19,2015-06-18,0
2015-06-25,2015-06-24,10.21
2015-07-02,2015-07-01,7.24
2015-07-09,2015-07-08,2.67
2015-07-16,2015-07-15,6.8
2015-07-23,2015-07-22,1.16
2015-07-30,2015-07-29,0
2015-08-06,2015-08-05,5.65
2015-08-13,2015-08-12,25.99
2015-08-20,2015-08-19,5.49
2015-08-25,2015-08-24,0.64
2015-09-03,2015-09-02,0
2015-09-10,2015-09-09,1.93
2015-09-17,2015-09-16,0
2015-09-24,2015-09-23,0
2015-10-02,2015-10-01,42.13
2016-05-26,2016-05-25,6.26
2016-06-03,2016-06-02,0
2016-06-09,2016-06-08,2.31
2016-06-16,2016-06-15,0
2016-06-23,2016-06-22,0
2016-06-30,2016-06-29,15.36
2016-07-07,2016-07-06,0
2016-07-14,2016-07-13,0
2016-07-21,2016-07-20,0
2016-07-27,2016-07-26,0
2016-08-04,2016-08-03,0.01
2016-08-10,2016-08-09,0
2016-08-15,2016-08-14,24.66
2016-08-22,2016-08-21,0
2016-08-31,2016-08-30,0
2016-09-07,2016-09-06,0.4
2016-09-14,2016-09-13,0
2016-09-21,2016-09-20,2
2016-09-28,2016-09-27,7.78
2016-10-05,2016-10-04,3.58
