"wk_1","wk_2","wk_3","wk_4","wk_5","wk_6","wk_7","wk_8","wk_9","wk_10","wk_11","wk_12","wk_13","wk_14","wk_15","wk_16","wk_17","wk_18","wk_19","wk_20"
15.54,13.97,15.54,16.02,18.41,17.77,19.06,19.06,20.35,21.17,24.03,23.52,22.84,25.42,24.38,21.01,20.19,19.38,17.28,NA
NA,15.23,20.84,18.9,17.93,21.67,21.34,24.03,25.42,25.24,24.03,24.55,23.52,23.68,21.01,23.34,20.68,18.09,17.61,NA
NA,NA,13.82,21.34,17.93,18.74,21.01,23.18,22.34,25.07,24.03,24.03,23.35,22.34,22.18,21.18,20.68,19.87,18.09,NA
NA,18.57,20.03,16.81,19.22,22.34,20.03,23.01,23.52,24.72,23.34,24.21,25.07,24.89,23.86,23.17,22.17,20.68,18.9,NA
NA,14.67,13.43,17.05,16.1,17.37,22.26,23.78,24.82,26.22,23.27,23.78,22.09,21.26,22.76,22.09,22.43,19.95,18.17,16.89
NA,13.89,16.58,18.01,19.47,19.95,23.44,22.76,24.47,25.17,22.76,23.27,22.26,20.76,21.76,23.09,21.59,18.49,NA,NA
NA,NA,NA,NA,18.21,18.69,20.97,19.99,22.3,22.81,23.66,24.34,24,23.14,24.52,23.83,23.66,24.34,22.13,NA
NA,NA,19.99,17.73,15.66,20.48,22.97,22.47,23.83,23.48,24.34,23.66,24.34,25.21,23.14,23.48,22.13,21.97,21.8,19.18
