"site","date","wtrtemp_mean","wtrtemp_max","wtrtemp_min","wtrtemp_sd","wtrtemp_diff","weekly_wtrtemp_mean","weekly_wtrtemp_max","weekly_wtrtemp_min","weekly_wtrtemp_sd","weekly_wtrtemp_diff"
"HCS",2009-05-29,14.015625,13.81,14.59,0.185149809958475,NA,15.0191666666667,13.81,17.12,0.807022593006095,NA
"HCS",2009-06-04,16.2479166666667,15.38,17.44,0.55259526312003,2.23229166666667,15.3642708333333,14.12,17.44,0.658946595931111,0.345104166666665
"HCS",2009-06-11,16.4470833333333,16.18,16.81,0.1495377036827,0.19916666666667,16.8370238095238,15.23,18.57,0.871441803760791,1.47275297619048
"HCS",2009-06-17,18.3702083333333,17.44,19.54,0.778819318033292,1.923125,17.1573263888889,16.33,19.54,0.728328335900858,0.32030257936508
"HCS",2009-06-25,18.7560416666667,17.77,20.68,0.845334478893222,0.385833333333334,17.9830208333333,16.81,20.68,0.684742897059894,0.825694444444444
"HCS",2009-07-02,19.42125,19.06,19.71,0.165576041539575,0.665208333333332,20.3326488095238,19.06,22.51,0.793780191687219,2.34962797619048
"HCS",2009-07-09,19.5435416666667,19.06,20.51,0.466209201435951,0.122291666666666,19.8298511904762,19.06,20.68,0.473265860594813,-0.50279761904762
"HCS",2009-07-16,20.7041666666667,20.35,21.17,0.243972734204995,1.160625,21.1015773809524,19.71,22.34,0.603391073868486,1.27172619047619
"HCS",2009-07-23,21.6864583333333,21.17,22.01,0.206330550571869,0.982291666666665,22.0459226190476,21.01,23.34,0.527022370558349,0.944345238095238
"HCS",2009-07-30,24.2383333333333,24.03,24.55,0.1817565982101,2.551875,22.8188392857143,21.01,25.07,1.11778892531484,0.772916666666667
"HCS",2009-08-06,23.94625,23.52,24.38,0.25111347778127,-0.292083333333334,23.4837202380952,22.34,24.55,0.609743889720826,0.664880952380951
"HCS",2009-08-13,22.983125,22.84,23.17,0.123135563592639,-0.963124999999998,22.9004166666667,22.01,24.21,0.460354638333128,-0.583303571428569
"HCS",2009-08-20,25.7185416666667,25.42,26.28,0.225331808138277,2.73541666666667,24.8041666666667,22.51,26.81,1.20219918714502,1.90375
