"date","schmidt_mean","schmidt_max","schmidt_min","schmidt_sd","schmidt_diff","weekly_schmidt_mean","weekly_schmidt_max","weekly_schmidt_min","Weekly_schmidt_sd","weekly_schmidt_diff"
2009-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-07-30,422.601885946107,363.151635614794,473.350359474915,25.3294832985215,NA,403.9033420184,347.677401464934,473.350359474915,27.2667784492702,NA
2009-08-06,411.650353817413,4.87910887540235,457.122902508273,39.6074754578046,-10.9515321286942,400.033105074706,0,469.889735831675,41.8273817357402,-3.87023694369384
2009-08-13,411.367147646314,375.00019795249,438.842180989373,14.6535096864217,-0.283206171098527,396.169337426721,0,463.594245242878,44.5753040192511,-3.86376764798558
2009-08-20,517.203272868314,434.749647702489,562.116249435146,25.829221998802,105.836125222,472.210257170201,328.287523352743,562.116249435146,46.6770615706787,76.0409197434799
2009-08-27,399.529312806886,355.46335255361,436.53305967206,18.5886923045604,-117.673960061428,469.916429241973,39.9840599387324,555.782968799885,46.8031825296953,-2.29382792822776
2009-09-01,266.876227632165,225.554394234368,318.112815825332,19.6557443921158,-132.653085174722,300.170558179627,0,426.731399004109,58.6500319146369,-169.745871062346
2009-09-08,245.310106864584,180.820299704083,291.895742177925,28.320805271777,-21.5661207675811,267.343838215647,10.1744785319173,355.005141558166,31.4915123484289,-32.8267199639806
2009-09-15,132.542685963081,5.69818546003204,211.401196598945,47.7492884675367,-112.767420901502,184.737993308781,1.2078630417801,290.133576182895,44.0988521638805,-82.605844906866
2009-09-21,24.1486046032906,4.92510363195667,66.8751290667168,16.9513036074581,-108.394081359791,56.9847978736873,2.27670322753298,174.259383928483,47.4347372296979,-127.753195435093
2009-09-28,9.14218456917729,0.817123690823076,22.4208163589459,4.79805727878127,-15.0064200341133,22.768782372225,0.149174458459321,119.482668645468,20.9757524376443,-34.2160155014623
2009-10-05,3.49902450403479,0.0614507352479268,9.36879079989207,1.90419858432352,-5.6431600651425,4.28524409397752,0,21.0483066705951,3.94077062913694,-18.4835382782475
2010-05-25,208.239455696443,147.920483791932,250.894448058783,28.4671433386464,204.740431192408,111.655527193544,18.4738091481518,250.894448058783,64.2772851983399,107.370283099567
2010-06-04,288.543052782536,238.778727118021,337.784817072857,29.901182943292,80.3035970860933,232.611373777374,147.849312823217,337.784817072857,40.9374033416992,120.95584658383
2010-06-10,126.501884198023,95.9789217456477,159.588005993037,12.800362354518,-162.041168584513,214.571370377546,95.9789217456477,327.099625470832,62.236597575015,-18.0400033998285
2010-06-15,165.450975237778,124.718790234938,208.323165130786,24.8034195223176,38.9490910397551,157.064540188859,105.857728452744,208.323165130786,19.3669289970562,-57.5068301886866
2010-06-24,281.030193326046,257.623932077265,308.935643101136,10.854015521216,115.579218088268,210.964154119324,1.59281391732141,342.958696862745,69.8079215025268,53.8996139304644
2010-07-01,218.437098088515,176.692633179291,265.132009892905,20.3334763331438,-62.5930952375316,276.311449290884,176.692633179291,361.858483434816,37.979532007963,65.3472951715607
2010-07-08,416.56751834933,355.929668457747,486.014180201635,31.7273101796496,198.130420260816,311.953067601309,44.8009492097507,486.014180201635,84.573411685176,35.6416183104243
2010-07-15,411.454947451294,359.939376739085,479.020768632543,27.0109639854167,-5.1125708980361,416.189467514455,333.622732104755,516.593812216314,35.0077594614905,104.236399913147
2010-07-22,356.098010344575,231.557247532715,426.491328593608,40.529876913171,-55.3569371067196,404.348714200721,231.557247532715,522.33590671537,44.7247489207085,-11.8407533137348
2010-07-29,91.7523670561936,0,196.600352499842,58.5152393667609,-264.345643288381,249.779159893617,0,398.995522926776,94.0652315128354,-154.569554307104
2010-08-05,114.512718899159,38.2604514221078,183.297280123761,42.0372251983064,22.760351842965,110.463732635441,0,255.501757088699,48.351405212422,-139.315427258175
2010-08-12,121.603295667808,68.4208684288258,206.308632995039,30.2974235783296,7.09057676864916,91.5546177160463,0,299.164987653939,67.8661656104002,-18.9091149193952
2010-08-19,7.53534562011158,0,55.0951705140813,19.9077335436111,-114.067950047696,22.787345441797,0,160.112366585312,38.2950711042112,-68.7672722742492
2010-08-26,0,0,5.13612410445309,11.217662184836,-7.53534562011158,0,0,61.0763027806953,19.159868366113,-22.787345441797
2010-09-02,90.8278223985569,59.5790577285171,118.813625472941,15.0120442756905,90.8278223985569,32.8621145541308,0,118.813625472941,47.6255176781928,32.8621145541308
2010-09-09,0,0,0,5.68876688746559,-90.8278223985569,14.5866384105333,0,151.449321223388,59.4900330205713,-18.2754761435975
2010-09-16,0,0,0,13.5005774374824,0,0,0,0,9.46222559749872,-14.5866384105333
2010-09-23,0,0,23.2414363171435,13.2655668398986,0,0,0,23.2414363171435,14.613529883603,0
2010-09-30,2.05284534936632,0,11.8049402285616,4.62830702965011,2.05284534936632,0,0,35.0094979305754,18.6591231061023,0
2010-10-07,0,0,0,4.20656523962836,-2.05284534936632,0,0,6.45555518008535,10.3646705792799,0
