"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
-2.54108030926227,-2.22632509348012,-1.77608496203847,-2.47983238580485,-2.63501372076896,-1.80915657614402,-1.82235281573558,-1.70907728016577,-1.83626941320731,-1.13652209183966,-2.01770587608381,-0.861564247695709,-1.08415552955186,-1.32729238940142,-0.196545561539021,-1.06061105277109,-1.17583883708963,NA,NA,NA,-2.46723076574917,-1.33418893286076,-1.982787466022,-0.88883240693054,-1.35911014792713,-0.494284933683525,-0.368617664293636,-1.30647618226279,-0.134827505668253,0.054231017867814,-0.120668328853154,-0.603827199285718,-1.24162856571033,-0.0739311928931361,-0.835308934975156,-0.512957957231735,-0.574377401756161,NA,NA,NA
-2.55525099909778,-2.18138493350138,-1.47491572344464,-2.19734510709346,-1.78285501644524,-1.55056511351658,-1.79727911629919,-1.17896570740753,-1.97144972830896,-1.5306375990137,-1.13336247112958,-0.667243755762572,-0.98189494393427,-1.21147095810694,-0.727834534016461,-0.828101888577303,-0.792537960685043,NA,NA,NA,-2.48460749854215,-2.36658494714009,-0.736778071920046,-1.22590483087725,-1.76211132109208,-0.166766377004658,-0.687912147628959,-1.36840210245888,0.265931794380601,0.330482711727962,0.0651471515656972,-0.185989180034656,-1.69376590697557,-0.222396103261302,-0.644520473224139,0.351501341167066,-0.782784304365681,NA,NA,NA
-2.52154261737897,-2.14969370250251,-1.2241711285989,-2.52738241310557,-2.42340466218577,-1.99993768012722,-1.66886210861792,-1.65635365584453,-2.30327532639927,-1.31656423431646,-1.00883826734318,-0.419490927265187,-0.857018862234031,-1.27087245161912,-1.0293060256622,-1.76266833874386,-0.890131986273231,NA,NA,NA,-2.45741562216498,-1.31528267461579,-1.27305024603751,-2.96575277726326,-1.78550535587146,-0.54064744281135,0.0719982103245873,-0.816583486311589,0.120320908007065,-0.0484374025624869,0.00376134257526495,-0.719657980596235,-0.351075935249962,-0.186282351701641,-0.906669066216292,-0.464995908093939,-0.352106386387806,NA,NA,NA
-2.4931876286198,-2.08441210665802,-1.46875108511547,-2.41261488774674,-2.19088744271885,-1.06927305617295,-1.76371830601056,-1.80395582000224,-1.794680520816,-1.31162939137478,-1.15772396552623,-1.23092815490309,-1.43210871133293,-1.01834477737586,-0.979751639787029,-1.27496247990175,-0.737145487283295,NA,NA,NA,-2.49833269449604,-1.3499831434758,-2.07878451564047,-1.63942563552362,-1.16765069031103,-0.407247311938982,-0.393979874878763,-1.19048272785268,0.487216771088617,0.279502629307541,0.316733710524217,-0.633052993292904,-1.05857569692674,-0.416026957210012,-0.687819382444276,-0.411892520620461,-0.155885313097126,NA,NA,NA
-2.59148574650997,-2.34563385828066,-1.61278785105201,-2.70304047873929,-2.18860365528686,-1.87033347083695,-1.84244173089781,-1.9771288438198,-1.66295249555725,-1.54638503288901,-1.02507187470892,-0.537833579342785,-1.07888302100905,-0.808243705848729,-0.725004411133969,-0.822813949364681,-0.721573611311008,NA,NA,NA,-2.42194427960396,-1.53981275371251,-1.62469048332318,-1.58064695881907,-1.2223186196827,-0.557361205317913,0.246167696754897,-1.28013180541661,0.770513714337789,-0.605698893237999,0.533290240627466,-0.944962708304306,-1.17461207289755,-0.118543461323627,-0.552128650243735,-0.499056702774491,-0.87558118843589,NA,NA,NA
-2.53853201660591,-2.51611749225237,-1.16138453777262,-2.50873719957423,-2.36916475151896,-2.32727492679605,-2.36269597605104,-1.41622030125989,-1.86580347851233,-0.82540958797654,-2.04453978328722,-0.375596976044563,-1.3827872717426,-1.11030693126194,-1.07935672355885,-1.0396334035994,-0.945299656528995,NA,NA,NA,-2.47509838292402,-1.40711153569264,-1.78295590446635,-2.12179286701093,-2.05897083463358,-1.33292295025986,-0.229030116360311,-0.555424358741094,-0.267755520391572,-0.411772283405848,-0.0643330083843348,-0.505165186715689,-0.767008268633241,0.224694155520119,-0.931533626791574,-0.88045277782307,-0.573426947598215,NA,NA,NA
-2.48812954093026,-2.51713771551792,-1.22399644725092,-2.7070655649228,-2.48848399791725,-1.29322453573332,-1.7305213657024,-1.92689458088727,-1.83585483367525,-1.32529449034049,-1.58042824693941,-0.751918898253458,-1.35526160181304,-1.06814203184436,-0.642982094898157,-1.01219906635052,-1.13646959766523,NA,NA,NA,-2.54039168877501,-1.74311942887513,-1.65839605769912,-2.09267015938034,-1.72147289154282,-0.0640069625295236,-0.322230459562964,-0.768142484504273,-0.0352843193903566,0.0847638800005683,-0.0852096609520707,-0.476988035878752,0.278253617550266,-0.589442815396675,-0.946672046011042,-0.754438392473793,-0.868720909559019,NA,NA,NA
-2.52210515042139,-2.29913088247268,-0.993110355991093,-2.66709711243947,-2.56732261665035,-1.31444741902229,-2.0093744835346,-1.21796329933574,-1.87921559890089,-1.45854259231394,-1.49504155854417,-0.316751093368091,-1.12488664969849,-0.972417824035066,-1.17983703190164,-1.00048237819975,-0.919359224318912,NA,NA,NA,-2.44945402561717,-1.657791926046,-1.62634176642098,-1.26030717261215,-1.28049847069549,-0.395753339459368,0.145626318351811,-0.691726674291678,0.429948807059502,-0.626371665769547,0.035900009164477,-0.299599818003797,-0.384308636595461,0.504050639756128,-0.812282409768655,-0.323157885453684,-0.702785427338502,NA,NA,NA
-2.5471874634379,-2.52888533991257,-1.25384813198535,-2.27730218566233,-2.4766877670823,-1.14072324214406,-1.67639363339445,-2.39889179507404,-1.84075126778137,-1.78365213853157,-1.73635314674765,-0.594738906968987,-1.38777086117944,-0.791159997115292,-1.0652587663509,-0.939271435204866,-1.00509796031899,NA,NA,NA,-2.42479563652181,-1.53457560768554,-1.88780639749894,-1.21282352367617,-0.814285021146546,-0.357008535652598,-0.0848105587646464,-1.59484226983064,0.258837645482075,-0.22175563906468,0.0752071158732512,-0.327564660473447,-1.31384045376215,-0.128575822585889,-0.90067206103329,0.263211808339065,-0.266080175320802,NA,NA,NA
-2.63196402025994,-2.42000904059676,-1.44700236674272,-1.13359917150718,-2.26328232140091,-2.21294726948481,-1.63766418660972,-2.29265768333831,-1.88966653551509,-1.45430699542476,-0.660258881919435,-0.371594130870341,-1.2080473663261,-1.02410706797038,-1.01212511019813,-0.925248211578217,-1.33427666827719,NA,NA,NA,-2.49508526809456,-1.47032732040756,-2.20807722754331,-1.15336510569535,-1.07729202470069,-0.651132527909821,-0.173228034832803,-1.1221079241203,0.249715734415571,-0.406592227824689,-0.0212383652185583,-1.10859102810224,-0.286485680866423,-0.33381098067267,-0.60753545963632,-0.254343638876966,0.0474582174968668,NA,NA,NA
