"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
-2.93562613760439,-2.53660267225574,-1.52260660052041,-1.84028987825913,-1.99213006249717,-1.38314919793519,-1.47420305966046,-1.35541345702688,-1.6406966593242,-1.05877223211527,-1.77503295306755,-0.403043465958907,-1.18780132683682,-0.892924373825716,-0.478474180327185,-0.884033731771515,-1.10031682778034,NA,NA,NA,-2.71977089122924,-2.53273035116373,-1.91706050857699,-2.15715794055389,-1.64105397476461,-0.850929555747731,-0.313774306263632,-0.766442990827212,-0.046716453924972,0.0124705063849242,0.321693608529497,-0.195518039601503,-0.0807412871412105,-0.234564911750931,-0.554529404406923,-0.779364571941436,-1.08155177938681,NA,NA,NA
-2.92613538272062,-2.49652600366814,-1.54934434922897,-2.02246378515029,-1.83107324801457,-1.47334889744722,-1.44049282508164,-1.34870612500229,-1.72146591520763,-1.14579423842728,-1.28986188259505,-0.425259827599136,-1.34749645566403,-1.23923667884826,-0.206154367450279,-1.18662855189249,-1.23117671520018,NA,NA,NA,-2.70803991853387,-2.5569143628122,-1.63155618070718,-1.50112582582575,-1.13462541884682,-0.852031475836946,-0.466330429546014,-0.774799830164934,-0.229860435809225,-0.404311121527846,0.171695279435028,-0.563687961802215,-0.531657481674848,-0.336458787144937,-0.462112128712374,-0.557469794480384,-0.923482177999791,NA,NA,NA
-2.90657774171075,-2.50812477794243,-1.34851318308248,-1.71401007187257,-1.82704736582727,-1.60875271506911,-1.08858824852688,-1.3815708799883,-1.7215801057493,-1.14486739308175,-0.790483081470394,-0.402959266641759,-1.23451896035906,-0.810726776300998,-0.665134792453304,-1.01780869939204,-1.35097414271103,NA,NA,NA,-2.7198240081605,-2.66093022677204,-1.98919129800387,-1.3833784743784,-1.37282288326752,-0.633218930053345,-0.386655651681287,-0.837802215941435,-0.251952860885992,0.196475554122644,0.0190735378848537,-0.431062462019298,-0.485682083148438,-0.541077045216822,-0.625966994767716,-0.818727808205644,-0.975673748573532,NA,NA,NA
-2.8567813272712,-2.52347803772285,-1.66337644258774,-1.56689623438271,-1.93511319581597,-1.3751106937467,-1.3158359701837,-1.19233079492663,-1.59471028322083,-1.34220856134306,-1.06200123278553,-0.464087394679235,-1.14015069552283,-0.584527265866787,-0.651892332880562,-0.94598796565999,-1.3340095867655,NA,NA,NA,-2.71536785620283,-2.66460467539677,-1.85792123834372,-1.44329077840108,-1.6838188674983,-0.965132152440382,-0.235761767947173,-0.690148566374547,-0.133699266640988,0.124302922316564,0.164456824051089,-0.367558095565691,0.443863369802852,-0.690985704025936,-0.236695731163523,-0.202651922756476,-0.959528640036195,NA,NA,NA
-2.87200206619859,-2.5760103439729,-1.22935367912166,-1.69635186284706,-1.67360151751007,-1.4323413527918,-1.7007373100318,-1.48207629731637,-1.60177670462941,-1.13452382919298,-1.3863830626478,-0.401598866241059,-1.10593018511012,-0.622383371875301,-0.739826485170007,-1.08159309146865,-1.43856693205433,NA,NA,NA,-2.71503337308836,-2.59631092918505,-2.06708435499554,-2.02737119304276,-1.42068840122874,-0.966756227568796,-0.750342602628725,-0.963772492283396,-0.308559563997878,-0.0857675445503181,0.10092559742017,-0.262676119789277,-0.89380431369913,-0.410243897035617,-0.671755856791499,-0.841246129421543,-0.928913094660901,NA,NA,NA
-2.89994390517223,-2.53320726267929,-1.54597407579781,-1.58809063822438,-2.12440084888807,-1.3395206013441,-1.37691324886265,-1.32129953122282,-1.82346892992998,-1.30203882032755,-1.24526862427447,-0.561578960270803,-0.982732697055504,-0.793213337592451,-0.73149930778334,-0.839201349480224,-0.929904989008651,NA,NA,NA,-2.73299391835773,-2.54924670179923,-1.78937707445031,-0.623410927402608,-1.35383206765286,-1.26374180419553,-0.380644506263276,-0.85626174962482,-0.398631541673822,0.015036234474483,0.271060863896969,-0.40486204601075,-0.406189945129352,-0.316085023084182,-0.0358776107720916,-0.786179592626617,-1.15592044662945,NA,NA,NA
-2.92919700786511,-2.54805239828785,-1.51670202004745,-1.6329422427642,-1.56118381572285,-1.13683579379654,-1.86501631837084,-1.16121722633771,-1.44924171253032,-1.04838050050817,-1.3466399125247,-0.477985261094029,-1.24672703213813,-0.788937064528127,-1.15579298821818,-1.0224535819326,-1.13549424759916,NA,NA,NA,-2.72963395004322,-2.5324355713853,-2.0381600761454,-2.08262102019754,-1.55667015370261,-0.896737867842909,-0.351841074368012,-0.697873782298142,-0.353570719572103,-0.151385457316293,0.348276524412856,-0.486065834974831,-0.358141646082466,0.195409914962418,-0.149735950703961,-0.675065351735193,-0.800852023730795,NA,NA,NA
-2.91275516048923,-2.53670456684845,-1.63619916669872,-1.8710135197222,-1.762169717175,-1.73301019542314,-1.3790034169951,-1.38821926006265,-1.69729199785365,-1.33587117788635,-0.732276472117533,-0.57797230950001,-1.10766126773899,-0.782838096197303,-0.719364004658708,-1.11486913484288,-0.987813709629629,NA,NA,NA,-2.69879391079883,-2.60486934268172,-1.63524422834019,-1.80161357164985,-1.44218357827034,-0.825654097188007,-0.794419569371101,-0.734069872782859,-0.202281073597402,0.0686745812394606,-0.138176904809421,-0.180260458925736,-0.807923303470525,-0.127299293153556,-0.370476125260563,-0.58502816418768,-0.762842661117626,NA,NA,NA
-2.90970009757034,-2.52236092111139,-1.45039453174457,-2.14004977646521,-1.81986988182137,-1.40364193177228,-0.982836589208202,-1.40732611730825,-1.70859980893655,-1.11001609209526,-1.21846925806768,-0.369738853892032,-1.04021440891933,-0.750661906015661,-0.677018503251579,-0.96003016044306,-1.00599471736384,NA,NA,NA,-2.67355656581826,-2.57833112256421,-1.48864366670555,-1.63134181474156,-1.29272729704821,-0.652697231694265,-0.711329470614209,-0.801744651660041,-0.259112092534971,-0.212054111042851,-0.305713993361833,-0.103494415549912,0.191882968754848,-0.0274118096020962,-0.433263200440359,-0.412501003886585,-1.18684373551342,NA,NA,NA
-2.90222619072311,-2.52215589810901,-1.71406653011159,-2.02023876604799,-1.98409586430996,-1.30942102016974,-2.09883694559195,-1.21490329781261,-1.75535963543434,-1.30228037076657,-0.374266792606357,-0.541153252856311,-1.20344128472173,-0.555782185888052,-0.170395702988177,-1.0146114286864,-1.13764579468122,NA,NA,NA,-2.67438126918702,-2.57064141813506,-1.66441357886378,-2.08319348137884,-1.30279526384827,-0.785302315558462,-0.237871979733318,-0.825683297337609,-0.14363598246516,-0.0616372721581133,0.0641423051832605,-0.524110812053246,-0.573643854957997,-0.301267680203848,-0.341319826712388,-0.312952861904886,-0.913591085203919,NA,NA,NA
-2.90091253858464,-2.59683167546284,-1.39225429888329,-1.83256167198618,-1.78903759845292,-1.37717514440224,-1.17678371952239,-1.32563948355169,-1.53526452211342,-1.01947199703757,-1.37029912225446,-0.625895837817865,-1.12056065600836,-0.502279052734124,-0.765463783158573,-1.08297986269633,-1.25414767953769,NA,NA,NA,-2.71769669315564,-2.61916734766881,-1.71878245575908,-1.40742562436423,-1.16477748561473,-1.1256740866564,-0.216219018179503,-0.874358319925877,0.218826599848435,0.10854901260796,0.0356715773538481,-0.0188790884722708,-0.616373850927959,-0.281788780015858,-0.77311862538356,-0.474358572371368,-1.45525237652565,NA,NA,NA
-2.90869905476213,-2.56897896482662,-1.38608270202401,-1.87107743157401,-2.19019524821739,-1.38969739241963,-1.50156462128693,-1.30349622825829,-1.27599960726769,-1.12377809871942,-0.428459886443507,-0.566530746637087,-0.761360801950971,-0.741914499104485,-0.313810849255382,-0.862604454440182,-1.48771404325923,NA,NA,NA,-2.73070051591254,-2.61307914897179,-1.71979665360103,-1.61093347506253,-1.5522581054033,-0.833045536778891,-0.59009921446397,-0.650546895029734,-0.40232005024825,-0.14574014767076,-0.0296275828273739,-0.275781626577694,-1.24409472023261,0.0650242958067952,-0.339464219819498,-0.388085363734047,-1.38927750001383,NA,NA,NA
-2.89503018090884,-2.51202520490246,-1.65218820121908,-1.86714004307682,-1.58844663113414,-1.26284061107398,-1.42680240893889,-1.18763839954584,-1.67798924571015,-1.03286790663129,-1.06386569568155,-0.42565514782767,-1.13490258265677,-0.931183512048252,-0.53973936451046,-0.833925378176054,-1.31690803144741,NA,NA,NA,-2.7327801859779,-2.56606151887212,-1.54520163631098,-1.56303984584182,-1.68690326194809,-0.774087254492314,-0.644116395678432,-0.676198098390094,-0.0303700625746606,0.0532272818986181,-0.00731505634644297,-0.648163340393517,-0.681387717934343,-0.0865665139995464,-0.0358520488076161,-0.550834829372761,-1.00675626570334,NA,NA,NA
-2.89876346747684,-2.53308463082828,-1.18855969954163,-1.86324309166426,-1.58745748590999,-1.46663010872444,-0.892443010009953,-0.929415185918764,-1.52827240740163,-1.31658830037889,-0.65259826374633,-0.81795031022693,-0.953117756707438,-1.02674423530561,-0.530649924079666,-0.936244974981241,-1.18027940088323,NA,NA,NA,-2.71359864845584,-2.57564700572127,-1.57916545769911,-1.31207103662893,-1.76481279161435,-0.933501252851556,-0.471322973311786,-0.859685356438149,0.109689166522482,0.0624350762826128,-0.10365740438323,-0.19243987950574,-0.322145732176813,-0.269436560548094,-0.566520035060476,-0.656782274686768,-1.16201816462546,NA,NA,NA
-2.89811398209665,-2.55076213826334,-1.2430967576323,-1.7005716921614,-1.91933807442614,-1.35683483101132,-1.65644625970313,-1.35158312074625,-1.8378032337672,-1.02894796671912,-0.768965873067367,-0.0815171541809055,-1.26655001158317,-0.648454515993508,-0.42233681650341,-0.892359128576145,-1.00130425832764,NA,NA,NA,-2.71833431623575,-2.57606418834295,-1.8354157055894,-1.56507756114331,-1.31607165133374,-0.660948933124609,-0.396176427877519,-0.930269648186737,0.0215242022425643,-0.0916763635540674,-0.136463865357558,-0.152802918796513,-0.495101508736632,-0.619774416995643,-0.464780639074567,-0.167035739404626,-1.14873415637694,NA,NA,NA
