"covariate_name","global_linear_r2","global_Pearsons_r","global_Spearmans_r","global_quad_r2","linear_r2_2009","Pearsons_r_2009","Spearmans_r_2009","quad_r2_2009","linear_r2_2010","Pearsons_r_2010","Spearmans_r_2010","quad_r2_2010","linear_r2_2011","Pearsons_r_2011","Spearmans_r_2011","quad_r2_2011","linear_r2_2012","Pearsons_r_2012","Spearmans_r_2012","quad_r2_2012","linear_r2_2013","Pearsons_r_2013","Spearmans_r_2013","quad_r2_2013","linear_r2_2014","Pearsons_r_2014","Spearmans_r_2014","quad_r2_2014"
"HCS.tempC_mean","0.24","0.5","0.49","0.26","0.33","0.61","0.63","0.3","0.12","0.42","0.35","0.26","0.24","0.54","0.46","0.22","0.38","0.64","0.53","0.34","0.07","0.34","0.37","0.28","0.57","0.77","0.64","0.61"
"HCS.tempC_median","0.24","0.5","0.49","0.25","0.33","0.61","0.62","0.3","0.13","0.43","0.38","0.24","0.24","0.54","0.45","0.25","0.37","0.63","0.54","0.33","0.06","0.34","0.38","0.27","0.56","0.76","0.64","0.59"
"HCS.tempC_min","0.26","0.52","0.51","0.28","0.34","0.62","0.63","0.3","0.14","0.44","0.39","0.23","0.27","0.56","0.5","0.22","0.36","0.63","0.54","0.32","0.07","0.35","0.38","0.28","0.6","0.79","0.64","0.6"
"HCS.tempC_max","0.22","0.47","0.47","0.24","0.31","0.59","0.62","0.29","0.08","0.37","0.35","0.3","0.16","0.46","0.38","0.13","0.39","0.65","0.56","0.35","0.07","0.35","0.34","0.29","0.55","0.76","0.61","0.59"
"HCS.tempC_sd","0.05","-0.24","-0.17","0.05","0.02","-0.29","-0.08","0.09","0","-0.25","-0.15","-0.07","0.16","-0.46","-0.42","0.1","0.01","0.25","0.17","-0.02","-0.06","-0.06","-0.1","-0.09","0.14","-0.44","-0.33","0.38"
"HCS.tempC_mean_lag","0.3","0.56","0.54","0.32","0.36","0.63","0.72","0.35","0.26","0.55","0.5","0.23","0.47","0.71","0.72","0.44","0.18","0.47","0.41","0.12","0.19","0.49","0.4","0.44","0.7","0.85","0.7","0.76"
"HCS.tempC_median_lag","0.3","0.55","0.54","0.31","0.38","0.65","0.73","0.37","0.27","0.56","0.52","0.24","0.49","0.72","0.71","0.46","0.15","0.45","0.43","0.1","0.18","0.48","0.41","0.43","0.7","0.85","0.7","0.75"
"HCS.tempC_min_lag","0.32","0.57","0.56","0.33","0.4","0.66","0.73","0.39","0.26","0.55","0.55","0.22","0.45","0.7","0.72","0.44","0.17","0.47","0.43","0.12","0.2","0.49","0.43","0.44","0.71","0.85","0.69","0.73"
"HCS.tempC_max_lag","0.28","0.53","0.52","0.31","0.29","0.58","0.63","0.26","0.21","0.51","0.51","0.27","0.46","0.7","0.65","0.43","0.18","0.47","0.4","0.15","0.19","0.48","0.39","0.45","0.69","0.84","0.75","0.76"
"HCS.tempC_sd_lag","0.04","-0.21","-0.19","0.03","0.22","-0.51","-0.45","0.17","-0.02","-0.19","-0.17","-0.07","0.06","-0.34","-0.23","-0.01","-0.02","0.21","0.3","0.02","-0.06","-0.01","-0.07","-0.12","0.12","-0.41","-0.28","0.44"
"wtr_mean_diff","0.03","-0.19","-0.2","0.02","-0.06","-0.09","-0.1","0.01","-0.06","-0.09","0.05","0.02","0.04","-0.32","-0.44","0.4","-0.04","0.16","0.07","0","0.2","-0.5","-0.5","0.15","0.02","-0.29","-0.45","0.08"
"wtr_median_diff","0.02","-0.18","-0.2","0.02","-0.06","-0.1","-0.14","0.06","-0.06","-0.09","0.04","0.03","0.03","-0.31","-0.43","0.25","-0.03","0.18","0.08","0","0.19","-0.49","-0.47","0.14","0.02","-0.28","-0.41","0.07"
"wtr_max_diff","0.03","-0.19","-0.18","0.03","-0.06","-0.05","-0.06","-0.1","-0.06","-0.08","0.05","-0.01","0.08","-0.37","-0.38","0.22","-0.04","0.16","0.06","0.02","0.19","-0.48","-0.46","0.14","0.02","-0.28","-0.42","0.13"
"wtr_min_diff","0.03","-0.21","-0.2","0.04","-0.05","-0.11","-0.19","0.11","-0.05","-0.11","0.04","-0.02","0.03","-0.3","-0.31","0.36","-0.04","0.16","0.11","-0.07","0.19","-0.49","-0.37","0.14","0.09","-0.38","-0.41","0.02"
