"covariate_name","global_linear_r2","global_Pearsons_r","global_Spearmans_r","global_quad_r2","linear_pvalue","Pearsons_pvalue","Spearmans_pvalue","quad_pvalue"
"AveWindSp_ms_max_3daylag_in","0.03","0.2","0.19","0.03","0.0341109672509596","0.0341109672509597","0.0432081453504203","0.0735878264994047"
"AveWindSp_ms_sd_3daylag_in","0.01","0.13","0.11","0","0.195345174791884","0.195345174791885","0.237953849873874","0.434106442637671"
"AveWindSp_ms_mean_1weeklag_in","0","0.1","0.09","0.01","0.279697454607074","0.279697454607074","0.338735877034118","0.168074422428863"
"AveWindSp_ms_median_1weeklag_in","0","0.11","0.11","0.01","0.243442010548062","0.243442010548062","0.268553780041966","0.208077654096124"
"AveWindSp_ms_min_1weeklag_in","0.02","0.16","0.15","0.01","0.102887734206424","0.102887734206424","0.124953805921447","0.263283806351382"
"AveWindSp_ms_max_1weeklag_in","0","0.07","0.06","0.05","0.470131369705257","0.470131369705257","0.518999799127314","0.0294283852270271"
"AveWindSp_ms_sd_1weeklag_in","-0.01","0.02","0.05","0.08","0.850136614122366","0.850136614122366","0.630154365382708","0.00574043707539288"
"windsp_cumsum_1day_in","-0.01","0.03","0.05","0.03","0.755004235038444","0.755004235038444","0.609719253488347","0.0939398353798581"
"windsp_cumsum_2day_in","-0.01","0.06","0.1","0.02","0.534055795009285","0.534055795009285","0.318894540156725","0.161361544750191"
"AveWindDir_cove_mean","0.02","0.17","0.2","0.01","0.0840351901142424","0.0840351901142423","0.0367908202682587","0.192668972665946"
"AveWindDir_cove_mean_1daylag","0.06","0.26","0.19","0.08","0.00662208306758597","0.00662208306758598","0.0440242827645651","0.00489495536434843"
"AveWindDir_cove_mean_2daylag","0.12","0.36","0.37","0.12","0.000129611223155462","0.000129611223155462","0.000104543530163385","0.000582235518581349"
"AveWindDir_cove_mean_1weeklag","0","0.12","0.11","-0.01","0.235554852211386","0.235554852211386","0.264953157347973","0.496529161966068"
