"model_name","RMSE","pred_var","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","2.04","4.93","100","2","0.57","0.92","0.62","12.55","-7.29","93.12"
"RW_obs","2.04","4.74","100","2","0.56","0.93","0.62","11.82","-7.07","86.78"
"AR","1.62","3.31","100","2","0.57","0.97","0.62","1.4","-11.71","20.79"
"wtrtemp_min","1.76","2.81","97.1","14","0.58","0.99","0.61","0.7","-12.63","16.27"
"wtrtemp_min_lag","1.77","2.79","94.1","14","0.59","0.98","0.63","0.48","-12.13","14.43"
"wtrtemp_MA7","1.74","2.84","94.1","14","0.58","0.98","0.61","0.7","-12.55","16.28"
"schmidt_med_diff","1.62","3.36","100","14","0.57","0.97","0.63","1.56","-11.26","21.53"
"wnd_dir_2day_lag","1.7","3.19","100","14","0.58","0.97","0.63","1.04","-12.02","17.87"
"GDD","1.75","2.81","97.1","14","0.6","0.99","0.64","0.42","-12.97","14.47"
"GDD_test","1.89","2.65","88.2","15","0.63","0.99","0.54","-0.29","-12.96","9.53"
"schmidt_and_wnd","1.69","3.23","100","14","0.58","0.97","0.65","1.08","-11.6","19.29"
"schmidt_diff_and_max","1.69","3.17","100","14","0.58","0.97","0.68","1.4","-11.72","21.62"
"wnd_dir_and_speed","1.7","3.23","100","14","0.58","0.97","0.63","1.03","-11.66","18.47"
