"model_name","RMSE","pred_var","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","0.55","0.4","96.6","-66","0.52","0.99","0.97","-0.85","-61.51","3.54"
"RW_obs","0.51","0.37","96.6","-65","0.52","0.99","0.97","-0.78","-58.4","3.53"
"AR","0.48","0.38","97.5","-65","0.51","0.98","0.98","-0.76","-55.87","3.61"
"wtrtemp_min","0.51","0.37","96.6","-65","0.51","0.99","0.97","-0.83","-60.67","3.37"
"wtrtemp_min_lag","0.49","0.38","97.5","-66","0.51","0.98","0.98","-0.79","-57.65","3.52"
"wtrtemp_MA7","0.49","0.37","97.5","-65","0.51","0.99","0.97","-0.8","-58.59","3.49"
"schmidt_med_diff","0.47","0.38","97.5","-65","0.51","0.98","0.98","-0.74","-54.65","3.68"
"wnd_dir_2day_lag","0.5","0.38","97.5","-65","0.52","0.98","0.98","-0.76","-56.96","3.62"
"GDD","0.51","0.37","97.5","-65","0.51","0.99","0.97","-0.82","-59.86","3.45"
"schmidt_and_wnd","0.49","0.38","97.5","-65","0.52","0.98","0.98","-0.72","-55.49","3.75"
"schmidt_diff_and_max","0.51","0.37","97.5","-65","0.51","0.98","0.97","-0.82","-57.68","3.47"
"wnd_dir_and_speed","0.49","0.38","97.5","-65","0.52","0.98","0.98","-0.74","-55.8","3.7"
