"model_name","RMSE","pred_var","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","1.9","2.78","97.2","1","0.56","0.96","0.7","3.41","-11.02","30.84"
"RW_obs","1.9","2.66","97.2","1","0.56","0.96","0.7","3.36","-11.05","29.9"
"AR","1.66","2.28","94.4","1","0.56","0.98","0.69","0.72","-12.07","14"
"wtrtemp_min","1.81","2.05","94.4","14","0.57","0.99","0.7","0.44","-12.79","12.05"
"wtrtemp_min_lag","1.79","2.12","91.7","14","0.58","0.99","0.71","0.27","-12.48","11.23"
"wtrtemp_MA7","1.79","2.08","94.4","14","0.58","0.99","0.7","0.41","-12.67","11.89"
"schmidt_med_diff","1.66","2.31","97.2","1","0.56","0.98","0.69","0.74","-12.05","14.42"
"wnd_dir_2day_lag","1.77","2.24","94.4","1","0.57","0.98","0.72","0.57","-11.94","13.05"
"GDD","1.83","2.04","91.7","14","0.61","0.99","0.69","-0.02","-13.11","9.37"
"GDD_test","2.06","2.66","88.9","16","0.64","0.99","0.61","-0.2","-12.93","9.39"
"schmidt_and_wnd","1.77","2.28","97.2","1","0.58","0.97","0.72","0.6","-11.77","13.27"
"schmidt_diff_and_max","1.74","2.17","97.2","14","0.58","0.98","0.72","0.69","-12.34","13.83"
"wnd_dir_and_speed","1.77","2.28","94.4","1","0.57","0.98","0.71","0.58","-11.95","13.05"
