"model_name","RMSE","pred_SD","pred_loss","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","2.05","2.21","3.02","100","2","0.57","0.92","0.61","-0.62","-6.19","91.78"
"RW_obs","2.03","2.17","2.98","100","2","0.57","0.93","0.62","-0.58","-6.86","85.2"
"AR","1.62","1.82","2.44","100","2","0.57","0.97","0.62","-1.18","-11.54","20.8"
"wtrtemp_min","1.76","1.67","2.43","94.1","14","0.58","0.99","0.61","-1.16","-12.65","15.89"
"wtrtemp_min_lag","1.77","1.68","2.43","94.1","14","0.59","0.98","0.63","-1.22","-12.17","14.64"
"wtrtemp_MA7","1.73","1.69","2.42","97.1","14","0.58","0.98","0.61","-1.18","-12.41","16.28"
"schmidt_med_diff","1.62","1.83","2.44","100","2","0.57","0.97","0.63","-1.18","-11.61","21.61"
"wnd_dir_2day_lag","1.7","1.79","2.46","100","14","0.58","0.97","0.64","-1.22","-11.47","18.15"
"GDD","1.76","1.67","2.42","97.1","14","0.6","0.99","0.63","-1.24","-13.02","14.26"
"schmidt_and_temp","1.75","1.68","2.43","94.1","14","0.58","0.98","0.62","-1.19","-12.29","15.73"
"schmidt_and_precip","1.61","1.84","2.45","100","14","0.57","0.97","0.63","-1.19","-11.69","21.32"
"temp_and_precip","1.73","1.69","2.42","94.1","14","0.58","0.98","0.61","-1.18","-12.5","15.96"
"precip_and_GDD","1.8","1.68","2.46","94.1","14","0.58","0.99","0.63","-1.1","-12.67","20.35"
"schmidt_max_lag","1.69","1.77","2.45","100","14","0.58","0.97","0.67","-1.15","-11.97","20.87"
"precip","1.61","1.83","2.44","100","2","0.57","0.97","0.62","-1.19","-11.81","20.71"
