"model_name","RMSE","pred_var","coverage","peak_timing","mean_quantile","max_quantile","Pearsons_r","mean_bias","max_bias","mean_range"
"RW","1.97","7.07","100","3","0.58","0.88","0.55","37.84","18.65","217.98"
"RW_obs","1.95","6.81","100","3","0.58","0.89","0.56","41.71","6.63","198.41"
"AR","1.55","3.96","100","3","0.58","0.96","0.56","2.4","-11.05","24.79"
"wtrtemp_min","1.56","3.18","96.9","14","0.59","0.98","0.58","1.05","-12.39","18.58"
"wtrtemp_min_lag","1.58","3.1","93.8","14","0.59","0.98","0.59","0.61","-12.22","16.21"
"wtrtemp_MA7","1.54","3.17","96.9","14","0.59","0.98","0.58","0.93","-12.32","18.24"
"schmidt_med_diff","1.53","3.96","100","14","0.58","0.96","0.58","2.25","-10.82","25.59"
"wnd_dir_2day_lag","1.54","3.7","100","14","0.59","0.97","0.62","1.32","-11.13","20.37"
"GDD","1.56","3.18","96.9","14","0.6","0.99","0.59","0.88","-12.88","17.84"
"GDD_test","1.66","2.66","87.5","15","0.62","0.99","0.51","-0.29","-12.95","10"
"schmidt_and_wnd","1.53","3.75","100","14","0.59","0.96","0.64","1.56","-11.1","21.97"
"schmidt_diff_and_max","1.54","3.79","100","14","0.59","0.96","0.65","2.18","-11.19","27.77"
"wnd_dir_and_speed","1.56","3.73","100","14","0.59","0.96","0.61","1.39","-10.56","20.78"
